# Name  Typical severity  Type index
Frameable response (potential Clickjacking)  Information  0x005009a0
Browser cross-site scripting filter disabled  Information  0x005009b0
HTTP TRACE method is enabled  Information  0x00500a00
Cookie manipulation (DOM-based)  Low  0x00500b00
Cookie manipulation (reflected DOM-based)  Low  0x00500b01
Cookie manipulation (stored DOM-based)  Low  0x00500b02
Ajax request header manipulation (DOM-based)  Low  0x00500c00
Ajax request header manipulation (reflected DOM-based)  Low  0x00500c01
Ajax request header manipulation (stored DOM-based)  Low  0x00500c02
Denial of service (DOM-based)  Information  0x00500d00
Denial of service (reflected DOM-based)  Information  0x00500d01
Denial of service (stored DOM-based)  Low  0x00500d02
HTML5 web message manipulation (DOM-based)  Information  0x00500e00
HTML5 web message manipulation (reflected DOM-based)  Information  0x00500e01
HTML5 web message manipulation (stored DOM-based)  Information  0x00500e02
HTML5 storage manipulation (DOM-based)  Information  0x00500f00
HTML5 storage manipulation (reflected DOM-based)  Information  0x00500f01
HTML5 storage manipulation (stored DOM-based)  Information  0x00500f02
Link manipulation (DOM-based)  Low  0x00501000
Link manipulation (reflected DOM-based)  Low  0x00501001
Link manipulation (stored DOM-based)  Low  0x00501002
Link manipulation (reflected)  Information  0x00501003
Link manipulation (stored)  Information  0x00501004
Document domain manipulation (DOM-based)  Medium  0x00501100
Document domain manipulation (reflected DOM-based)  Medium  0x00501101
Document domain manipulation (stored DOM-based)  Medium  0x00501102
DOM data manipulation (DOM-based)  Information  0x00501200
DOM data manipulation (reflected DOM-based)  Information  0x00501201
DOM data manipulation (stored DOM-based)  Information  0x00501202
CSS injection (reflected)  Medium  0x00501300
CSS injection (stored)  Medium  0x00501301
Client-side HTTP parameter pollution (reflected)  Low  0x00501400
Client-side HTTP parameter pollution (stored)  Low  0x00501401
Form action hijacking (reflected)  Medium  0x00501500
Form action hijacking (stored)  Medium  0x00501501
Database connection string disclosed  Medium  0x00600080
Source code disclosure  Low  0x006000b0
Directory listing  Information  0x00600100
Email addresses disclosed  Information  0x00600200
Private IP addresses disclosed  Information  0x00600300
Social security numbers disclosed  Information  0x00600400
Credit card numbers disclosed  Information  0x00600500
Private key disclosed  Information  0x00600550
Robots.txt file  Information  0x00600600
Cacheable HTTPS response  Information  0x00700100
Base64-encoded data in parameter  Information  0x00700200
Multiple content types specified  Information  0x00800100
HTML does not specify charset  Information  0x00800200
HTML uses unrecognized charset  Information  0x00800300
Content type incorrectly stated  Low  0x00800400
Content type is not specified  Information  0x00800500
SSL certificate  Medium  0x01000100
Unencrypted communications  Low  0x01000200
Strict transport security not enforced  Low  0x01000300
Mixed content  Information  0x01000400
Extension generated issue  Information  0x08000000
