## All HTML Attributes
# Attribute	Belongs to	Description
onkeydown	All visible elements.	Script to be run when a user is pressing a key
onkeypress	All visible elements.	Script to be run when a user presses a key
onkeyup	All visible elements.	Script to be run when a user releases a key
onload	<body>, <iframe>, <img>, <input>, <link>, <script>, <style>	Script to be run when the element is finished loading
onloadeddata	<audio>, <video>	Script to be run when media data is loaded
onloadedmetadata	<audio>, <video>	Script to be run when meta data (like dimensions and duration) are loaded
onloadstart	<audio>, <video>	Script to be run just as the file begins to load before anything is actually loaded
onmousedown	All visible elements.	Script to be run when a mouse button is pressed down on an element
onmousemove	All visible elements.	Script to be run as long as the  mouse pointer is moving over an element
onmouseout	All visible elements.	Script to be run when a mouse pointer moves out of an element
onmouseover	All visible elements.	Script to be run when a mouse pointer moves over an element
onmouseup	All visible elements.	Script to be run when a mouse button is released over an element
onmousewheel	All visible elements.	Script to be run when a mouse wheel is being scrolled over an element
onoffline	<body>	Script to be run when the browser starts to work offline
ononline	<body>	Script to be run when the browser starts to work online
onpagehide	<body>	Script to be run when a user navigates away from a page
onpageshow	<body>	Script to be run when a user navigates to a page
onpaste	All visible elements.	Script to be run when the user pastes some content in an element
onpause	<audio>, <video>	Script to be run when the media is paused either by the user or programmatically
onplay	<audio>, <video>	Script to be run when the media has started playing
onplaying	<audio>, <video>	Script to be run when the media has started playing
onpopstate	<body>	Script to be run when the window's history changes.
onprogress	<audio>, <video>	Script to be run when the browser is in the process of getting the media data
onratechange	<audio>, <video>	Script to be run each time the playback rate changes (like when a user switches to a slow motion or fast forward mode).
onreset	<form>	Script to be run when a reset button in a form is clicked.
onresize	<body>	Script to be run when the browser window is being resized.
onscroll	All visible elements.	Script to be run when an element's scrollbar is being scrolled
onsearch	<input>	Script to be run when the user writes something in a search field (for <input="search">)
onseeked	<audio>, <video>	Script to be run when the seeking attribute is set to false indicating that seeking has ended
onseeking	<audio>, <video>	Script to be run when the seeking attribute is set to true indicating that seeking is active
onselect	All visible elements.	Script to be run when the element gets selected
onshow	<menu>	Script to be run when a <menu> element is shown as a context menu
onstalled	<audio>, <video>	Script to be run when the browser is unable to fetch the media data for whatever reason
onstorage	<body>	Script to be run when a Web Storage area is updated
onsubmit	<form>	Script to be run when a form is submitted
onsuspend	<audio>, <video>	Script to be run when fetching the media data is stopped before it is completely loaded for whatever reason
ontimeupdate	<audio>, <video>	Script to be run when the playing position has changed (like when the user fast forwards to a different point in the media)
ontoggle	<details>	Script to be run when the user opens or closes the <details> element
onunload	<body>	Script to be run when a page has unloaded (or the browser window has been closed)
onvolumechange	<audio>, <video>	Script to be run each time the volume of a video/audio has been changed
onwaiting	<audio>, <video>	Script to be run when the media has paused but is expected to resume (like when the media pauses to buffer more data)
onwheel	All visible elements.	Script to be run when the mouse wheel rolls up or down over an element
open	<details>	Specifies that the details should be visible (open) to the user
optimum	<meter>	Specifies what value is the optimal value for the gauge
pattern	<input>	Specifies a regular expression that an <input> element's value is checked against
placeholder	<input>, <textarea>	Specifies a short hint that describes the expected value of the element
poster	<video>	Specifies an image to be shown while the video is downloading, or until the user hits the play button
preload	<audio>, <video>	Specifies if and how the author thinks the audio/video should be loaded when the page loads
readonly	<input>, <textarea>	Specifies that the element is read-only
rel	<a>, <area>, <link>	Specifies the relationship between the current document and the linked document
required	<input>, <select>, <textarea>	Specifies that the element must be filled out before submitting the form
reversed	<ol>	Specifies that the list order should be descending (9,8,7...)
rows	<textarea>	Specifies the visible number of lines in a text area
rowspan	<td>, <th>	Specifies the number of rows a table cell should span
sandbox	<iframe>	Enables an extra set of restrictions for the content in an <iframe>
scope	<th>	Specifies whether a header cell is a header for a column, row, or group of columns or rows
selected	<option>	Specifies that an option should be pre-selected when the page loads
shape	<area>	Specifies the shape of the area
size	<input>, <select>	Specifies the width, in characters (for <input>) or specifies the number of visible options (for <select>)
sizes	<img>, <link>, <source>	Specifies the size of the linked resource
span	<col>, <colgroup>	Specifies the number of columns to span
spellcheck	Global Attributes	Specifies whether the element is to have its spelling and grammar checked or not
src	<audio>, <embed>, <iframe>, <img>, <input>, <script>, <source>, <track>, <video>	Specifies the URL of the media file
srcdoc	<iframe>	Specifies the HTML content of the page to show in the <iframe>
srclang	<track>	Specifies the language of the track text data (required if kind="subtitles")
srcset	<img>, <source>	Specifies the URL of the image to use in different situations
start	<ol>	Specifies the start value of an ordered list
step	<input>	Specifies the legal number intervals for an input field
style	Global Attributes	Specifies an inline CSS style for an element
tabindex	Global Attributes	Specifies the tabbing order of an element
target	<a>, <area>, <base>, <form>	Specifies the target for where to open the linked document or where to submit the form
title	Global Attributes	Specifies extra information about an element
translate	Global Attributes	Specifies whether the content of an element should be translated or not
type	<button>, <embed>, <input>, <link>, <menu>, <object>, <script>, <source>, <style>	Specifies the type of element
usemap	<img>, <object>	Specifies an image as a client-side image-map
value	<button>, <input>, <li>, <option>, <meter>, <progress>, <param>	Specifies the value of the element
width	<canvas>, <embed>, <iframe>, <img>, <input>, <object>, <video>	Specifies the width of the element
wrap	<textarea>	Specifies how the text in a text area is to be wrapped when submitted in a form
