File Extension,Tool,Category,Sub-Category,Type,Useful Switches,Tool Description,Linkage,Require Install?
dmg,DMG Correct,Forensics,Mac Forensics,,,"This tool corrects the partitioning structure, allowing both the system and data partitions to be mounted. DMG Correct should only be used on a copy of the original whole device dmg, as the dmg is modified for mounting purposes.",https://www.blackbagtech.com/resources/freetools.html,
dmg,DMG Rename,Forensics,Mac Forensics,,,This utility is used to rename RAW image files to a .dmg extension.,https://www.blackbagtech.com/resources/freetools.html,
sys,Driver Loader,Malware,PE Analysis,GUI,,"Installs NT kernel drivers & will make all the appropriate registry entries for your driver, and even allow you to start your driver without rebooting.",http://www.osronline.com/article.cfm?article=157,
dat,drwatson.pl,Forensics,Registry Analysis,CLI,,RegRipper plugin that parses Dr. Watson configuration information from Software Hive,http://www.cutawaysecurity.com/blog/scripts-and-tools,
-,dtSearch,Forensics,Indexing,,,"Indexing tool that allows you to search terabytes of text/documents across a desktop, network, Internet or Intranet site. *30 day trial*",http://www.dtsearch.com/,
dmp,Dumpit,Memory,Memory Analysis,CLI,,Part of MoonSols Windows Memory Toolkit that captures a 32/64 bit memory image locally.,http://www.moonsols.com/products/,
-,Epoch Converter,Forensics,Mac Forensics,,,This utility is used to convert epoch times on a Mac to show the local and UTC time.,https://www.blackbagtech.com/resources/freetools.html,
evt,Event Log Explorer XP,File Analysis,Event Logs,,,,,
dat,eventlogs.pl,Forensics,Registry Analysis,CLI,,RegRipper plugin that parses Window Event Log configuration from System Hive – contains configured hostname,http://www.cutawaysecurity.com/blog/scripts-and-tools,
"evt, evtx",evtparse.pl,Forensics,Event Logs,CLI,"evtparse.pl -s = list all records, in order by record number with corresponding TimeGenerated values to detect system time changes",,http://code.google.com/p/winforensicaanalysis/downloads/list,
evtx,Evtx Parser,File Analysis,Event Logs,CLI,,Windows Event Log Parser library (Perl),http://computer.forensikblog.de/en/2011/11/evtx-parser-1-1-1.html,
"evt, evtx",evtx_view,Forensics,Event Logs,GUI,,Tool to view Windows Event logs,http://www.tzworks.net/prototype_page.php?proto_id=4,
evtx,evtxcheck.pl ,Forensics,Event Logs,CLI,,Windows Event Log EVTX checker (Microsoft LogParse must be in the system PATH),https://code.google.com/p/hotoloti/downloads/list,
evtx,evtxrpt.pl ,Forensics,Event Logs,CLI,,Windows Event Log EVTX summarizer  (Microsoft LogParse must be in the system PATH),https://code.google.com/p/hotoloti/downloads/list,
,ewfacquire,Forensics,Disk Imaging,CLI,,Part of the LibEWF package ; Provides a robust console interface for generating EWF/E01 image files.,,
E01,ewy.py,Forensics,Disk Analysis,CLI,,Uses the LibEWF library to mount EnCase generated image files.,,
"exe, dll, ocx, sys",exeinfo,File Analysis,PE Analysis,GUI,,The ExeInfo utility shows general information about executable files.,http://www.nirsoft.net/utils/exeinfo.html,
exe,exeinfo,Malware,PE Analysis,GUI,," Packer, compressor detector / unpack info / internal exe tools; similar to PEiD",http://exeinfo.antserve.com/,
exe,exescan,Malware,PE Analysis,CLI,,"Console based tool to detect anomalies in PE (Portable Executable) files. It quickly scans given executable file and detect all kind of anomalies in its PE header fields including checksum verifications, size of various header fields, improper size of raw data, non-ascii/empty section names etc.",http://securityxploded.com/download.php#exescan,
"jpg, gif, png",exif_summarizer.py ,Forensics,Metadata,CLI,,Exif summarizer,https://code.google.com/p/hotoloti/downloads/list,
rss,exif2georss.py,Forensics,Metadata,CLI,,Takes GPS Exif metadata from image files (or whatever) and creates a GeoRSS file suitable for import into Bing Maps.,https://github.com/davehull/Exif2GeoRSS,
"jpg, docx, pptx, xlsx",exiftool,Forensics,Metadata,CLI,,Tool to extract metadata from a file ; can also read_OPEN_XML.PL for MS Office 2k7 files.,,
-,EXPOSURE,Online Help,Blacklists,-,,Detecting malicious DNS domains using large-scale passive DNS analysis,http://exposure.iseclab.org/,
-,Ext2Fsd,Forensics,Linux Forensics,,,An open source Ext2 file system driver for Windows systems ; can also read Ext3 minus journaling.,,
-,Ext2Read,Forensics,Linux Forensics,GUI,,An explorer like utility to explore ext2/ext3/ext4 files. It now supports LVM2 and EXT4 extents. It can be used to view and copy files and folders. It can recursively copy entire folders. It can also be used to view and copy disk and file ,http://sourceforge.net/projects/ext2read/,
,ext3grep,Forensics,File Recovery,CLI,,A tool to investigate an ext3 file system for deleted content and possibly recover it.,https://code.google.com/p/ext3grep,
pcap,extflow.py,File Analysis,PCAP Analysis,CLI,,This is a simple script that will carve out files from streams created by tcpflow.,http://hooked-on-mnemonics.blogspot.com/2012/04/extflowpy-hack-for-carving-files-from.html,
cab,extract.exe,Malware,File Analysis,CLI,,A command-line application that extracts individual files from compressed cabinet (.cab) files. ,http://www.softpedia.com/get/Compression-tools/Microsoft-Cabinet-Extraction-Tool.shtml,Yes
-,fakedns,Network,,,,Emulate common network services,http://code.activestate.com/recipes/491264-mini-fake-dns-server/,
-,FakeNet,Malware,Network Simulation,,,A Windows network simulation tool designed for malware analysis.,http://sourceforge.net/projects/fakenet/,
,FastDump,Forensics,Memory Analysis,,,"Memory dumping utility
*Only supports 32 bit acquisition of up to 4 gigs of RAM, but does not support Vista, Windows 2003, or Windows 2008, or 64 bit platforms.",http://www.hbgary.com/free-tools,
exe,Faster Universal Unpacker,Malware,Unpacking,GUI,,"A GUI Windows Tool with a set of tools (plugins) to help you to unpack, decompress and decrypt most of the programs packed, compressed or encrypted with the very well knowns software protection programs like UPX, ASPack, FSG, ACProtect, etc. ",https://code.google.com/p/fuu/,
,fatback,Forensics,File Carving,CLI,,Recovers deleted files from FAT file systems.,http://sourceforge.net/fastback,
-,fb.pl,Forensics,Social Media,CLI,,Parses Facebook chat logs,https://code.google.com/p/winforensicaanalysis/downloads/list,
-,FDPro,Memory,Memory Analysis,CLI,"fdpro memdump.bin –probe all
fdpro memdump.hpak (grabs pagefile)
",,http://www.hbgary.com/free-tools,
,ffind,Forensics,File Identification,CLI,-,Finds file names that reference the provided metadata number.,,
,Fget,Forensics,,,,"Forensically extracts files from raw NTFS volumes on remote windows systems in your domain. This tool works over the network and can extract any file (including those that are locked and in-use) in a forensically sound manner, without altering target filetimes or attributes.",http://www.hbgary.com/free-tools,
-,file,-,File Identification,,,Identify file type,,
pdf,FileInsight,File Analysis,Microsoft Office,GUI,,Hex editor that can parse and edit OLE structures.,http://www.mcafee.com/us/downloads/free-tools/index.aspx,
-,findaes,Cryptography,Obfuscation/Encryption,,,Find obfuscated or encrypted data,http://sourceforge.net/projects/findaes/,
,Fingerprint,Malware,,,,"Allows you to track a piece of malware based upon compile time, programming language used, language & compiler version, etc. ",http://www.hbgary.com/free-tools,
js,Firebug,Malware,,,,Deobfuscate JavaScript,http://getfirebug.com/,
swf,Flare,File Analysis,Flash,,,"Tool that processes an SWF and extracts all scripts from it. The output is written to a single text file. Only ActionScript is extracted, no text or images.",http://www.nowrap.de/flare.html,Yes
swf,Flash Dissector,File Analysis,Flash,GUI,,An interactive Java based tool for examining the structure and contents of a SWF file.  Part of SWFREtools,https://github.com/sporst/SWFREtools,
swf,flasm,File Analysis,Flash,CLI,flasm -d <file.swf> > file.out,A tool that disassembles your entire SWF including all the timelines and events. ,http://www.nowrap.de/flasm.html,
"dd, E01",fls,Forensics,Timeline Creating,CLI," fls -i ewf -r -p -m C:/ ""<Path-To-Image>\<image>.E01"" > bodyfile.txt ",Lists the file names (deleted and allocated) - but by default won't traverse the entire file system.,http://www.sleuthkit.org/sleuthkit/download.php,
,Flypaper,Malware,,,,"Keeps all components used by the malware will remain resident in the process list, and will remain present in physical memory.",http://www.hbgary.com/free-tools,
-,foremost,Forensics,File Carving,CLI,,"File carving program that uses defined headers, footers and knowledge of the internal strucutres for supported file types to aid in carving.",http://foremost.sourceforge.net,
-,forensicscanner,Forensics,Filesystem Analysis,GUI,,Tool designed to automate a good deal of the initial data collection that most analysts perform in the early stages of an examination.,http://code.google.com/p/forensicscanner,
swf,FP Debugger,Debug,Flash,,,A tool designed for tracing and monitoring Flash Player during its execution.,https://github.com/sporst/SWFREtools,
-,fseventer,Forensics,Mac Forensics,GUI,,Observes filesystem changes using the same underlying API as Spotlight & shows a graphical representation of file activity. (requires Admin creds),http://www.fernlightning.com/doku.php?id=software:fseventer:start,
,fsstat,Forensics,Filesystem Analysis,CLI,-,"Displays file system information (volume names, data unit sizes, statistical disk info)",,
,FTK Imager/Lite,Forensics,,,,,,
dat,galleta,Forensics,Internet Explorer,CLI,,Tool to analyze Internet Cookies,http://www.mcafee.com/us/downloads/free-tools/galleta.aspx,
"exe,elf",Gcluster,Malware,PE Analysis,CLI,,GCluster is a tool based on Pyew's code analysis support created to help clustering sets of executables. ,https://code.google.com/p/pyew/wiki/GCluster,
,gdb,Dissasemble,,,,Disassemble code,,
"swf, pdf",GFI Threat Track Sandbox,Online Help,File Analysis,-,,"Office documents, PDF's, malicious URL's and Flash ads.",http://www.threattrack.com/,
-,GFI Threat Track Sandbox,Online Help,Website Inspection,-,,"Office documents, PDF's, malicious URL's and Flash ads.",http://www.threattrack.com/,
,Gmail offline parser,Forensics,,,,Parse the Gmail Offline folder and display the email's,http://redwolfcomputerforensics.com/index.php?option=com_content&task=view&id=42&Itemid=55,
,gmer.exe,Malware,Rootkit Analysis,GUI,,,,
-,grr,Forensics,Forensic Suite,GUI,,An Incident Response Framework focused on Remote Live Forensics.,http://code.google.com/p/grr/,
,guymager,Forensics,Disk Imaging,GUI,,"Similarly to ewfacquire it uses LibEWF to create raw, AFF and EWF/E01 image files",,
-,hachoir-metadata,Forensics,Metadata,,,Extract metadata,https://bitbucket.org/haypo/hachoir/wiki/hachoir-metadata,
-,hachoir-subfile,Forensics,,,,"Used to intelligently identify files within binary streams, including unallocated space.",,
,hachoir-urwid,File Analysis,Microsoft Office,,,Examine suspicious Microsoft Office documents,https://bitbucket.org/haypo/hachoir/wiki/hachoir-urwid,
pcap,hadoop-pcap,Network,Log Analysis,CLI,,Hadoop library to read packet capture (PCAP) files,"https://github.com/RIPE-NCC/hadoop-pcap
https://labs.ripe.net/Members/wnagele/large-scale-pcap-data-analysis-using-apache-hadoop",
-,hapi.exe,Malware,File Analysis,CLI,,A simple tool that extracts known API names from a given binary (best used on memory dumps),http://www.hexacorn.com/blog/2012/03/03/hapi-api-extractor/,
-,hashdeep,Cryptography,Obfuscation/Encryption,CLI,,"Developed to be a more robust hash auditing application than md5deep.  It can generate multiple hashes (MD5, SHA*) for files as well perform auditing on data sets.",,
-,HDDerase,Forensics,Disk Wiping,CLI,,Tool that executes the Federally-approved (NIST 800-88) Secure Erase command.,http://cmrr.ucsd.edu/people/Hughes/SecureErase.shtml,
"exe, dll",hdive,Malware,File Analysis,CLI,.hdive.exe -a <file>,Based off of HAPI - extracts interesting stuff instead of default strings output (API calls etc.),http://hexacorn.com/download.php?f=hdive.exe,
-,hdparm,Forensics,Disk Analysis,CLI,"hdparm -N <drive> = HPA
hdparm --dco-identify <drive> = DCO",Can be used to detect HPA/DCO and wipe a drive including bad sectors,http://tinyapps.org/docs/wipe_drives_hdparm.html,
,hfind,File Identification,,CLI,-,Used to query hash databases fast by first indexing the databases.,,
dmg,HFS Explorer,Forensics,Mac Forensics,GUI,-,An application that can read the HFS and HFS+ file systems including CD/DVD & DMG containers.,http://www.catacombae.org/hfsx.html,Yes
sys,hibr2bin,Memory,Hibernation File,CLI,,Part of MoonSols Windows Memory Toolkit that converts Windows hibernation files to raw memory images.,http://www.moonsols.com/products,
-,Highligher,Forensics,Log Analysis,GUI,,Highlighter is a free utility designed primarily for security analysts and system administrators. Highlighter provides a user with three views of the log or text file being analyzed:,http://www.mandiant.com/products/free_software/highlighter/,
-,Honeyd,Network,,CLI,,Intercept traffic and emulate some services.,http://www.honeyd.org/,
,icat,Forensics,,CLI,-,Streams the data unit referenced by the specific meta data address.,,
-,IDA,Dissasemble,Reverse Engineering,GUI,,,http://www.hex-rays.com/idapro/idadownfreeware.htm,
-,IECacheView,Internet Browser,Internet Explorer,,,Extracts information from the cache files (index.dat) of Internet Explorer.,http://www.nirsoft.net/utils/ie_cache_viewer.html,
dat,IECookiesView,Internet Browser,Internet Explorer,,,Extracts the content of all cookie files stored by Internet Explorer. ,http://www.nirsoft.net/utils/iecookies.html,
-,IEF,Forensics,Internet Explorer,GUI,,Internet Evidence Finder - trial limits to first 20 results.,http://www.jadsoftware.com,
dat,IEHistoryView,Internet Browser,Internet Explorer,,,Extracts information from the history file (index.dat) of Internet Explorer.,http://www.nirsoft.net/utils/iehv.html,
,ifind,Forensics,,CLI,-,Finds the metadata structure referenced by the provided file or the metadata structure that references the provided data unit address.,,
,ils,Forensics,Timeline Creating,CLI,aZ = list all inodes that are allocated or have been used at some point,"Lists the metadata structures, parsing and displaying the embedded dates, ownership etc.",,
-,ImageUSB,Forensics,Disk Imaging,GUI,,Lets you write an image concurrently to multiple USB Flash Drives,http://www.osforensics.com/tools/write-usb-images.html,
-,ImDisk,Forensics,Disk Analysis,GUI,,"Windows equivalent to losetup.  It can create virtual hard disk, floppy or CD/DVD drives using image files or system memory.",http://www.ltr-data.se/opencode.html#ImDisk,Yes
-,img_stat,Forensics,Disk Information,CLI,,Displays information about the image format (hashes etc. from forensic containers),,
-,inception,Forensics,Live IR,CLI,,A FireWire physical memory manipulation and hacking tool exploiting IEEE 1394 SBP-2 DMA. The tool can unlock (any password accepted) and escalate privileges to Administrator/root on almost any machine you have physical access to.,https://github.com/carmaa/inception,
dat,IndexDatSpy,Internet Browser,Internet Explorer,,,Index Dat Spy is a powerful and easy-to-use application that exposes the contents of any index.dat file - even if the file is currently in use by Windows.,http://www.stevengould.org/index.php?option=com_content&task=view&id=47&Itemid=88,Yes
$I*,INDXParse.py,Forensics,Windows Special Files,CLI,,Parses Windows NTFS INDX files ($I30( - can't be run against a live system,https://github.com/williballenthin/INDXParse,
-,inetsim,Malware,Network Simulation,CLI,,,http://www.inetsim.org/,
-,InteractiveSieve,Forensics,Log Analysis,GUI,,Tool to analyze log files and other data in tabular form and allows you to hide or color events (or data) that are not relevant.,http://blog.didierstevens.com/2012/04/17/interactivesieve/,
,Internet History Parser,Forensics,,,,"Parse the IE files (cookies, index.dat, history) and display reports",http://redwolfcomputerforensics.com/index.php?option=com_content&task=view&id=42&Itemid=55,
,Internet Parser,Forensics,,,,"Parse the following browsers flock, chrome, firefox and display reports",http://redwolfcomputerforensics.com/index.php?option=com_content&task=view&id=42&Itemid=55,
-,IOReg Info,Forensics,Mac Forensics,,,This utility is used to display the Input/Output Registry from a Mac system.,https://www.blackbagtech.com/resources/freetools.html,
mbdb,iPhoneBackupBrowser,Forensics,Cell Phone,GUI,,Tool that shows the content of your iDevice backup & parses the manifest.mdbd file.,https://code.google.com/p/iphonebackupbrowser/,
-,ISC Hash Database,Online Help,File Analysis,-,,Online SHA1/MD5 lookup from NSRL/Cymru.  Not the most recent though.,http://isc.sans.edu/tools/hashsearch.html,
,istat,Forensics,,CLI,-,"Displays information about a specific metadata structure (ownership, time information, block allocations)",,
,Itunes Parser,Forensics,,,,Parse an Itunes library and determine Email address songs were registered to,http://redwolfcomputerforensics.com/index.php?option=com_content&task=view&id=42&Itemid=55,
jar,JAD Java Decompiler,File Analysis,Java,,,Decompile Java class files,http://www.varaneckas.com/jad,
-,jcat,Forensics,Journals,CLI,,Streams the content of the required journal block to STDOUT.,,
,jd-gui,File Analysis,Java,,,Decompile Java class files,http://java.decompiler.free.fr/?q=jdgui,
-,jls,Forensics,Journals,CLI,,Lists items in the file system journal.,,
"pdf, doc, ppt, xls, docx, pptx, xlsx",Joe Document Dissector,Online Help,File Analysis,,http://joedd.joesecurity.org/,,,
js,js-beautify,File Analysis,Java,CLI,,"Will reformat and reindent bookmarklets, ugly JavaScript, unpack scripts packed by Dean Edward’s popular packer, as well as deobfuscate scripts processed by javascriptobfuscator.com.",https://github.com/einars/js-beautify,
js,JSDetox,File Analysis,JavaScript,GUI,,A Javascript malware analysis tool using static analysis / deobfuscation techniques and an execution engine featuring HTML DOM emulation,http://www.relentless-coding.com/projects/jsdetox,
js,JSUNPACK,Online Help,Website Inspection,-,,A Generic JavaScript Unpacker,http://jsunpack.jeek.org/,
js,jsunpack-extractjs,File Analysis,JavaScript,CLI,,,REMnux,
js,Jsunpack-n,File Analysis,JavaScript,CLI,,"Inspect malicious websites, JavaScript files and traffic captures",https://code.google.com/p/jsunpack-n/,
pcap,Jsunpack-n,File Analysis,PCAP Analysis,CLI,"jsunpackn.py -v -g <out.png> -s <file.pcap> = verbose, save urls to graphic & save everything","Inspect malicious websites, JavaScript files and traffic captures",https://code.google.com/p/jsunpack-n/,
-,JumpLister,Forensics,Jump Lists Analysis,GUI,,GUI to parse Windows  7 Jump Lists,http://www.woanware.co.uk/?page_id=266,
-,l2t_tools,Forensics,Timeline Creating,GUI,,log2timeline front end,https://code.google.com/p/l2t-tools/,
-,Lantern Lite,Cellular,iOS,,,,https://github.com/KatanaForensics/LanternLite/downloads,
plist,last_session.pl,Forensics,Mac Forensics,CLI,,Safari LastSession.plist parser - Part of SFT (Safari Forensic Tools),http://jafat.sourceforge.net/files.html,
-,libbde,Cryptography,Obfuscation/Encryption,CLI,,Linux based library and tools to support the BitLocker Drive Encryption (BDE) encrypted volumes.,https://code.google.com/p/libbde/,
