"id","mtime","file","mtype","refname","fullname","name","rank","description","license","privileged","disclosure_date","default_target","default_action","stance","ready","ref_names","author_names"
11,"2013-05-23 08:20:18","/opt/metasploit/apps/pro/msf3/modules/exploits/freebsd/telnet/telnet_encrypt_keyid.rb","exploit","freebsd/telnet/telnet_encrypt_keyid","exploit/freebsd/telnet/telnet_encrypt_keyid","FreeBSD Telnet Service Encryption Key ID Buffer Overflow",500,"This module exploits a buffer overflow in the encryption option handler of the FreeBSD telnet service.","Metasploit Framework License (BSD)","t","2011-12-23 00:00:00",0,,"aggressive","t","BID-51182, CVE-2011-4862, EDB-18280, OSVDB-78020","Brandon Perry <bperry.volatile@gmail.com>, Dan Rosenberg, Jaime Penalba Estebanez <jpenalbae@gmail.com>, hdm <hdm@metasploit.com>"
12,"2013-05-07 00:25:41","/opt/metasploit/apps/pro/msf3/modules/exploits/hpux/lpd/cleanup_exec.rb","exploit","hpux/lpd/cleanup_exec","exploit/hpux/lpd/cleanup_exec","HP-UX LPD Command Execution",600,"This exploit abuses an unpublished vulnerability in the HP-UX LPD service. This flaw allows an unauthenticated attacker to execute arbitrary commands with the privileges of the root user. The LPD service is only exploitable when the address of the attacking system can be resolved by the target. This vulnerability was silently patched with the buffer overflow flaws addressed in HP Security Bulletin HPSBUX0208-213.","Metasploit Framework License (BSD)","f","2002-08-28 00:00:00",0,,"aggressive","t","CVE-2002-1473, OSVDB-9638, URL-http://archives.neohapsis.com/archives/hp/2002-q3/0064.html","hdm <hdm@metasploit.com>"
13,"2013-05-07 00:25:41","/opt/metasploit/apps/pro/msf3/modules/exploits/irix/lpd/tagprinter_exec.rb","exploit","irix/lpd/tagprinter_exec","exploit/irix/lpd/tagprinter_exec","Irix LPD tagprinter Command Execution",600,"This module exploits an arbitrary command execution flaw in the in.lpd service shipped with all versions of Irix.","Metasploit Framework License (BSD)","f","2001-09-01 00:00:00",0,,"aggressive","t","CVE-2001-0800, OSVDB-8573, URL-http://www.lsd-pl.net/code/IRIX/irx_lpsched.c","hdm <hdm@metasploit.com>, optyx <optyx@no$email.com>"
14,"2013-05-07 00:25:41","/opt/metasploit/apps/pro/msf3/modules/exploits/linux/browser/adobe_flashplayer_aslaunch.rb","exploit","linux/browser/adobe_flashplayer_aslaunch","exploit/linux/browser/adobe_flashplayer_aslaunch","Adobe Flash Player ActionScript Launch Command Execution Vulnerability",400,"This module exploits a vulnerability in Adobe Flash Player for Linux, version 10.0.12.36 and 9.0.151.0 and prior. An input validation vulnerability allows command execution when the browser loads a SWF file which contains shell metacharacters in the arguments to the ActionScript launch method.  The victim must have Adobe AIR installed for the exploit to work. This module was tested against version 10.0.12.36 (10r12_36).","Metasploit Framework License (BSD)","f","2008-12-17 00:00:00",0,,"passive","t","BID-32896, CVE-2008-5499, OSVDB-50796, URL-http://www.adobe.com/support/security/bulletins/apsb08-24.html","0a29406d9794e4f9b30b3c5d6702c708"
15,"2013-05-07 00:25:41","/opt/metasploit/apps/pro/msf3/modules/exploits/linux/ftp/proftp_sreplace.rb","exploit","linux/ftp/proftp_sreplace","exploit/linux/ftp/proftp_sreplace","ProFTPD 1.2 - 1.3.0 sreplace Buffer Overflow (Linux)",500,"This module exploits a stack-based buffer overflow in versions 1.2 through 1.3.0 of ProFTPD server. The vulnerability is within the ""sreplace"" function within the ""src/support.c"" file.  The off-by-one heap overflow bug in the ProFTPD sreplace function has been discovered about 2 (two) years ago by Evgeny Legerov. We tried to exploit this off-by-one bug via MKD command, but failed. We did not work on this bug since then.  Actually, there are exists at least two bugs in sreplace function, one is the mentioned off-by-one heap overflow bug the other is a stack-based buffer overflow via 'sstrncpy(dst,src,negative argument)'.  We were unable to reach the ""sreplace"" stack bug on ProFTPD 1.2.10 stable version, but the version 1.3.0rc3 introduced some interesting changes, among them:  1. another (integer) overflow in sreplace! 2. now it is possible to reach sreplace stack-based buffer overflow bug via the ""pr_display_file"" function! 3. stupid '.message' file display bug  So we decided to choose ProFTPD 1.3.0 as a target for our exploit. To reach the bug, you need to upload a specially created .message file to a writeable directory, then do ""CWD <writeable directory>"" to trigger the invocation of sreplace function.  Note that ProFTPD 1.3.0rc3 has introduced a stupid bug: to display '.message' file you also have to upload a file named '250'. ProFTPD 1.3.0 fixes this bug.  The exploit is a part of VulnDisco Pack since Dec 2005.","Metasploit Framework License (BSD)","t","2006-11-26 00:00:00",0,,"aggressive","t","BID-20992, CVE-2006-5815, OSVDB-68985, URL-http://bugs.proftpd.org/show_bug.cgi?id=2858, URL-http://proftp.cvs.sourceforge.net/proftp/proftpd/src/main.c?view=diff&r1=text&tr1=1.292&r2=text&tr2=1.294&diff_format=h, URL-http://seclists.org/bugtraq/2006/Nov/538, URL-http://seclists.org/bugtraq/2006/Nov/94","Evgeny Legerov <admin@gleg.net>, jduck <jduck@metasploit.com>"
16,"2013-05-07 00:25:41","/opt/metasploit/apps/pro/msf3/modules/exploits/linux/ftp/proftp_telnet_iac.rb","exploit","linux/ftp/proftp_telnet_iac","exploit/linux/ftp/proftp_telnet_iac","ProFTPD 1.3.2rc3 - 1.3.3b Telnet IAC Buffer Overflow (Linux)",500,"This module exploits a stack-based buffer overflow in versions of ProFTPD server between versions 1.3.2rc3 and 1.3.3b. By sending data containing a large number of Telnet IAC commands, an attacker can corrupt memory and execute arbitrary code.  The Debian Squeeze version of the exploit uses a little ROP stub to indirectly transfer the flow of execution to a pool buffer (the cmd_rec ""res"" in ""pr_cmd_read"").  The Ubuntu version uses a ROP stager to mmap RWX memory, copy a small stub to it, and execute the stub. The stub then copies the remainder of the payload in and executes it.  NOTE: Most Linux distributions either do not ship a vulnerable version of ProFTPD, or they ship a version compiled with stack smashing protection.  Although SSP significantly reduces the probability of a single attempt succeeding, it will not prevent exploitation. Since the daemon forks in a default configuration, the cookie value will remain the same despite some attemtps failing. By making repeated requests, an attacker can eventually guess the cookie value and exploit the vulnerability.  The cookie in Ubuntu has 24-bits of entropy. This reduces the effectiveness and could allow exploitation in semi-reasonable amount of time.","Metasploit Framework License (BSD)","t","2010-11-01 00:00:00",0,,"aggressive","t","BID-44562, CVE-2010-4221, OSVDB-68985","jduck <jduck@metasploit.com>"
17,"2013-05-07 00:25:41","/opt/metasploit/apps/pro/msf3/modules/exploits/linux/games/ut2004_secure.rb","exploit","linux/games/ut2004_secure","exploit/linux/games/ut2004_secure","Unreal Tournament 2004 ""secure"" Overflow (Linux)",400,"This is an exploit for the GameSpy secure query in the Unreal Engine.  This exploit only requires one UDP packet, which can be both spoofed and sent to a broadcast address. Usually, the GameSpy query server listens on port 7787, but you can manually specify the port as well.  The RunServer.sh script will automatically restart the server upon a crash, giving us the ability to bruteforce the service and exploit it multiple times.","BSD License","t","2004-06-18 00:00:00",,,"aggressive","t","BID-10570, CVE-2004-0608, OSVDB-7217","onetwo"
18,"2013-05-07 00:25:41","/opt/metasploit/apps/pro/msf3/modules/exploits/linux/http/alcatel_omnipcx_mastercgi_exec.rb","exploit","linux/http/alcatel_omnipcx_mastercgi_exec","exploit/linux/http/alcatel_omnipcx_mastercgi_exec","Alcatel-Lucent OmniPCX Enterprise masterCGI Arbitrary Command Execution",0,"This module abuses a metacharacter injection vulnerability in the HTTP management interface of the Alcatel-Lucent OmniPCX Enterprise Communication Server 7.1 and earlier. The Unified Maintenance Tool contains a 'masterCGI' binary which allows an unauthenticated attacker to execute arbitrary commands by specifing shell metacharaters as the 'user' within the 'ping' action to obtain 'httpd' user access. This module only supports command line payloads, as the httpd process kills the reverse/bind shell spawn after the HTTP 200 OK response.","Metasploit Framework License (BSD)","f","2007-09-09 00:00:00",0,,"aggressive","t","BID-25694, CVE-2007-3010, OSVDB-40521, URL-http://www1.alcatel-lucent.com/psirt/statements/2007002/OXEUMT.htm","patrick <patrick@osisecurity.com.au>"
19,"2013-05-07 00:25:41","/opt/metasploit/apps/pro/msf3/modules/exploits/linux/http/ddwrt_cgibin_exec.rb","exploit","linux/http/ddwrt_cgibin_exec","exploit/linux/http/ddwrt_cgibin_exec","DD-WRT HTTP Daemon Arbitrary Command Execution",600,"This module abuses a metacharacter injection vulnerability in the HTTP management server of wireless gateways running DD-WRT. This flaw allows an unauthenticated attacker to execute arbitrary commands as the root user account.","Metasploit Framework License (BSD)","t","2009-07-20 00:00:00",0,,"aggressive","t","BID-35742, CVE-2009-2765, EDB-9209, OSVDB-55990","gat3way, hdm <hdm@metasploit.com>"
20,"2013-05-07 00:25:41","/opt/metasploit/apps/pro/msf3/modules/exploits/linux/http/dlink_diagnostic_exec_noauth.rb","exploit","linux/http/dlink_diagnostic_exec_noauth","exploit/linux/http/dlink_diagnostic_exec_noauth","DLink DIR-645 / DIR-815 diagnostic.php Command Execution",600,"Some DLink Routers are vulnerable to OS Command injection in the web interface. On DIR-645 versions prior 1.03 authentication isn't needed to exploit it. On version 1.03 authentication is needed in order to trigger the vulnerability, which has been fixed definitely on version 1.04. Other DLink products, like DIR-300 rev B and DIR-600, are also affected by this vulnerability. Not every device includes wget which we need for deploying our payload. On such devices you could use the cmd generic payload and try to start telnetd or execute other commands. Since it is a blind OS command injection vulnerability, there is no output for the executed command when using the cmd generic payload. A ping command against a controlled system could be used for testing purposes. This module has been tested successfully on DIR-645 prior to 1.03, where authentication isn't needed in order to exploit the vulnerability.","Metasploit Framework License (BSD)","t","2013-03-05 00:00:00",1,,"passive","t","BID-58938, EDB-24926, OSVDB-92144, URL-http://www.s3cur1ty.de/m1adv2013-017","Michael Messner <devnull@s3cur1ty.de>, juan vazquez <juan.vazquez@metasploit.com>"
21,"2013-05-20 21:27:11","/opt/metasploit/apps/pro/msf3/modules/exploits/linux/http/dlink_dir615_up_exec.rb","exploit","linux/http/dlink_dir615_up_exec","exploit/linux/http/dlink_dir615_up_exec","D-Link DIR615h OS Command Injection",600,"Some D-Link Routers are vulnerable to an authenticated OS command injection on their web interface, where default credentials are admin/admin or admin/password. Since it is a blind os command injection vulnerability, there is no output for the executed command when using the cmd generic payload. This module was tested against a DIR-615 hardware revision H1 - firmware version 8.04. A ping command against a controlled system could be used for testing purposes. The exploit uses the wget client from the device to convert the command injection into an arbitrary payload execution.","Metasploit Framework License (BSD)","t","2013-02-07 00:00:00",1,,"passive","t","BID-57882, EDB-24477, OSVDB-90174, URL-http://www.s3cur1ty.de/m1adv2013-008","Michael Messner <devnull@s3cur1ty.de>, juan vazquez <juan.vazquez@metasploit.com>"
22,"2013-05-07 00:25:41","/opt/metasploit/apps/pro/msf3/modules/exploits/linux/http/dolibarr_cmd_exec.rb","exploit","linux/http/dolibarr_cmd_exec","exploit/linux/http/dolibarr_cmd_exec","Dolibarr ERP & CRM 3 Post-Auth OS Command Injection",600,"This module exploits a vulnerability found in Dolibarr ERP/CRM's backup feature. This software is used to manage a company's business information such as contacts, invoices, orders, stocks, agenda, etc. When processing a database backup request, the export.php function does not check the input given to the sql_compat parameter, which allows a remote authenticated attacker to inject system commands into it, and then gain arbitrary code execution.","Metasploit Framework License (BSD)","f","2012-04-06 00:00:00",0,,"aggressive","t","OSVDB-80980, URL-http://seclists.org/fulldisclosure/2012/Apr/78","Nahuel Grisolia <nahuel@cintainfinita.com.ar>, sinn3r <sinn3r@metasploit.com>"
23,"2013-05-07 00:25:41","/opt/metasploit/apps/pro/msf3/modules/exploits/linux/http/dreambox_openpli_shell.rb","exploit","linux/http/dreambox_openpli_shell","exploit/linux/http/dreambox_openpli_shell","OpenPLI Webif Arbitrary Command Execution",500,"Some Dream Boxes with OpenPLI v3 beta Images are vulnerable to OS command injection in the Webif 6.0.4 Web Interface. This is a blind injection, which means that you will not see any output of your command. A ping command can be used for testing the vulnerability. This module has been tested in a box with the next features: Linux Kernel version 2.6.9 (build@plibouwserver) (gcc version 3.4.4) #1 Wed Aug 17 23:54:07 CEST 2011, Firmware release 1.1.0 (27.01.2013), FP Firmware 1.06 and Web Interface 6.0.4-Expert (PLi edition).","Metasploit Framework License (BSD)","t","2013-02-08 00:00:00",0,,"aggressive","t","BID-57943, EDB-24498, OSVDB-90230, URL-http://openpli.org/wiki/Webif, URL-http://www.s3cur1ty.de/m1adv2013-007","Michael Messner <devnull@s3cur1ty.de>"
24,"2013-05-07 00:25:41","/opt/metasploit/apps/pro/msf3/modules/exploits/linux/http/esva_exec.rb","exploit","linux/http/esva_exec","exploit/linux/http/esva_exec","E-Mail Security Virtual Appliance learn-msg.cgi Command Injection",600,"This module exploits a command injection vulnerability found in E-Mail Security Virtual Appliance. This module abuses the learn-msg.cgi file to execute arbitrary OS commands without authentication. This module has been successfully tested on the ESVA_2057 appliance.","Metasploit Framework License (BSD)","f","2012-08-16 00:00:00",0,,"aggressive","t","BID-55050, EDB-20551","iJoo, juan vazquez <juan.vazquez@metasploit.com>"
25,"2013-05-07 00:25:41","/opt/metasploit/apps/pro/msf3/modules/exploits/linux/http/gpsd_format_string.rb","exploit","linux/http/gpsd_format_string","exploit/linux/http/gpsd_format_string","Berlios GPSD Format String Vulnerability",200,"This module exploits a format string vulnerability in the Berlios GPSD server. This vulnerability was discovered by Kevin Finisterre.","Metasploit Framework License (BSD)","f","2005-05-25 00:00:00",,,"aggressive","t","BID-12371, CVE-2004-1388, OSVDB-13199, URL-http://www.securiteam.com/unixfocus/5LP0M1PEKK.html","Yann Senotier <yann.senotier@cyber-networks.fr>"
26,"2013-05-07 00:25:41","/opt/metasploit/apps/pro/msf3/modules/exploits/linux/http/groundwork_monarch_cmd_exec.rb","exploit","linux/http/groundwork_monarch_cmd_exec","exploit/linux/http/groundwork_monarch_cmd_exec","GroundWork monarch_scan.cgi OS Command Injection",600,"This module exploits a vulnerability found in GroundWork 6.7.0. This software is used for network, application and cloud monitoring. The vulnerability exists in the monarch_scan.cgi where user controlled input is used in the perl qx function. This allows any remote authenticated attacker, regardless of privileges, to inject system commands and gain arbitrary code execution. The module has been tested successfully on GroundWork 6.7.0-br287-gw1571 as distributed within the Ubuntu 10.04 based VM appliance.","Metasploit Framework License (BSD)","f","2013-03-08 00:00:00",0,,"aggressive","t","OSVDB-91051, URL-https://www.sec-consult.com/fxdata/seccons/prod/temedia/advisories_txt/20130308-0_GroundWork_Monitoring_Multiple_critical_vulnerabilities_wo_poc_v10.txt, US-CERT-VU-345260","Johannes Greil, juan vazquez <juan.vazquez@metasploit.com>"
27,"2013-05-30 14:36:26","/opt/metasploit/apps/pro/msf3/modules/exploits/linux/http/hp_system_management.rb","exploit","linux/http/hp_system_management","exploit/linux/http/hp_system_management","HP System Management Anonymous Access Code Execution",300,"This module exploits an anonymous remote code execution on HP System Management 7.1.1 and earlier. The vulnerability exists when handling the iprange parameter on a request against /proxy/DataValidation. In order to work HP System Management must be configured with Anonymous access enabled.","Metasploit Framework License (BSD)","f","2012-09-01 00:00:00",0,,"aggressive","t","OSVDB-91812","agix"
28,"2013-05-07 00:25:41","/opt/metasploit/apps/pro/msf3/modules/exploits/linux/http/linksys_apply_cgi.rb","exploit","linux/http/linksys_apply_cgi","exploit/linux/http/linksys_apply_cgi","Linksys WRT54 Access Point apply.cgi Buffer Overflow",500,"This module exploits a stack buffer overflow in apply.cgi on the Linksys WRT54G and WRT54GS routers. According to iDefense who discovered this vulnerability, all WRT54G versions prior to 4.20.7 and all WRT54GS version prior to 1.05.2 may be be affected.","Metasploit Framework License (BSD)","f","2005-09-13 00:00:00",0,,"aggressive","t","CVE-2005-2799, OSVDB-19389, URL-http://labs.idefense.com/intelligence/vulnerabilities/display.php?id=305","Julien Tinnes <julien@cr0.org>, Raphael Rigo <devel-metasploit@syscall.eu>"
29,"2013-05-07 00:25:41","/opt/metasploit/apps/pro/msf3/modules/exploits/linux/http/linksys_e1500_apply_exec.rb","exploit","linux/http/linksys_e1500_apply_exec","exploit/linux/http/linksys_e1500_apply_exec","Linksys E1500/E2500 apply.cgi Remote Command Injection",600,"Some Linksys Routers are vulnerable to an authenticated OS command injection. Default credentials for the web interface are admin/admin or admin/password. Since it is a blind os command injection vulnerability, there is no output for the executed command when using the cmd generic payload. A ping command against a controlled system could be used for testing purposes.","Metasploit Framework License (BSD)","t","2013-02-05 00:00:00",1,,"passive","t","BID-57760, EDB-24475, OSVDB-89912, URL-http://www.s3cur1ty.de/m1adv2013-004","Michael Messner <devnull@s3cur1ty.de>, juan vazquez <juan.vazquez@metasploit.com>"
30,"2013-05-20 21:27:11","/opt/metasploit/apps/pro/msf3/modules/exploits/linux/http/linksys_wrt160nv2_apply_exec.rb","exploit","linux/http/linksys_wrt160nv2_apply_exec","exploit/linux/http/linksys_wrt160nv2_apply_exec","Linksys WRT160nv2 apply.cgi Remote Command Injection",600,"Some Linksys Routers are vulnerable to an authenticated OS command injection on their web interface where default credentials are admin/admin or admin/password. Since it is a blind OS command injection vulnerability, there is no output for the executed command when using the cmd generic payload. This module has been tested on a Linksys WRT160n version 2 - firmware version v2.0.03. A ping command against a controlled system could be used for testing purposes. The exploit uses the tftp client from the device to stage to native payloads from the command injection.","Metasploit Framework License (BSD)","t","2013-02-11 00:00:00",1,,"aggressive","t","BID-57887, EDB-24478, OSVDB-90093, URL-http://www.s3cur1ty.de/m1adv2013-012","Michael Messner <devnull@s3cur1ty.de>, juan vazquez <juan.vazquez@metasploit.com>"
31,"2013-05-07 00:25:41","/opt/metasploit/apps/pro/msf3/modules/exploits/linux/http/linksys_wrt54gl_apply_exec.rb","exploit","linux/http/linksys_wrt54gl_apply_exec","exploit/linux/http/linksys_wrt54gl_apply_exec","Linksys WRT54GL apply.cgi Command Execution",0,"Some Linksys Routers are vulnerable to an authenticated OS command injection in the Web Interface. Default credentials are admin/admin or admin/password. Since it is a blind os command injection vulnerability, there is no output for the executed command when using the cmd generic payload. A ping command against a controlled system could be used for testing purposes. The user must be prudent when using this module since it modifies the router configuration while exploitation, even when it tries to restore previous values.","Metasploit Framework License (BSD)","t","2013-01-18 00:00:00",1,,"passive","t","BID-57459, EDB-24202, OSVDB-89912, URL-http://www.s3cur1ty.de/m1adv2013-001","Michael Messner <devnull@s3cur1ty.de>, juan vazquez <juan.vazquez@metasploit.com>"
32,"2013-05-16 16:06:27","/opt/metasploit/apps/pro/msf3/modules/exploits/linux/http/mutiny_frontend_upload.rb","exploit","linux/http/mutiny_frontend_upload","exploit/linux/http/mutiny_frontend_upload","Mutiny 5 Arbitrary File Upload",600,"This module exploits a code execution flaw in the Mutiny 5 appliance. The EditDocument servlet provides a file upload function to authenticated users. A directory traversal vulnerability in the same functionality allows for arbitrary file upload, which results in arbitrary code execution with root privileges. In order to exploit the vulnerability a valid user (any role) in the web frontend is required. The module has been tested successfully on the Mutiny 5.0-1.07 appliance.","Metasploit Framework License (BSD)","t","2013-05-15 00:00:00",0,,"aggressive","t","CVE-2013-0136, URL-https://community.rapid7.com/community/metasploit/blog/2013/05/15/new-1day-exploits-mutiny-vulnerabilities, US-CERT-VU-701572","juan vazquez <juan.vazquez@metasploit.com>"
33,"2013-05-07 00:25:41","/opt/metasploit/apps/pro/msf3/modules/exploits/linux/http/netgear_dgn1000b_setup_exec.rb","exploit","linux/http/netgear_dgn1000b_setup_exec","exploit/linux/http/netgear_dgn1000b_setup_exec","Netgear DGN1000B setup.cgi Remote Command Execution",600,"Some Netgear Routers are vulnerable to authenticated OS Command injection. The vulnerability exists in the web interface, specifically in the setup.cgi component, when handling the TimeToLive parameter. Default credentials are always a good starting point, admin/admin or admin/password could be a first try. Since it is a blind os command injection vulnerability, there is no output for the executed command when using the cmd generic payload. A ping command against a controlled system could be used for testing purposes.","Metasploit Framework License (BSD)","t","2013-02-06 00:00:00",1,,"passive","t","BID-57836, EDB-24464, OSVDB-89985, URL-http://www.s3cur1ty.de/m1adv2013-005","Michael Messner <devnull@s3cur1ty.de>, juan vazquez <juan.vazquez@metasploit.com>"
34,"2013-05-07 00:25:41","/opt/metasploit/apps/pro/msf3/modules/exploits/linux/http/netgear_dgn2200b_pppoe_exec.rb","exploit","linux/http/netgear_dgn2200b_pppoe_exec","exploit/linux/http/netgear_dgn2200b_pppoe_exec","Netgear DGN2200B pppoe.cgi Remote Command Execution",0,"Some Netgear Routers are vulnerable to an authenticated OS command injection on their web interface. Default credentials for the web interface are admin/admin or admin/password. Since it is a blind os command injection vulnerability, there is no output for the executed command when using the cmd generic payload. A ping command against a controlled system could be used for testing purposes. This module overwrites parts of the PPOE configuration, while the module tries to restore it after exploitation configuration backup is recommended.","Metasploit Framework License (BSD)","t","2013-02-15 00:00:00",1,,"passive","t","BID-57998, EDB-24513, OSVDB-90320, URL-http://www.s3cur1ty.de/m1adv2013-015","Michael Messner <devnull@s3cur1ty.de>, juan vazquez <juan.vazquez@metasploit.com>"
