whois.alabanza.com                 Alabanza, Inc C=US
whois.opensrs.net                  Open Shared Registration System C=US
pcdc.net                           Pacific Communications Development Corp. C=TW
whois.ra.net                       The Routing Arbiter Project C=US
whois.ripe.net                     Reseaux IP Europeens C=NL
whois.ripn.net                     Russian Institute for Public Networks C=RU
whois.thnic.net                    Thailand Network Information Center C=TH
whois.twnic.net                    Taiwan Network Information Center C=TW
whois.dhs.org                      Domain Host Services C=AU
whois.morris.org                   Morris Automated Information Network C=US
whois.nic.ac                       nic.ac C=AC
whois.nic.am                       AM Network Information Centre C=AM
whois.nic.as                       ASNIC C=AS
wp.tuwien.ac.at                    Technische Universitat Wien C=AT
whois.risc.uni-linz.ac.at          Research Institute for Symbolic Computation, University of Linz C=AT
whois.wu-wien.ac.at                Wirtschaftsuniversitaet Wien C=AT
archie.au                          Australian Academic and Research Network C=AU
whois.connect.com.au               Connect.com.au Pty Ltd C=AU
whois.adelaide.edu.au              University of Adelaide C=AU
whois.monash.edu.au                Monash University C=AU
uwa.edu.au                         University of Western Australia C=AU
sserve.cc.adfa.oz.au               University College, Australian Defense Force Academy C=AU
whois.kuleuven.ac.be               Katholieke Universiteit Leuven C=BE
whois.belnet.be                    Belgian National Research Network C=BE
whois.registro.br                  registro.br C=BR
whois.camosun.bc.ca                Camosun College, Victoria, B.C. C=CA
whois.canet.ca                     Bell Canada Internet Transit Service C=CA
whois.cdnnet.ca                    CDNnet C=CA
whois.queensu.ca                   Queen's University, Kingston, Canada C=CA
ac.nsac.ns.ca                      Nova Scotia Agricultural College C=CA
whois.unb.ca                       University of New Brunswick C=CA
panda1.uottawa.ca                  University of Ottawa C=CA
dvinci.usask.ca                    University of Saskatchewan, Engineering C=CA
whois.usask.ca                     University of Saskatchewan C=CA
phys.uvic.ca                       University of Victoria, Physics & Astronomy C=CA
whois.uwo.ca                       University of Western Ontario C=CA
whois.nic.cc                       NIC.CC Registration Services C=CC
whois.nic.ch                       SWITCH Swiss Academic and Research Network C=CH
whois.nic.ck                       Cook Islands Network Information Centre C=CK
whois.nic.cl                       U. de Chile (NIC Chile) C=CL
whois.cnnic.net.cn                 Computer Network Center, Chinese Academy of Sciences C=CN
whois.ci.ucr.ac.cr                 University of Costa Rica Computer Center C=CR
whois.cuni.cz                      Charles University, Prague C=CZ
whois.mff.cuni.cz                  Charles University, Faculty of Mathematics and Physics C=CZ
www.fce.vutbr.cz                   Faculty of Civil Engineering, Technical University of Brno C=CZ
gopher.fme.vutbr.cz                Faculty of Mechanical Engineering, Technical University of Brno C=CZ
whois.fee.vutbr.cz                 Faculty of Elec. Eng. and Computer Sci., Technical Univ. of Brno C=CZ
whois.vutbr.cz                     Technical University of Brno C=CZ
whois.fh-koeln.de                  Fachhochschule Koeln C=DE
whois.fzi.de                       Forschungszentrum Informatik C=DE
hermes.informatik.htw-zittau.de    HTW Zittau/Goerlitz Elektrotechnik/Informatik C=DE
whois.nic.de                       DEutsches Network Information Center C=DE
whois.th-darmstadt.de              Darmstadt University of Technology C=DE
whois.tu-chemnitz.de               Technische Universitaet Chemnitz C=DE
whois.uni-regensburg.de            Universitaet Regensburg C=DE
whois.uni-c.dk                     Danish Computing Centre for Research and Education C=DK
whois.ut.ee                        University of Tartu C=EE
whois.eunet.es                     EUnet, Goya, Spain C=ES
whois.dit.upm.es                   Tech. Univ. Madrid, Telecommunications Highschool C=ES
cs.hut.fi                          Helsinki University of Technology C=FI
oulu.fi                            Oulu University C=FI
vtt.fi                             Technical Research Centre of Finland C=FI
whois.nic.fr                       Association Francaise pour le Nommage Internet en Cooperation C=FR
whois.nordnet.fr                   NordNet C=FR
whois.univ-lille1.fr               University of Sciences and Technologies of Lille - France C=FR
whois.hknic.net.hk                 HKNIC C=HK
whois.registry.hm                  HM Domain Registry C=HM
whois.iisc.ernet.in                Indian Institute of Science C=IN
whois.ncst.ernet.in                National Centre for Software Technology C=IN
isgate.is                          Association of Research Networks in Iceland C=IS
isgate3.isnet.is                   Internet a Islandi C=IS
pgebrehiwot.iat.cnr.it             Nigerian TLD Registration Service C=NG
dsa.nis.garr.it                    GARR-NIS c/o CNR-CNUCE C=IT
whois.nic.it                       Italian Network Information Center C=IT
whois.nic.mx                       Network Information Center - Mexico C=MX
whois.aist-nara.ac.jp              Nara Institute of Science and Technology C=JP
whois-server.l.chiba-u.ac.jp       Chiba University C=JP
whois.hiroshima-u.ac.jp            Hiroshima University C=JP
gopher.educ.cc.keio.ac.jp          Science and Technology Computing Center, Keio University C=JP
whois.cc.keio.ac.jp                Keio University C=JP
whois.cc.uec.ac.jp                 University of Electro-Communications C=JP
whois.yamanashi.ac.jp              Yamanashi University C=JP
whois.nic.ad.jp                    Japan Network Information Center C=JP
www.orions.ad.jp                   Osaka Regional Information and Open Network Systems C=JP
whois.domain.kg                    Kyrgyzstan TLD C=KZ
sorak.kaist.ac.kr                  Korea Advanced Institute of Science & Technology C=KR
whois.nic.or.kr                    Korea Network Information Center C=KR
whois.domain.kz                    Kazahstan Domain Name Registry C=KZ
whois.nic.li                       SWITCH Swiss Academic and Research Network C=LI
whois.nic.lk                       Sri Lanka Domain Registry C=LK
www.restena.lu                     RESTENA C=LU
whois.nic.mm                       MM-NIC C=MM
www.nic.mx                         NIC-Mexico C=MX
condor.dgsca.unam.mx               Univ. Nacional Autonoma de Mexico, D.G. de Servicios de Computo Academico C=MX
domain-registry.nl                 Stichting Internet Domeinregistratie Nederland C=NL
whois.norid.no                     UNINETT FAS (NORID) C=NO
whois.nic.nu                       .NU Domain Ltd C=NU
whois.canterbury.ac.nz             University of Canterbury C=NZ
directory.vuw.ac.nz                Victoria University, Wellington C=NZ
waikato.ac.nz                      Waikato University C=NZ
whois.patho.gen.nz                 PATHOGEN C=NZ
whois.domainz.net.nz               Domainz -- The New Zealand Internet Registry Ltd C=NZ
whois.rcp.net.pe                   Red Cientifica Peruana C=PE
whois.icm.edu.pl                   Interdyscyplinarne Centrum Modelowania Matematycznego i Komputero C=PL
whois.elka.pw.edu.pl               Faculty of Electronic Engineering, Warsaw University of Technology C=PL
whois.ia.pw.edu.pl                 Institute of Automatic Control, Warsaw University of Technology C=PL
whois.dns.pt                       Fundacao para a Computacao Cientifica Nacional C=PT
dsa.fccn.pt                        Fundacao para a Computacao Cientifica Nacional C=PT
chalmers.se                        Chalmers University of Technology C=SE
kth.se                             Royal Institute of Technology C=SE
whois.nic-se.se                    Network Information Centre Sweden C=SE
sics.se                            Swedish Institute of Computer Science C=SE
whois.nic.net.sg                   Singapore Network Information Centre C=SG
whois.nic.sh                       NIC.SH Domain Registry C=SH
whois.uakom.sk                     SANET (WAN of Slovak academic institutions) C=SK
whois.nic.st                       Domain Council of Sao Tome and Principe C=ST
whois.adamsnames.tc                AdamsNames (.GS, .MS, .TC, .TF, .VG) C=TC
whois.nic.tj                       TJ-NIC C=TJ
whois.tonic.to                     Tonic Domain Name Registry C=TO
whois.metu.edu.tr                  Middle East Technical University C=TR
whois.seed.net.tw                  Seednet C=TW
whois.iii.org.tw                   Institution for Information Industry C=TW
src.doc.ic.ac.uk                   Imperial College C=GB
whois.lut.ac.uk                    Loughborough University C=GB
whois.nic.uk                       Nominet UK (.UK Domain Registrar) C=GB
dsa.shu.ac.uk                      Sheffield Hallam University C=GB
whois.state.ct.us                  Department of Administrative Services, State of Connecticut C=US
info.cnri.reston.va.us             Corporation for National Research Initiatives, Knowbot interface C=US
whois.frd.ac.za                    National Research Foundation C=ZA
whois.und.ac.za                    University of Natal (Durban) C=ZA
whois.co.za                        Foundation for Research Development C=ZA
