latin2,ISO-8859-2
latin3,ISO-8859-3
latin4,ISO-8859-4
latin5,windows-1254
latin6,ISO-8859-10
mac,macintosh
macintosh,macintosh
ms932,Shift_JIS
ms_kanji,Shift_JIS
shift-jis,Shift_JIS
shift_jis,Shift_JIS
sjis,Shift_JIS
sun_eu_greek,ISO-8859-7
tis-620,windows-874
unicode-1-1-utf-8,UTF-8
us-ascii,windows-1252
utf-16,UTF-16LE
utf-16be,UTF-16BE
utf-16le,UTF-16LE
utf-8,UTF-8
utf8,UTF-8
visual,ISO-8859-8
windows-1250,windows-1250
windows-1251,windows-1251
windows-1252,windows-1252
windows-1253,windows-1253
windows-1254,windows-1254
windows-1255,windows-1255
windows-1256,windows-1256
windows-1257,windows-1257
windows-1258,windows-1258
windows-31j,Shift_JIS
windows-874,windows-874
windows-949,EUC-KR
x-cp1250,windows-1250
x-cp1251,windows-1251
x-cp1252,windows-1252
x-cp1253,windows-1253
x-cp1254,windows-1254
x-cp1255,windows-1255
x-cp1256,windows-1256
x-cp1257,windows-1257
x-cp1258,windows-1258
x-euc-jp,EUC-JP
x-gbk,GBK
x-mac-roman,macintosh
x-sjis,Shift_JIS
x-x-big5,Big5
