Prefixes transited per AS (Global)
----------------------------------

  ASN   No of nets  Description
12715      322      JAZZNET Global Spanish ISP, ES
28368      318      Infoway Servicos de Informatica Ltda, B
52320      318      GlobeNet Cabos Submarinos VZLA, S.A., V
41798      317      TTC-AS , KZ
15557      315      LDCOMNET , FR
45629      314      JASTEL-NETWORK-TH-AP JasTel Network Int
50607      314      ASN-EPIX EPIX, PL
17139      313      NETRANGE - Corporate Colocation Inc., U
 6739      312      ONO-AS Cableuropa - ONO, ES
 7004      312      CTC Transmisiones Regionales S.A., CL
58682      311      LEVEL3-BD Level3 Carrier Ltd., BD
12975      309      PALTEL-AS PALTEL Autonomous System, PS
18747      307      IFX18747 - IFX Corporation, US
18678      306      INTERNEXA S.A. E.S.P, CO
 4811      305      CHINANET-SHANGHAI-MAN China Telecom (Gr
37662      305      WIOCC-AS, MU
 3352      303      TELEFONICA_DE_ESPANA , ES
13237      303      LAMBDANET-AS European Backbone of AS132
17444      301      NWT-AS-AP AS number for New World Telep
27750      301      Cooperación Latino Americana de Redes A
 6130      300      AIS-WEST - American Internet Services, 
37282      296      MAINONE, NG
17819      293      ASN-EQUINIX-AP Equinix Asia Pacific, SG
37148      293      globacom-as, NG
 8544      292      NSP-INTL Transit AS for PrimeTel (AS162
22335      289      MREN - Metropolitan Research and Educat
43391      287      NETDIREKT-AS , TR
19169      286      Telconet S.A, EC
 4721      285      JCN Jupiter Telecommunications Co., Ltd
53062      285      G G NET - Telecomunicações LTDA EPP, BR
 5391      283      T-HT Croatian Telecom Inc., HR
20001      280      ROADRUNNER-WEST - Time Warner Cable Int
17451      279      BIZNET-AS-AP BIZNET NETWORKS, ID
12189      277      AS12189 - PhoenixNAP LLC, US
29119      277      SERVIHOSTING-AS AireNetworks - StackSca
11014      276      CPS, AR
16657      276      FIBERTECH-NETWORKS-AS-ROC-NY-US - Fiber
 5603      271      SIOL-NET Formerly SiOL Internet d.o.o.,
 9198      271      KAZTELECOM-AS , KZ
26554      271      US-SIGNAL - US Signal Company, L.L.C., 
 1267      270      ASN-WIND IUNET, IT
 6697      270      BELPAK-AS BELPAK, BY
 8551      269      BEZEQ-INTERNATIONAL-AS Bezeqint Interne
24130      269      TPG-AU TPG Internet Pty Ltd., AU
18403      268      FPT-AS-AP The Corporation for Financing
36994      266      Vodacom-VB, ZA
24785      265      JOINTTRANSIT-AS Open Peering BV trading
12552      264      IPO-EU , SE
 2153      262      CSUNET-NE - California State University
 5056      262      AUREON-5056 - Aureon Network Services, 
52965      262      1TELECOM SERVICOS DE TECNOLOGIA EM INTE
 3758      260      SINGNET SingNet, SG
52468      260      UFINET PANAMA S.A., PA
18592      259      Corporacion Universitaria para el Desar
 2856      257      BT-UK-AS BTnet UK Regional network, GB
 3303      257      SWISSCOM Swisscom (Switzerland) Ltd, CH
 4258      257      WOLFENET - Wolfenet, US
10796      257      SCRR-10796 - Time Warner Cable Internet
36937      257      Neotel-AS, ZA
 3741      256      IS, ZA
16397      256      EQUINIX BRASIL SP, BR
38082      256      IIT-TIG-AS-AP True International Gatewa
 8529      252      OMANTEL-AS Sultanate of Oman, OM
 9901      252      TELSTRA-NZTRANSIT-AS TelstraClear Ltd, 
23005      252      SWITCH-LTD - SWITCH, LTD, US
 8447      249      TELEKOM-AT A1 Telekom Austria AG, AT
12129      248      123NET - 123.Net, Inc., US
35297      248      DATALINE-AS , UA
 4621      247      UNSPECIFIED UNINET-TH, TH
 8455      247      ATOM86-AS ATOM86, NL
 2687      244      ATGS-MMD-AS - AT&T Global Network Servi
 3267      244      RUNNET , RU
 8717      244      SPECTRUMNET , BG
17184      244      ATL-CBEYOND - CBEYOND COMMUNICATIONS, L
 7575      239      AARNET-AS-AP Australian Academic and Re
 8697      239      JTC-AS8697 Jordan Telecom Group ( JTG )
26794      239      DCN-AS - Dakota Carrier Network, US
17638      238      CHINATELECOM-TJ-AS-AP ASN for TIANJIN P
12989      237      HWNG , NL
  703      236      UUNET - MCI Communications Services, In
42926      236      RADORE , TR
55713      235      DISHNET-AS-AP Dishnet Wireless Limited,
10910      234      INTERNAP-BLK - Internap Network Service
 1237      233      KREONET-AS-KR Korea Institute of Scienc
 9457      233      DREAMX-AS DREAMLINE CO., KR
 9931      233      CAT-AP The Communication Authoity of Th
 6667      231      EUNET-FINLAND , FI
 8732      229      COMCOR-AS Moscow, RU
14840      228      COMMCORP COMUNICACOES LTDA, BR
11835      227      IPE INFORMATICA LTDA, BR
41313      227      NOVATEL-AS 2 Kukush str., floor 1, offi
57731      227      DIVINETWORKS Virtual IP transit capacit
 9260      225      MULTINET-AS-AP Multinet Pakistan Pvt. L
45177      225      LAYER2CO-AS-AP Vibe Communications LTD,
33891      224      CORE-BACKBONE , DE
 8781      223      QA-ISP , QA
 8866      223      BTC-AS BULGARIA, BG
28146      223      MHNET TELECOM, BR
37179      223      AFRICAINX, ZA
 5089      222      NTL , GB
13649      222      ASN-VINS - ViaWest , US
20080      222      AMPATH - Florida International Universi
12430      221      VODAFONE_ES, ES
20804      220      ASN-TELENERGO ul. PERKUNA 47, WARSZAWA,
 4515      219      ERX-STAR PCCW IMSBiz, HK
10912      219      INTERNAP-BLK - Internap Network Service
15772      217      WNET Kyiv, Ukraine, UA
28343      217      TPA TELECOMUNICACOES LTDA, BR
38285      217      M2TELECOMMUNICATIONS-AU M2 Telecommunic
55818      212      MCIX-AS-AP MC-IX Matrix Internet Exchan
13030      211      INIT7 , CH
 4466      208      EASYLINK2 - AT&T Services, Inc., US
24835      208      RAYA-AS, EG
52262      208      Telefónica Celular S.A, HN
11427      207      SCRR-11427 - Time Warner Cable Internet
27765      207      TRANSNEXA S.A. E.M.A., EC
30844      207      LIQUID-AS , GB
 1136      205      KPN This macro reflects our filtering-p
39134      205      UNITEDNET , RU
 4725      203      ODN SoftBank Mobile Corp., JP
17806      203      MANGOTELESERVICE-AS-BD Tire-1 IP Transi
 2686      202      ATGS-MMD-AS - AT&T Global Network Servi
12578      202      APOLLO-AS Latvia, LV
 5713      201      SAIX-NET, ZA
 1680      200      NV-ASN 013 NetVision Ltd., IL
17621      200      CNCGROUP-SH China Unicom Shanghai netwo
30781      200      JAGUAR-AS , FR
 7162      199      Universo Online S.A., BR
13789      199      INTERNAP-BLK3 - Internap Network Servic
 8449      197      AS8449-ELCAT , KG
12179      197      INTERNAP-2BLK - Internap Network Servic
12200      197      RACKSPACE - Rackspace Hosting, US
14868      196      COPEL Telecomunicações S.A., BR
35819      196      MOBILY-AS Etihad Etisalat Company (Mobi
12310      193      INES Bucharest / ROMANIA, RO
17841      193      NCIA-AS-KR MIC E-GOVERNMENT, KR
28347      193      UNOTEL TELECOM S/A, BR
  668      192      DNIC-AS-00668 - DoD Network Information
 9583      192      SIFY-AS-IN Sify Limited, IN
55943      192      OPT-PF-AS-AP OPT, PF
53087      191      TELY Ltda., BR
60725      191      O3B-AS O3b Networks - Internet Service 
45474      190      NEXUSGUARD-AS-AP Suite 2101~02, 21/F, T
52361      190      ARSAT - Empresa Argentina de Soluciones
43852      189      KUWAIT-DATA-CENTER , KW
14265      188      US-TELEPACIFIC - Telepacific Communicat
 1733      187      DISACENT-NIPR-ASN - DoD Network Informa
10474      187      OPTINET, ZA
29386      187      EXT-PDN-STE-AS , SY
45204      187      GEMNET-MN GEMNET LLC, MN
19551      185      INCAPSULA - Incapsula Inc, US
25184      185      AFRANET AFRANET Co. Tehran, Iran, IR
58587      185      FIBERATHOME-BD Fiber@Home Limited, BD
 5541      183      ADNET-TELECOM , RO
 9503      183      FX-PRIMARY-AS FX Networks Limited, AU
 1916      182      Associação Rede Nacional de Ensino e Pe
 5617      182      TPNET , PL
 6736      182      IRANET-IPM Tehran, Iran, IR
23148      182      TERRENAP - MCI Communications Services,
13977      181      CTELCO - FAIRPOINT COMMUNICATIONS, INC.
31042      181      SERBIA-BROADBAND-AS Serbia BroadBand-Sr
   62      180      CYRS - CyrusOne LLC, US
 1764      180      NEXTLAYER-AS , AT
35753      179      ITC ITC AS number, SA
 6983      178      ITCDELTA - Earthlink, Inc., US
29278      178      DENINET-HU-AS , HU
28226      177      Vogel Soluções em Telecom e Informática
15694      176      ATMAN-ISP-AS ATMAN's ISP Autonomous Sys
28210      176      VM OPENLINK COMUNICAÇÃO MULTIMIDIA E IN
10310      175      YAHOO-1 - Yahoo!, US
24218      175      GTC-MY-PIP-AS Global Transit Communicat
17922      174      INDOSAT-INP INDOSAT Internet Network Pr
 7632      173      LINKNET-EXCHANGE-AS-ID Linknet-Exchange
11340      171      Red Universitaria Nacional, CL
29226      170      MASTERTEL-AS Moscow, Russia, RU
26801      169      ZITOMEDIA611 - Zito Media, L.P., US
27768      168      CO.PA.CO., PY
  855      167      CANET-ASN-4 - Bell Aliant Regional Comm
17579      167      KREONET2-AS-KR Korea Institute of Scien
60330      167      BCTBY-AS , BY
  367      166      DNIC-ASBLK-00306-00371 - DoD Network In
 6389      166      BELLSOUTH-NET-BLK - BellSouth.net Inc.,
19151      166      WVFIBER-1 - WV FIBER, US
 3112      164      OARNET-AS-1 - OARnet, US
 5769      164      VIDEOTRON - Videotron Telecom Ltee, CA
15704      164      AS15704 , ES
23352      164      SERVERCENTRAL - Server Central Network,
19108      163      SUDDENLINK-COMMUNICATIONS - Suddenlink 
43833      163      PRIDUCMEDIA-ASN PRIDUCMEDIA AS NUMBER, 
10490      161      SOUTHERN-CROSSROADS-SOX - Georgia Insti
19037      161      AMX Argentina S.A., AR
28283      161      Adylnet Telecom, BR
40676      160      AS40676 - Psychz Networks, US
  101      159      WASH-NSF-AS - University of Washington,
13329      159      KFN-001 - Kansas Fiber Network, LLC, US
 6774      158      ASN-BICS , BE
10578      158      GIGAPOP-NE - Harvard University, US
12180      158      INTERNAP-2BLK - Internap Network Servic
28598      158      Mob Servicos de Telecomunicacoes Ltda, 
38525      158      NETSOFT-AS-ID Netsoft, PT, ID
 3754      157      NYSERNET3-AS - NYSERNet, US
31549      157      RASANA , IR
 9116      156      GOLDENLINES-ASN 012 Smile Communication
18302      156      SKG_NW-AS-KR SK Telecom, KR
38022      156      REANNZ-NZ-AP REANNZ National Research a
42708      156      PORTLANE www.portlane.com, SE
  293      155      ESNET - ESnet, US
11486      155      COLO-PREM-VZB - MCI Communications Serv
19257      155      SUBRIGO - SUBRIGO CORPORATION, US
46849      155      TLSN-TX - TEXAS LONE STAR NETWORK, LLC,
 6866      154      CYTA-NETWORK Internet Services, CY
25899      154      LSNET - LS Networks, US
45896      153      MOBIFONEGLOBAL-AS-VN Mobifone Global JS
57724      152      DDOS-GUARD , RU
 7795      151      LUMOS - LUMOS Networks, Inc., US
11096      151      FLORIDANET - FloridaNet, US
13768      150      PEER1 - Peer 1 Network (USA) Inc., US
28250      150      Telbrax Ltda, BR
 2603      149      NORDUNET , NO
16086      149      DNA , FI
24203      149      NAPXLNET-AS-ID PT Excelcomindo Pratama 
 6503      148      Axtel, S.A.B. de C.V., MX
10886      147      MAX-GIGAPOP - University of Maryland, U
36820      147      TULIP-SYSTEMS-INC-HOSTING-55-MARIETTA-A
  680      146      DFN Verein zur Foerderung eines Deutsch
 3301      146      TELIANET-SWEDEN , SE
 6517      146      RELIANCEGLOBALCOM - Reliance Globalcom 
55329      146      TELCOTECH-KH Telcotech Ltd., KH
58715      145      EARTHTELECOMMUNICATION-AS EARTH TELECOM
 2647      143      SITA , FR
 3209      143      VODANET International IP-Backbone of Vo
37613      143      Dolphin-Telecom-AS, GH
39392      143      SUPERNETWORK-AS Bilejova 407, CZ
51074      143      MABNA , IR
15830      142      TELECITY-LON , GB
10217      141      NTT-NET-ID-AS PT. NTT Indonesia, ID
 6181      140      FUSE-NET - Cincinnati Bell Telephone Co
20473      140      AS-CHOOPA - Choopa, LLC, US
31027      140      NIANET-AS Nianet is a Danish carrier an
58601      140      AAMRA-ATL-BD Aamra technologies limited
42910      139      EQUINIX-TURKEY-INTERNET-HIZMETLERI-ANON
55824      139      NKN-CORE-NW NKN Core Network, IN
12182      138      INTERNAP-2BLK - Internap Network Servic
12406      138      BN-AS Belarussian data communication se
17408      138      ABOVE-AS-AP AboveNet Communications Tai
47794      137      ATHEEB-AS , SA
13536      136      TVC-AS1 - Tech Valley Communications, U
19024      136      INTERNAP-BLK5 - Internap Network Servic
28306      136      Britis Telecom LTDA, BR
29076      136      CITYTELECOM-AS Filanco LTD, RU
58672      136      MAXNETONLINE-BD Maxnet Online, BD
 4436      135      AS-GTT-4436 - nLayer Communications, In
 4862      135      EQUANT-ASIA Orange Business AS for Asia
 6412      134      KW KEMS Block-A, Floor 7, Souq Al-Kabee
11830      134      Instituto Costarricense de Electricidad
 2118      133      RELCOM-AS , RU
 8057      133      VISIONNET - Vision Net, Inc., US
35104      133      KTC-AS , KZ
 6886      132      INTS-ASN INTS, UA
20764      132      RASCOM-AS CJSC RASCOM ISP, RU
10029      131      CITYCOMNETWORKS-AS CITYCOM NETWORKS PVT
17494      131      BTTB-AS-AP Telecom Operator & Internet 
26479      131      SDC-AS - Sunset Digital Communications,
 6429      130      Telmex Chile Internet S.A., CL
13249      130      ITS-UA IT Systems LLC, UA
20771      130      CAUCASUS-CABLE-SYSTEM CCS Autonomous Sy
64049      130      RJIPL-SG Reliance Jio Infocomm Pte Ltd 
 8764      129      TEOLTAB Vilnius, LT
27724      129      INTERNEXA RJ OPERADORA DE TELECOMUNICAÇ
42525      129      GLOBALCONNECT-NETWORK , DK
27978      128      Telmex Servicios Empresariales S.A., CL
35000      128      PROMETEY , RU
55330      128      GCN-DCN-AS AFGHANTELECOM GOVERNMENT COM
 6789      127      CRELCOM-NET , RU
10466      127      MAGPI - MAGPI c/o University of Pennsyl
 7015      126      COMCAST-7015 - Comcast Cable Communicat
10036      126      CNM-AS-KR C&M Communication Co.,Ltd., K
21127      126      ZSTTKAS Novosibirsk, Russia, RU
22652      126      FIBRENOIRE-INTERNET - Fibrenoire Inc., 
61568      126      FSF TECNOLOGIA LTDA ME, BR
 8641      125      NAUKANET-AS , RU
 9354      125      TDNC Community Network Center Inc., JP
  226      124      LOS-NETTOS-AS - Los Nettos, US
 2588      124      LATNETSERVISS-AS , LV
38333      124      SYMBIO-AS-AU-AP Symbio Networks, AU
15958      123      TELENOR_DOO_AS Telenordoo-NET, RS
29465      123      VCG-AS , NG
51828      123      PJSCFARSTELECOMMUNICATIONCOMPANY , IR
 8881      122      VERSATEL , DE
24093      122      BIGAIR-AP BIGAIR. Multihoming ASN, AU
26677      122      ORION-ASN - ORANO, CA
33788      122      KANARTEL, SD
 8968      120      BT-ITALIA , IT
 1759      119      TSF-IP-CORE http://www.teliasonera.com,
 3378      119      MCI-ASN - MCI, US
 4768      118      CLIX-NZ TelstraClear Ltd, NZ
 9723      118      ISEEK-AS-AP iseek Communications Pty Lt
15440      118      AS15440 Paneriu g.26, Vilnius, LT
23655      118      SNAP-NZ-AS Snap Internet Limited, NZ
37273      118      BCS, UG
24499      116      TPP-AS-PK Telenor Pakistan, PK
37271      116      Workonline, ZA
 2200      115      FR-RENATER Reseau National de telecommu
 5518      115      TELIALATVIJA , LV
33491      115      COMCAST-33491 - Comcast Cable Communica
 7046      114      RFC2270-UUNET-CUSTOMER - MCI Communicat
48858      114      MILECOM-AS , RU
 3662      113      HARNET Joint Universities Computer Cent
 6730      113      SUNRISE , CH
58655      113      SKYTEL6-BD SkyTel Communications Limite
 2381      112      WISCNET1-AS - WiscNet, US
36236      112      VR-HOSTED - Host Virtual, Inc, US
 6079      111      RCN-AS - RCN, US
 9270      111      APAN-KR-AS National Infomation Society 
11798      111      ACEDATACENTERS-AS-1 - Ace Data Centers,
16284      111      UNSPECIFIED, NG
23498      111      CDSI - COGECODATA, CA
24863      111      LINKdotNET-AS, EG
 2514      110      INFOSPHERE NTT PC Communications, Inc.,
22742      110      CT-EDU-NET - Connecticut Education Netw
52752      110      Vegas Telecom Informática Ltda., BR
