Nasdaq Traded|Symbol|Security Name|Listing Exchange|Market Category|ETF|Round Lot Size|Test Issue|Financial Status|CQS Symbol|NASDAQ Symbol|NextShares
Y|ABC|AmerisourceBergen Corporation Common Stock|N| |N|100|N||ABC|ABC|N
Y|ABCB|Ameris Bancorp - Common Stock|Q|Q|N|100|N|N||ABCB|N
Y|ABCD|Cambium Learning Group, Inc. - Common Stock|Q|S|N|100|N|N||ABCD|N
Y|ABDC|Alcentra Capital Corp. - Common Stock|Q|Q|N|100|N|N||ABDC|N
Y|ABEO|Abeona Therapeutics Inc. - Common Stock|Q|S|N|100|N|N||ABEO|N
Y|ABEOW|Abeona Therapeutics Inc. - Warrant|Q|S|N|100|N|N||ABEOW|N
Y|ABEV|Ambev S.A. American Depositary Shares (Each representing 1 Common Share)|N| |N|100|N||ABEV|ABEV|N
Y|ABG|Asbury Automotive Group Inc Common Stock|N| |N|100|N||ABG|ABG|N
Y|ABIL|Ability Inc. - Ordinary Shares|Q|S|N|100|N|D||ABIL|N
Y|ABIO|ARCA biopharma, Inc. - Common Stock|Q|S|N|100|N|D||ABIO|N
Y|ABLX|Ablynx NV - American Depositary Shares|Q|Q|N|100|N|N||ABLX|N
Y|ABM|ABM Industries Incorporated Common Stock|N| |N|100|N||ABM|ABM|N
Y|ABMD|ABIOMED, Inc. - Common Stock|Q|Q|N|100|N|N||ABMD|N
Y|ABR|Arbor Realty Trust Common Stock|N| |N|100|N||ABR|ABR|N
Y|ABR$A|Arbor Realty Trust Preferred Series A|N| |N|100|N||ABRpA|ABR-A|N
Y|ABR$B|Arbor Realty Trust Cumulative Redeemable Preferred Series B|N| |N|100|N||ABRpB|ABR-B|N
Y|ABR$C|Arbor Realty Trust Cumulative Redeemable Preferred Series C|N| |N|100|N||ABRpC|ABR-C|N
Y|ABT|Abbott Laboratories Common Stock|N| |N|100|N||ABT|ABT|N
Y|ABTX|Allegiance Bancshares, Inc. - Common Stock|Q|G|N|100|N|N||ABTX|N
Y|ABUS|Arbutus Biopharma Corporation - Common Stock|Q|Q|N|100|N|N||ABUS|N
Y|ABX|Barrick Gold Corporation Common Stock|N| |N|100|N||ABX|ABX|N
Y|AC|Associated Capital Group, Inc. Common Stock|N| |N|100|N||AC|AC|N
Y|ACAD|ACADIA Pharmaceuticals Inc. - Common Stock|Q|Q|N|100|N|N||ACAD|N
Y|ACBI|Atlantic Capital Bancshares, Inc. - Common Stock|Q|Q|N|100|N|N||ACBI|N
Y|ACC|American Campus Communities Inc Common Stock|N| |N|100|N||ACC|ACC|N
Y|ACCO|Acco Brands Corporation Common Stock|N| |N|100|N||ACCO|ACCO|N
Y|ACER|Acer Therapeutics Inc. - Common Stock|Q|S|N|100|N|N||ACER|N
Y|ACET|Aceto Corporation - Common Stock|Q|Q|N|100|N|N||ACET|N
Y|ACFC|Atlantic Coast Financial Corporation - Common Stock|Q|G|N|100|N|N||ACFC|N
Y|ACGL|Arch Capital Group Ltd. - Common Stock|Q|Q|N|100|N|N||ACGL|N
Y|ACGLO|Arch Capital Group Ltd. - Depositary Shares Each Representing 1/1,000th Interest in a Share of5.45% Non-Cumulative Preferred Shares, Series F|Q|Q|N|100|N|N||ACGLO|N
Y|ACGLP|Arch Capital Group Ltd. - Depositary Shares Representing Interest in 5.25% Non-Cumulative Preferred Series E Shrs|Q|Q|N|100|N|N||ACGLP|N
Y|ACH|Aluminum Corporation of China Limited American Depositary Shares|N| |N|100|N||ACH|ACH|N
Y|ACHC|Acadia Healthcare Company, Inc. - Common Stock|Q|Q|N|100|N|N||ACHC|N
Y|ACHN|Achillion Pharmaceuticals, Inc. - Common Stock|Q|Q|N|100|N|N||ACHN|N
Y|ACHV|Achieve Life Sciences, Inc.  - Common Shares|Q|S|N|100|N|N||ACHV|N
Y|ACIA|Acacia Communications, Inc. - Common Stock|Q|Q|N|100|N|N||ACIA|N
Y|ACIM|SPDR MSCI ACWI IMI ETF|P| |Y|100|N||ACIM|ACIM|N
Y|ACIU|AC Immune SA - Common Stock|Q|G|N|100|N|N||ACIU|N
Y|ACIW|ACI Worldwide, Inc. - Common Stock|Q|Q|N|100|N|N||ACIW|N
Y|ACLS|Axcelis Technologies, Inc. - Common Stock|Q|Q|N|100|N|N||ACLS|N
Y|ACM|AECOM Common Stock|N| |N|100|N||ACM|ACM|N
Y|ACMR|ACM Research, Inc. - Class A Common Stock|Q|G|N|100|N|N||ACMR|N
Y|ACN|Accenture plc Class A Ordinary Shares (Ireland)|N| |N|100|N||ACN|ACN|N
Y|ACNB|ACNB Corporation - Common Stock|Q|S|N|100|N|N||ACNB|N
Y|ACOR|Acorda Therapeutics, Inc. - Common Stock|Q|Q|N|100|N|N||ACOR|N
Y|ACP|Aberdeen Income Credit Strategies Fund Common Shares|N| |N|100|N||ACP|ACP|N
Y|ACRE|Ares Commercial Real Estate Corporation Common Stock|N| |N|100|N||ACRE|ACRE|N
Y|ACRS|Aclaris Therapeutics, Inc. - Common Stock|Q|Q|N|100|N|N||ACRS|N
Y|ACRX|AcelRx Pharmaceuticals, Inc. - Common Stock|Q|G|N|100|N|N||ACRX|N
Y|ACSF|American Capital Senior Floating, Ltd. - Common Stock|Q|Q|N|100|N|N||ACSF|N
Y|ACSI|American Customer Satisfaction Core Alpha ETF|Z| |Y|100|N||ACSI|ACSI|N
Y|ACST|Acasti Pharma, Inc. - Class A Common Stock|Q|S|N|100|N|D||ACST|N
Y|ACT|AdvisorShares Vice ETF|Q|G|Y|100|N|N||ACT|N
Y|ACTG|Acacia Research Corporation - Common Stock|Q|Q|N|100|N|N||ACTG|N
Y|ACU|Acme United Corporation. Common Stock|A| |N|100|N||ACU|ACU|N
Y|ACV|AllianzGI Diversified Income & Convertible Fund Common Shares of Beneficial Interest|N| |N|100|N||ACV|ACV|N
Y|ACWF|iShares Edge MSCI Multifactor Global ETF|P| |Y|100|N||ACWF|ACWF|N
Y|ACWI|iShares MSCI ACWI Index Fund|Q|G|Y|100|N|N||ACWI|N
Y|ACWV|iShares Edge MSCI Min Vol Global ETF|Z| |Y|100|N||ACWV|ACWV|N
Y|ACWX|iShares MSCI ACWI ex US Index Fund|Q|G|Y|100|N|N||ACWX|N
Y|ACXM|Acxiom Corporation - Common Stock|Q|Q|N|100|N|N||ACXM|N
Y|ACY|AeroCentury Corp. Common Stock|A| |N|100|N||ACY|ACY|N
Y|ADAP|Adaptimmune Therapeutics plc - American Depositary Shares|Q|Q|N|100|N|N||ADAP|N
Y|ADBE|Adobe Systems Incorporated - Common Stock|Q|Q|N|100|N|N||ADBE|N
Y|ADC|Agree Realty Corporation Common Stock|N| |N|100|N||ADC|ADC|N
Y|ADES|Advanced Emissions Solutions, Inc. - Common Stock|Q|G|N|100|N|N||ADES|N
Y|ADI|Analog Devices, Inc. - Common Stock|Q|Q|N|100|N|N||ADI|N
Y|ADM|Archer-Daniels-Midland Company Common Stock|N| |N|100|N||ADM|ADM|N
Y|ADMA|ADMA Biologics Inc - Common Stock|Q|S|N|100|N|N||ADMA|N
Y|ADMP|Adamis Pharmaceuticals Corporation - Common Stock|Q|S|N|100|N|N||ADMP|N
Y|ADMS|Adamas Pharmaceuticals, Inc. - Common Stock|Q|G|N|100|N|N||ADMS|N
Y|ADNT|Adient plc Ordinary Shares |N| |N|100|N||ADNT|ADNT|N
Y|ADOM|ADOMANI, Inc. - Common Stock|Q|S|N|100|N|N||ADOM|N
Y|ADP|Automatic Data Processing, Inc. - Common Stock|Q|Q|N|100|N|N||ADP|N
Y|ADRA|BLDRS Asia 50 ADR Index Fund|Q|G|Y|100|N|N||ADRA|N
Y|ADRD|BLDRS Developed Markets 100 ADR Index Fund|Q|G|Y|100|N|N||ADRD|N
Y|ADRE|BLDRS Emerging Markets 50 ADR Index Fund|Q|G|Y|100|N|N||ADRE|N
Y|ADRO|Aduro Biotech, Inc. - Common Stock|Q|Q|N|100|N|N||ADRO|N
Y|ADRU|BLDRS Europe 100 ADR Index Fund|Q|G|Y|100|N|N||ADRU|N
Y|ADS|Alliance Data Systems Corporation Common Stock|N| |N|100|N||ADS|ADS|N
Y|ADSK|Autodesk, Inc. - Common Stock|Q|Q|N|100|N|N||ADSK|N
Y|ADSW|Advanced Disposal Services, Inc. Common Stock|N| |N|100|N||ADSW|ADSW|N
Y|ADT|ADT Inc. Common Stock|N| |N|100|N||ADT|ADT|N
Y|ADTN|ADTRAN, Inc. - Common Stock|Q|Q|N|100|N|N||ADTN|N
Y|ADUS|Addus HomeCare Corporation - Common Stock|Q|Q|N|100|N|N||ADUS|N
Y|ADVM|Adverum Biotechnologies, Inc. - Common Stock|Q|G|N|100|N|N||ADVM|N
Y|ADX|Adams Diversified Equity Fund Inc.|N| |N|100|N||ADX|ADX|N
Y|ADXS|Advaxis, Inc. - Common Stock|Q|Q|N|100|N|N||ADXS|N
Y|ADXSW|Advaxis, Inc. - Warrants|Q|S|N|100|N|N||ADXSW|N
Y|ADZ|DB Agriculture Short ETN due April 1, 2038|P| |N|100|N||ADZ|ADZ|N
Y|AE|Adams Resources & Energy, Inc. Common Stock|A| |N|100|N||AE|AE|N
Y|AEB|AEGON N.V. Perp. Cap. Secs. Floating Rate (Netherlands)|N| |N|100|N||AEB|AEB|N
Y|AED|AEGON N.V. Perp. Cap. Securities (Netherlands)|N| |N|100|N||AED|AED|N
Y|AEE|Ameren Corporation Common Stock|N| |N|100|N||AEE|AEE|N
Y|AEF|Aberdeen Emerging Markets Equity Income Fund, Inc. Common Stock|A| |N|100|N||AEF|AEF|N
Y|AEG|AEGON N.V. Common Stock|N| |N|100|N||AEG|AEG|N
Y|AEGN|Aegion Corp - Class A Common Stock|Q|Q|N|100|N|N||AEGN|N
Y|AEH|AEGON N.V. Perp. Cap Secs.|N| |N|100|N||AEH|AEH|N
Y|AEHR|Aehr Test Systems - Common Stock|Q|S|N|100|N|N||AEHR|N
Y|AEIS|Advanced Energy Industries, Inc. - Common Stock|Q|Q|N|100|N|N||AEIS|N
Y|AEK|Aegon NV 8.00% Non-Cumulative Subordinated Notes due 2042|N| |N|100|N||AEK.CL|AEK*|N
Y|AEL|American Equity Investment Life Holding Company Common Stock|N| |N|100|N||AEL|AEL|N
Y|AEM|Agnico Eagle Mines Limited Common Stock|N| |N|100|N||AEM|AEM|N
Y|AEMD|Aethlon Medical, Inc. - Common Stock|Q|S|N|100|N|N||AEMD|N
Y|AEO|American Eagle Outfitters, Inc. Common Stock|N| |N|100|N||AEO|AEO|N
Y|AEP|American Electric Power Company, Inc. Common Stock|N| |N|100|N||AEP|AEP|N
Y|AER|Aercap Holdings N.V. Ordinary Shares|N| |N|100|N||AER|AER|N
Y|AERI|Aerie Pharmaceuticals, Inc. - Common Stock|Q|G|N|100|N|N||AERI|N
Y|AES|The AES Corporation Common Stock|N| |N|100|N||AES|AES|N
Y|AET|Aetna Inc. Common Stock|N| |N|100|N||AET|AET|N
Y|AETI|American Electric Technologies, Inc. - Common Stock|Q|S|N|100|N|N||AETI|N
Y|AEUA|Anadarko Petroleum Corporation 7.50% Tangible Equity Units|N| |N|100|N||AEUA|AEUA|N
Y|AEY|ADDvantage Technologies Group, Inc. - Common Stock|Q|G|N|100|N|N||AEY|N
Y|AEZS|Aeterna Zentaris Inc. - Common Stock|Q|S|N|100|N|N||AEZS|N
Y|AFB|AllianceBernstein National Municipal Income Fund Inc|N| |N|100|N||AFB|AFB|N
Y|AFC|Allied Capital Corporation Allied Capital Corporation 6.875% Notes due April 15, 2047|N| |N|100|N||AFC|AFC|N
Y|AFG|American Financial Group, Inc. Common Stock|N| |N|100|N||AFG|AFG|N
Y|AFGE|American Financial Group, Inc. 6.25% Subordinated Debentures due 2054|N| |N|100|N||AFGE|AFGE|N
Y|AFGH|American Financial Group, Inc. 6% Subordinated Debentures due 2055|N| |N|100|N||AFGH|AFGH|N
Y|AFH|Atlas Financial Holdings, Inc. - Ordinary Shares|Q|G|N|100|N|N||AFH|N
Y|AFHBL|Atlas Financial Holdings, Inc. - 6.625% Senior Unsecured Notes Due 2022|Q|G|N|100|N|N||AFHBL|N
Y|AFI|Armstrong Flooring, Inc. Common Stock|N| |N|100|N||AFI|AFI|N
Y|AFK|VanEck Vectors-Africa Index ETF|P| |Y|100|N||AFK|AFK|N
Y|AFL|AFLAC Incorporated Common Stock|N| |N|100|N||AFL|AFL|N
Y|AFMD|Affimed N.V. - Common Stock|Q|G|N|100|N|N||AFMD|N
Y|AFSI|AmTrust Financial Services, Inc. - Common Stock|Q|Q|N|100|N|N||AFSI|N
Y|AFSI$A|AmTrust Financial Services, Inc. Preferred Series A|N| |N|100|N||AFSIpA|AFSI-A|N
Y|AFSI$B|AmTrust Financial Services, Inc. Depository Shares Representing 1/40th Preferred Series B|N| |N|100|N||AFSIpB|AFSI-B|N
Y|AFSI$C|AmTrust Financial Services, Inc. Depository Shares Representing 1/40th Preferred Series C|N| |N|100|N||AFSIpC|AFSI-C|N
Y|AFSI$D|AmTrust Financial Services, Inc. Depositary Shares, Each Representing 1/40th Interest in a shares of 7.50% Non-Cumulative Preferred Stock, Series D|N| |N|100|N||AFSIpD|AFSI-D|N
Y|AFSI$E|AmTrust Financial Services, Inc. Depositary Shares , Each Representing 1/40 th Interest in a Share of 7.75% Non-Cumulative Preferred Stock, Series E|N| |N|100|N||AFSIpE|AFSI-E|N
Y|AFSI$F|AmTrust Financial Services, Inc. Depositary Shares, Each Representing 1/40 th Interest in a Share of 6.95% Non-Cumulative Preferred Stock, Series F|N| |N|100|N||AFSIpF|AFSI-F|N
Y|AFSS|AmTrust Financial Services, Inc. 7.25% Subordinated Notes due 2055|N| |N|100|N||AFSS|AFSS|N
Y|AFST|AmTrust Financial Services, Inc. 7.50% Subordinated Notes due September 15, 2055|N| |N|100|N||AFST|AFST|N
Y|AFT|Apollo Senior Floating Rate Fund Inc. Common Stock|N| |N|100|N||AFT|AFT|N
Y|AFTY|CSOP FTSE China A50 ETF|P| |Y|100|N||AFTY|AFTY|N
Y|AG|First Majestic Silver Corp. Ordinary Shares (Canada)|N| |N|100|N||AG|AG|N
Y|AGC|Advent Claymore Convertible Securities and Income Fund Common Shares of Beneficial Interest|N| |N|100|N||AGC|AGC|N
Y|AGCO|AGCO Corporation Common Stock|N| |N|100|N||AGCO|AGCO|N
Y|AGD|Aberdeen Global Dynamic Dividend Fund|N| |N|100|N||AGD|AGD|N
Y|AGEN|Agenus Inc. - Common Stock|Q|S|N|100|N|N||AGEN|N
Y|AGF|DB Agriculture Long ETN due April 1, 2038|P| |N|100|N||AGF|AGF|N
Y|AGFS|AgroFresh Solutions, Inc. - Common Stock|Q|Q|N|100|N|N||AGFS|N
Y|AGFSW|AgroFresh Solutions, Inc. - Warrants|Q|Q|N|100|N|N||AGFSW|N
Y|AGG|iShares Core U.S. Aggregate Bond ETF|P| |Y|100|N||AGG|AGG|N
Y|AGGE|IQ Enhanced Core Bond U.S. ETF|P| |Y|100|N||AGGE|AGGE|N
Y|AGGP|IQ Enhanced Core Plus Bond U.S. ETF|P| |Y|100|N||AGGP|AGGP|N
Y|AGGY|WisdomTree Barclays Yield Enhanced U.S. Aggregate Bond Fund|P| |Y|100|N||AGGY|AGGY|N
Y|AGI|Alamos Gold Inc. Class A Common Shares|N| |N|100|N||AGI|AGI|N
Y|AGIO|Agios Pharmaceuticals, Inc. - Common Stock|Q|Q|N|100|N|N||AGIO|N
Y|AGLE|Aeglea BioTherapeutics, Inc. - Common Stock|Q|G|N|100|N|N||AGLE|N
Y|AGM|Federal Agricultural Mortgage Corporation Common Stock|N| |N|100|N||AGM|AGM|N
Y|AGM$A|Federal Agricultural Mortgage Corporation 5.875% Non-CUmulative Preferred Stock, Series A|N| |N|100|N||AGMpA|AGM-A|N
Y|AGM$B|Federal Agricultural Mortgage Corporation Non Cumulative Preferred Stock Series B|N| |N|100|N||AGMpB|AGM-B|N
Y|AGM$C|Federal Agricultural Mortgage Corporation Preferred Series C Fixed to Fltg|N| |N|100|N||AGMpC|AGM-C|N
Y|AGM.A|Federal Agricultural Mortgage Corporation Common Stock|N| |N|100|N||AGM.A|AGM.A|N
Y|AGMH|AGM Group Holdings Inc. - Class A Ordinary Shares|Q|S|N|100|N|N||AGMH|N
Y|AGN|Allergan plc Ordinary Shares|N| |N|100|N||AGN|AGN|N
Y|AGNC|AGNC Investment Corp. - Common Stock|Q|Q|N|100|N|N||AGNC|N
Y|AGNCB|AGNC Investment Corp. - Depositary Shares representing 1/1000th Series B Preferred Stock|Q|Q|N|100|N|N||AGNCB|N
Y|AGNCN|AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock|Q|Q|N|100|N|N||AGNCN|N
Y|AGND|WisdomTree Barclays Negative Duration U.S. Aggregate Bond Fund|Q|G|Y|100|N|N||AGND|N
Y|AGO|Assured Guaranty Ltd. Common Stock|N| |N|100|N||AGO|AGO|N
Y|AGO$B|Assured Guaranty Ltd.|N| |N|100|N||AGOpB|AGO-B|N
Y|AGO$E|Assured Guaranty Ltd.|N| |N|100|N||AGOpE|AGO-E|N
Y|AGO$F|Assured Guaranty Ltd.|N| |N|100|N||AGOpF|AGO-F|N
Y|AGQ|ProShares Ultra Silver|P| |Y|100|N||AGQ|AGQ|N
Y|AGR|Avangrid, Inc. Common Stock|N| |N|100|N||AGR|AGR|N
Y|AGRO|Adecoagro S.A. Common Shares|N| |N|100|N||AGRO|AGRO|N
Y|AGRX|Agile Therapeutics, Inc. - Common Stock|Q|G|N|100|N|N||AGRX|N
Y|AGS|PlayAGS, Inc. Common Stock|N| |N|100|N||AGS|AGS|N
Y|AGT|iShares MSCI Argentina and Global Exposure ETF|Z| |Y|100|N||AGT|AGT|N
Y|AGTC|Applied Genetic Technologies Corporation - Common Stock|Q|G|N|100|N|N||AGTC|N
Y|AGX|Argan, Inc. Common Stock|N| |N|100|N||AGX|AGX|N
Y|AGYS|Agilysys, Inc. - Common Stock|Q|Q|N|100|N|N||AGYS|N
Y|AGZ|iShares  Agency Bond ETF|P| |Y|100|N||AGZ|AGZ|N
Y|AGZD|WisdomTree Barclays Interest Rate Hedged U.S. Aggregate Bond Fund|Q|G|Y|100|N|N||AGZD|N
Y|AHC|A.H. Belo Corporation Common Stock|N| |N|100|N||AHC|AHC|N
Y|AHGP|Alliance Holdings GP, L.P. - Common Units Representing Limited Partner Interests|Q|Q|N|100|N|N||AHGP|N
Y|AHH|Armada Hoffler Properties, Inc. Common Stock|N| |N|100|N||AHH|AHH|N
Y|AHL|Aspen Insurance Holdings Limited Ordinary Shares|N| |N|100|N||AHL|AHL|N
Y|AHL$C|Aspen Insurance Holdings Limited 5.95% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Shares|N| |N|100|N||AHLpC|AHL-C|N
Y|AHL$D|Aspen Insurance Holdings Limited 5.625% Perpetual Non-Cumulative Preference Shares|N| |N|100|N||AHLpD|AHL-D|N
Y|AHPA|Avista Healthcare Public Acquisition Corp. - Class A Ordinary Shares|Q|S|N|100|N|D||AHPA|N
Y|AHPAU|Avista Healthcare Public Acquisition Corp. - Unit|Q|S|N|100|N|D||AHPAU|N
Y|AHPAW|Avista Healthcare Public Acquisition Corp. - Warrants|Q|S|N|100|N|D||AHPAW|N
Y|AHPI|Allied Healthcare Products, Inc. - Common Stock|Q|S|N|100|N|N||AHPI|N
Y|AHT|Ashford Hospitality Trust Inc Common Stock|N| |N|100|N||AHT|AHT|N
Y|AHT$D|Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock|N| |N|100|N||AHTpD|AHT-D|N
Y|AHT$F|Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock|N| |N|100|N||AHTpF|AHT-F|N
Y|AHT$G|Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock|N| |N|100|N||AHTpG|AHT-G|N
Y|AHT$H|Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock|N| |N|100|N||AHTpH|AHT-H|N
Y|AHT$I|Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock|N| |N|100|N||AHTpI|AHT-I|N
Y|AI|Arlington Asset Investment Corp Class A (new)|N| |N|100|N||AI|AI|N
Y|AI$B|Arlington Asset Investment Corp 7.00% Series B Cumulative Perpetual Redeemable Preferred Stock|N| |N|100|N||AIpB|AI-B|N
Y|AIA|iShares Asia 50 ETF|Q|G|Y|100|N|N||AIA|N
Y|AIC|Arlington Asset Investment Corp 6.750% Notes due 2025|N| |N|100|N||AIC|AIC|N
Y|AIEQ|AI Powered Equity ETF|P| |Y|100|N||AIEQ|AIEQ|N
Y|AIF|Apollo Tactical Income Fund Inc. Common Stock|N| |N|100|N||AIF|AIF|N
Y|AIG|American International Group, Inc. New Common Stock|N| |N|100|N||AIG|AIG|N
Y|AIG.W|American International Group, Inc. Warrant expiring January 19, 2021|N| |N|100|N||AIG.WS|AIG+|N
Y|AIHS|Senmiao Technology Limited - Common Stock|Q|S|N|100|N|N||AIHS|N
Y|AIMC|Altra Industrial Motion Corp. - Common Stock|Q|Q|N|100|N|N||AIMC|N
Y|AIMT|Aimmune Therapeutics, Inc. - Common Stock|Q|Q|N|100|N|N||AIMT|N
Y|AIN|Albany International Corporation Common Stock|N| |N|100|N||AIN|AIN|N
Y|AINC|Ashford Inc. Common Stock|A| |N|100|N||AINC|AINC|N
Y|AINV|Apollo Investment Corporation - Closed End Fund|Q|Q|N|100|N|N||AINV|N
Y|AIPT|Precision Therapeutics Inc. - Common Stock|Q|S|N|100|N|N||AIPT|N
Y|AIR|AAR Corp. Common Stock|N| |N|100|N||AIR|AIR|N
Y|AIRG|Airgain, Inc. - Common Stock|Q|S|N|100|N|N||AIRG|N
Y|AIRI|Air Industries Group Common Stock|A| |N|100|N||AIRI|AIRI|N
Y|AIRR|First Trust RBA American Industrial Renaissance ETF|Q|G|Y|100|N|N||AIRR|N
Y|AIRT|Air T, Inc. - Common Stock|Q|S|N|100|N|N||AIRT|N
Y|AIT|Applied Industrial Technologies, Inc. Common Stock|N| |N|100|N||AIT|AIT|N
Y|AIV|Apartment Investment and Management Company Common Stock|N| |N|100|N||AIV|AIV|N
Y|AIV$A|Apartment Investment and Management Company Preferred Series Class A|N| |N|100|N||AIVpA|AIV-A|N
Y|AIW|Arlington Asset Investment Corp 6.625% Notes due 2023|N| |N|100|N||AIW|AIW|N
Y|AIY|Apollo Investment Corporation 6.875% Senior Notes due 2043|N| |N|100|N||AIY|AIY|N
Y|AIZ|Assurant, Inc. Common Stock|N| |N|100|N||AIZ|AIZ|N
Y|AIZP|Assurant, Inc. 6.50% Series D Mandatory Convertible Preferred Stock, $1.00 par value|N| |N|100|N||AIZP|AIZP|N
Y|AJG|Arthur J. Gallagher & Co. Common Stock|N| |N|100|N||AJG|AJG|N
Y|AJRD|Aerojet Rocketdyne Holdings, Inc. Common Stock|N| |N|100|N||AJRD|AJRD|N
Y|AJX|Great Ajax Corp. Common Stock|N| |N|100|N||AJX|AJX|N
Y|AJXA|Great Ajax Corp. 7.25% Convertible Senior Notes due 2024|N| |N|100|N||AJXA|AJXA|N
Y|AKAM|Akamai Technologies, Inc. - Common Stock|Q|Q|N|100|N|N||AKAM|N
Y|AKAO|Achaogen, Inc. - Common Stock|Q|G|N|100|N|N||AKAO|N
Y|AKBA|Akebia Therapeutics, Inc. - Common Stock|Q|G|N|100|N|N||AKBA|N
Y|AKCA|Akcea Therapeutics, Inc. - Common Stock|Q|Q|N|100|N|N||AKCA|N
Y|AKER|Akers Biosciences Inc - Common Stock|Q|S|N|100|N|D||AKER|N
Y|AKG|Asanko Gold Inc.|A| |N|100|N||AKG|AKG|N
Y|AKO.A|Embotelladora Andina S.A. Common Stock|N| |N|100|N||AKO.A|AKO.A|N
Y|AKO.B|Embotelladora Andina S.A. Common Stock|N| |N|100|N||AKO.B|AKO.B|N
Y|AKP|Alliance California Municipal Income Fund Inc|N| |N|100|N||AKP|AKP|N
Y|AKR|Acadia Realty Trust Common Stock|N| |N|100|N||AKR|AKR|N
Y|AKRX|Akorn, Inc. - Common Stock|Q|Q|N|100|N|N||AKRX|N
Y|AKS|AK Steel Holding Corporation Common Stock|N| |N|100|N||AKS|AKS|N
Y|AKTS|Akoustis Technologies, Inc. - Common Stock|Q|S|N|100|N|N||AKTS|N
Y|AKTX|Akari Therapeutics Plc - American Depositary Shares|Q|S|N|100|N|N||AKTX|N
Y|AL|Air Lease Corporation Class A Common Stock|N| |N|100|N||AL|AL|N
Y|ALB|Albemarle Corporation Common Stock|N| |N|100|N||ALB|ALB|N
Y|ALBO|Albireo Pharma, Inc. - Common Stock|Q|S|N|100|N|N||ALBO|N
Y|ALCO|Alico, Inc. - Common Stock|Q|Q|N|100|N|N||ALCO|N
Y|ALD|WisdomTree Asia Local Debt Fund ETF|P| |Y|100|N||ALD|ALD|N
Y|ALDR|Alder BioPharmaceuticals, Inc. - Common Stock|Q|G|N|100|N|N||ALDR|N
Y|ALDX|Aldeyra Therapeutics, Inc. - Common Stock|Q|S|N|100|N|N||ALDX|N
Y|ALE|Allete, Inc.|N| |N|100|N||ALE|ALE|N
Y|ALEX|Alexander & Baldwin, Inc. Common Stock REIT Holding Company|N| |N|100|N||ALEX|ALEX|N
Y|ALFA|AlphaClone Alternative Alpha ETF|Z| |Y|100|N||ALFA|ALFA|N
