{5EEFEBDB-E90C-423A-8ABF-0241E7C5B87D}  Windows Firewall Service
{F59D1D86-CC03-4736-BC9C-4C7936871B3D}  RSS Platform Backgroundsync Trace
{CC85922F-DB41-11D2-9244-006008269001}  Local Security Authority (LSA)
{725BA9B3-C1F3-4518-AF1B-C8D669191E15}  Microsoft-Windows-QoS-WMI-Diag
{520319A9-B932-4EC7-943C-61E560939101}  WLAN Dialog Trace
{B6501BA0-C61A-C4E6-6FA2-A4E7F8C8E7A0}  MSDASQL_1
{945186BF-3DD6-4F3F-9C8E-9EDD3FC9D558}  Disk Class Driver Tracing Provider
{5C6CE734-1B3E-705E-C2AB-B272D99AAF8F}  MSADCO.1
{D5E09122-D0B2-4235-ADC1-C89FAAAF1069}  Windows Firewall Driver
{7F3FE630-462B-47C5-AB07-67CA84934ABD}  WSAT_TraceProvider
{A1E89BB0-EF73-4980-8C99-DD15F7271D7E}  Sensor ClassExtension Trace
{AD33FA19-F2D2-46D1-8F4C-E3C3087E45AD}  FWPKCLNT Trace Provider
{72891EE8-C088-4331-9745-5BF4AA7B344D}  WPD Composite Driver Trace
{A42C7BD1-5AF3-4B32-9BC6-B85EB31D3F4A}  WPD ShellExtension Trace
{564F1E24-FC86-28E1-74F8-5CA0D950BEE0}  MSDAREM.1
{3B9E3DA4-70B8-46D3-9EF2-3DDF128BDED8}  SD Bus Trace
{C100BECE-D33A-4A4B-BF23-BBEF4663D017}  Windows Connect Now
{D75D8303-6C21-4BDE-9C98-ECC6320F9291}  File Kernel Trace; Operation Set 1
{C861D0E2-A2C1-4D36-9F9C-970BAB943A12}  Thread Pool
{8A3CF0B5-E0BC-450B-AE4B-61728FFA1D58}  Wireless Client Trace
{07E397EC-C240-4ED7-8A2A-B9FF0FE5D581}  IMAPI2 Raw Image Writer
{6CC2405D-817F-4886-886F-D5D1643210F0}  Microsoft-Windows-NetAdapterCim-Diag
{94335EB3-79EA-44D5-8EA9-306F49B3A040}  Downlevel IPsec Service
{485E7DE9-0A80-11D8-AD15-505054503030}  Wudfx02000_KmdfTraceGuid
{54DEA73A-ED1F-42A4-AF71-3E63D056F174}  Circular Kernel Session Provider
{76DBA919-5A36-FC80-2CAD-3185532B7CB1}  MSADCE.1
{19EE4CF9-5322-4843-B0D8-BAB81BE4E81E}  Microsoft-Windows-OfflineFiles-CscApi
{0E85A5A5-4D5C-44B7-8BDA-5B7AB54F7EA0}  IMAPI2 Multisession Sequential
{D451642C-63A6-11D7-9720-00B0D03E0347}  Windows Winlogon Trace
{651D672B-E11F-41B7-ADD3-C2F6A4023672}  IPMI Provider Trace
{AEFE45F4-8548-42B4-B1C8-25673B07AD8B}  PrintFilterPipelineSvc_ObjectsGuid
{8C50FA6E-394E-4B47-B6D1-A880A5F225A2}  RSS Platform Trace
{2D333977-52E1-4886-801F-2D59EB8060AF}  IrDA Protocol Driver
{9C88041D-349D-4647-8BFD-2C0A167BFE58}  MMC
{BBBC81CF-E219-469C-A405-F820EE496194}  Microsoft-Windows-P2P-PNRP
{D5418619-C167-44D9-BC36-765BEB5D55F3}  Microsoft-Windows-OfflineFiles-CscDclUser
{94335EB3-79EA-44D5-8EA9-306F49B3A041}  Downlevel IPsec API
{3AC66736-CC59-4CFF-8115-8DF50E39816B}  Critical Section Trace Provider
{485E7DEE-0A80-11D8-AD15-505054503030}  UMDF - Reflector Trace
{5A1600D2-68E5-4DE7-BCF4-1C2D215FE0FE}  FWPUCLNT Trace Provider
{A9C1A3B7-54F3-4724-ADCE-58BC03E3BC78}  Windows Media Player Trace
{106B464D-8043-46B1-8CB8-E92A0CD7A560}  IKEEXT Trace Provider
{467C1914-37F0-4C7D-B6DB-5CD7DFE7BD5E}  Mount Manager Trace
{EB004A05-9B1A-11D4-9123-0050047759BC}  TCPIP Service Trace
{9E814AAD-3204-11D2-9A82-006008A86939}  Windows Kernel Trace
{7EA56435-3F2F-3F63-A829-F0B35B5CAD41}  ADOMD.1
{D08BD885-501E-489A-BAC6-B7D24BFE6BBF}  ATA Port Driver Tracing Provider
{3333D2FC-3AEE-479F-985D-8BEBAE552B99}  Microsoft-Windows-P2P-Mesh
{637A0F36-DFF5-4B2F-83DD-B106C1C725E2}  WLAN Diagnostics Trace
{5E23B838-5B71-47E6-B123-6FE02EF573EF}  Microsoft-Windows-OfflineFiles-CscUM
{361F227C-AA14-4D19-9007-0C8D1A8A541B}  Microsoft-Windows-OfflineFiles-CscNetApi
{D4199645-41BE-4FD5-9D71-A612C508FDC6}  RdpCore Api Trace
{04C6E16D-B99F-4A3A-9B3E-B8325BBC781E}  Windows Remote Management Trace
{6710597F-7319-4AAE-9B85-C8D87136A56B}  SBP2 Port Driver Tracing Provider
{F1C521CA-DA82-4D79-9EE4-D7A375723B68}  FDPHost Service Trace
{2B240425-3141-43EE-931F-EC9F997C7D7E}  RSS Platform Perf Trace
{058DD951-7604-414D-A5D6-A56D35367A46}  File Kernel Trace; Operation Set 2
{0E85A5A5-4D5C-44B7-8BDA-5B7AB54F7E92}  IMAPI2 Disc Recorder Enumerator
{485E7DE9-0A80-11D8-AD15-505054503030}  UMDF - WDF Core
{FA8DE7C4-ACDE-4443-9994-C4E2359A9EDB}  Classpnp Driver Tracing Provider
{28C9F48F-D244-45A8-842F-DC9FBC9B6E92}  Windows Firewall API
{0E85A5A5-4D5C-44B7-8BDA-5B7AB54F7E99}  IMAPI2 Track-at-Once CD Writer
{8E6B6962-AB54-4335-8229-3255B919DD0E}  WMI_Tracing_Client_Operations
{04C8A86F-3369-12F8-4769-24E484A9E725}  ADODB.1
{0BEE3BC5-A50C-4EC3-A0E0-5AD11F2455A3}  Partition Manager Trace
{A7EB57F6-145E-4F18-BD75-DBBF6F7E23A7}  WMP Network Sharing Service
{02FE721A-0725-469E-A26D-37B3C09FAAC1}  Portable Device Connectivity API Trace
{51734B23-5B7E-4892-BA8E-45BC110B735C}  Microsoft-Windows-Remote-FileSystem-Monitor
{5A966D1C-6B48-11DA-8BDE-F66BAD1E3F3A}  TS Rdp Sound End Point Trace
{72FB9358-A9B3-41E0-AE41-E8DECA41E3A8}  USB Storage Driver Tracing Provider
{8B20D3E4-581F-4A27-8109-DF01643A7A93}  FD WNet Trace
{7DA1385C-F8F5-414D-B9D0-02FCA090F1EC}  File Kernel Trace; Optional Data
{0E85A5A5-4D5C-44B7-8BDA-5B7AB54F7E9B}  IMAPI2 Zero Stream
{6165F3E2-AE38-45D4-9B23-6B4818758BD9}  Security: TSPkg
{6D2FD9C5-8BD8-4A5D-8AA8-01E5C3B2AE23}  Refsv1WppTrace
{6DA4DDCA-0901-4BAE-9AD4-7E6030BAB531}  WLAN HC Diagnostics Trace
{87B93A44-1F73-EC83-7261-2DFC972D9B1E}  MSDATL3.1
{777BA8FF-2498-4875-933A-3067DE883070}  XWizard Framework
{0888E5EF-9B98-4695-979D-E92CE4247224}  RmClient_RestartManager
{0381564E-D5CB-4E48-AB35-BE24389B0F59}  WPD BusEnumService Trace
{485E7DEB-0A80-11D8-AD15-505054503030}  UMDF - Test Trace
{485E7DE8-0A80-11D8-AD15-505054503030}  UMDF - Platform Library Trace
{28C9F48F-D244-45A8-842F-DC9FBC9B6E94}  Windows Firewall NetShell Plugin
{9138500E-3648-4EDB-AA4C-859E9F7B7C38}  VSS tracing provider
{E159FC63-02FE-42F3-A234-028B9B8561CB}  Microsoft-Windows-LLTD-Responder
{37D2C3CD-C5D4-4587-8531-4696C44244C8}  Security: SChannel
{FB6A424F-B5D6-4329-B9D5-A975B3A93EAD}  Security: WDigest
{EBCCA1C2-AB46-4A1D-8C2A-906C2FF25F39}  Service Control Manager Trace
{0E85A5A5-4D5C-44B7-8BDA-5B7AB54F7E91}  IMAPI2 Disc Master
{4A8AAA94-CFC4-46A7-8E4E-17BC45608F0A}  BITS Service Trace
{8E598056-8993-11D2-819E-0000F875A064}  Active Directory Domain Services: SAM
{E4FF10D8-8A88-4FC6-82C8-8C23E9462FE5}  Downlevel IPsec NetShell Plugin
{CA1CF55C-9E49-4AD3-8038-39CB6F66AF11}  RSS Platform Backgroundsync Perf Trace
{5BBB6C18-AA45-49B1-A15F-085F7ED0AA90}  Security: NTLM Authentication
{F8036571-42D9-480A-BABB-DE7833CB059C}  IMAPI2FS Tracing
{F9BE9C98-10DB-4318-BB61-CB0DDEA08BF7}  UmBus Driver Trace
{2E8D9EC5-A712-48C4-8CE0-631EB0C1CD65}  Layer2 Security HC Diagnostics Trace
{58E8F67D-29E9-456C-B23D-C6489E341BB0}  WPD Types Trace
{D2A60D61-0F87-4673-A86C-9C461457FE27}  Windows NetworkItemFactory Trace
{D5C6A3E9-FA9C-434E-9653-165B4FC869E4}  IPMI Driver Trace
{544D4C9D-942C-46D5-BF50-DF5CD9524A50}  KMDFv1 Trace Provider
{B809F4FF-3023-473C-971B-AB594429EA57}  WMDM API Trace
{0E85A5A5-4D5C-44B7-8BDA-5B7AB54F7E93}  IMAPI2 Disc Recorder
{DAA6CAF5-6678-43F8-A6FE-B40EE096E06E}  TS Client ActiveX Control Trace
{BFA655DC-6C51-11DA-8BDE-F66BAD1E3F3A}  TS RDP Shell Trace
{485E7DED-0A80-11D8-AD15-505054503030}  UMDF - Lpc Driver Trace
{0E85A5A5-4D5C-44B7-8BDA-5B7AB54F7E90}  IMAPI2 dll
{1FF10429-99AE-45BB-8A67-C9E945B9FB6C}  IMAPI1 Shim
{CEB7253C-BB96-9DFE-51D1-53D966D0CF8B}  MSDART.1
{014DE49F-CE63-4779-BA2B-D616F6963A87}  Microsoft-Windows-NetworkConnectivityStatus
{D4199645-41BE-4FD5-9D71-A612C508FDC7}  RDPEncComTrace
{F33959B4-DBEC-11D2-895B-00C04F79AB69}  Active Directory: NetLogon
{A676B545-4CFB-4306-A067-502D9A0F2220}  SetupAPI Trace
{C3C5D8AF-2FD5-4500-A8E7-379C2D0BBE2E}  WPD API Trace
{0E85A5A5-4D5C-44B7-8BDA-5B7AB54F7E9A}  IMAPI2 Raw CD Writer
{8B98D3F2-3CC6-0B9C-6651-9649CCE5C752}  MSDADIAG.ETW
{106B464A-8043-46B1-8CB8-E92A0CD7A560}  BFE Trace Provider
{0E85A5A5-4D5C-44B7-8BDA-5B7AB54F7E94}  IMAPI2 Utilities
{4B647745-F438-0A42-F870-5DBD29949C99}  SQLSRV32.1
{0EFF663F-8B6E-4E6D-8182-087A8EAA29CB}  Windows Firewall API - GP
{0E85A5A5-4D5C-44B7-8BDA-5B7AB54F7E96}  IMAPI2 Write Engine
{57AC2B71-75CD-4043-9B00-B51674B0DC71}  NSC IrDA Driver
{0741C7BE-DAAC-4A5B-B00A-4BD9A2D89D0E}  Microsoft-Windows-LLTD-MapperIO
{F01B7774-7ED7-401E-8088-B576793D7841}  Certificate Services Client Trace
{4199EE71-D55D-47D7-9F57-34A1D5B2C904}  TerminalServer-MediaFoundationPlugin
{96AB095A-9519-4F5C-81EE-C510B0A45463}  UMB Trace
{082DFF20-F430-11D9-8CD6-0800200C9A66}  Mobility Center Trace
{24722B88-DF97-4FF6-E395-DB533AC42A1E}  BCP.1
{485E7DEA-0A80-11D8-AD15-505054503030}  UMDF - Driver Manager Trace
{52FC89F8-995E-434C-A91E-199986449890}  Hypervisor Trace
{C2BA06E2-F7CE-44AA-9E7E-62652CDEFE97}  Windows Wininit Trace
{D804A67F-4C25-43C1-896F-89FF78B3A911}  WMP Network Sharing Taskbar
{B2FC00C4-2941-4D11-983B-B16E8AA4E25D}  Ntfs_NtfsLog
{1AC55562-D4FF-4BC5-8EF3-A18E07C4668E}  Network Location Awareness Trace
{8ED60A3A-8C12-49C5-A518-FDF451BC10FC}  WMP Network Sharing API
{42695762-EA50-497A-9068-5CBBB35E0B95}  Windows Notification Facility Provider
{C92CF544-91B3-4DC0-8E11-C580339A0BF8}  NTLM Security Protocol
{6C770D53-0441-AFD4-DCAB-1D89155FECFC}  MSADOX.1
{17ABF473-982C-4D0E-B502-3A59D89E71DE}  WPD WMDMCompat Trace
{932B59F1-90C2-D8BA-0956-3975C344AE2B}  ODBCBCP.1
{94335EB3-79EA-44D5-8EA9-306F49B3A070}  Downlevel IPsec Policy Store
{EF4109DC-68FC-45AF-B329-CA2825437209}  Certificate Services Client CredentialRoaming Trace
{0C51B20C-F755-48A8-8123-BF6DA2ADC727}  TS Client Trace
{D2C4D428-7B68-4563-AF51-96C13F95A807}  Infrared Monitor Service
{0E85A5A5-4D5C-44B7-8BDA-5B7AB54F7E98}  IMAPI2 Standard Data Writer
{D905AC1C-65E7-4242-99EA-FE66A8355DF8}  Native WIFI Filter Driver Trace
{E2EB5B52-08B1-4391-B670-F58317376247}  WLAN Extensibility Trace
{AFF081FE-0247-4275-9C4E-021F3DC1DA35}  ASP.NET Events
{D3DE60B2-A663-45D5-9826-A0A5949D2CB0}  MUI Resource Trace
{649E3596-2620-4D58-A01F-17AEFE8185DB}  FD Publication Trace
{0E85A5A5-4D5C-44B7-8BDA-5B7AB54F7E97}  IMAPI2 Media Eraser
{13CD7F92-5BAA-8C7C-3D72-B69FAC139A46}  MSADDS.1
{480217A9-F824-4BD4-BBE8-F371CAAF9A0D}  FD Core Trace
{F34765F6-A1BE-4B9D-1400-B8A12921F704}  ODBC.1
{7311AD03-18D6-45AC-9B08-B020BDD6A590}  PNPX AssocDB Trace
{DAB01D4D-2D48-477D-B1C3-DAAD0CE6F06B}  ACPI Driver Trace Provider
{C127C1A8-6CEB-11DA-8BDE-F66BAD1E3F3A}  TS Rdp Init Trace
{64A552E0-6C60-B907-E59C-10F1DFF76B0D}  MSDAPRST.1
{4B6EFB94-30EA-49A7-BB29-E9ED9DCE67DA}  WPD Bluetooth MTP Emumerator Driver Trace
{0E85A5A5-4D5C-44B7-8BDA-5B7AB54F7E9C}  IMAPI2 Pseudo-Random Stream
{101C0E21-EBBA-A60A-EC3D-58797788928A}  MSADCF.1
{0063715B-EEDA-4007-9429-AD526F62696E}  Microsoft-Windows-Services
{00B7E1DF-B469-4C69-9C41-53A6576E3DAD}  Microsoft-Windows-Security-IdentityStore
{01090065-B467-4503-9B28-533766761087}  Microsoft-Windows-ParentalControls
{01578F96-C270-4602-ADE0-578D9C29FC0C}  Microsoft-Windows-VAN
{017247F2-7E96-11DC-8314-0800200C9A66}  Microsoft-Windows-ErrorReportingConsole
{017BA13C-9A55-4F1F-8200-323055AAC810}  Microsoft-Windows-Registry-SQM-Provider
{01979C6A-42FA-414C-B8AA-EEE2C8202018}  Microsoft-Windows-WindowsBackup
{02012A8A-ADF5-4FAB-92CB-CCB7BB3E689A}  Microsoft-Windows-ShareMedia-ControlPanel
{02F3A5E3-E742-4720-85A5-F64C4184E511}  Microsoft-Windows-Hyper-V-Config
{030F2F57-ABD0-4427-BCF1-3A3587D7DC7D}  Microsoft-Windows-Diagnostics-PerfTrack
{04268430-D489-424D-B914-0CFF741D6684}  Microsoft-Windows-Bluetooth-MTPEnum
{04A490D4-84C6-4920-9C22-51C80825FF2C}  Microsoft-Windows-Telephony-PhoneUtil
{04D66358-C4A1-419B-8023-23B73902DE2C}  Microsoft-Windows-PDH
{04ECCF8E-8490-4AD1-8ED5-0AE7750E69E6}  Microsoft-Windows-MCCS-AccountsHost
{05921578-2261-42C7-A0D3-26DDBCE6C50D}  Microsoft-Windows-Diagnosis-WDC
{059C3E04-5535-4929-85E1-93030E78F47B}  Microsoft-Windows-Shsvcs
{059F0F37-910E-4FF0-A7EE-AE8D49DD319B}  Microsoft-Windows-ReFS-v1
{05D7B0F0-2121-4EFF-BF6B-ED3F69B894D7}  Microsoft-Windows-TaskbarCPL
{05F02597-FE85-4E67-8542-69567AB8FD4F}  Microsoft-Windows-LiveId
{06184C97-5201-480E-92AF-3A3626C5B140}  Microsoft-Windows-Services-Svchost
{0657ADC1-9AE8-4E18-932D-E6079CDA5AB3}  Microsoft-Windows-TimeBroker
{06EDCFEB-0FD0-4E53-ACCA-A6F8BBF81BCB}  Microsoft-Windows-Time-Service
{07DE7879-1C96-41CE-AFBD-C659A0E8E643}  Microsoft-Windows-VolumeControl
{08466062-AED4-4834-8B04-CDDB414504E5}  Microsoft-Windows-Security-Audit-Configuration-Client
{0888E5EF-9B98-4695-979D-E92CE4247224}  Microsoft-Windows-RestartManager
{088A803B-578D-41B1-9402-92B7CEB380C8}  Microsoft-Windows-Telephony-TelephonyInteractiveUser
{08D945EB-C8BD-44AA-994F-86079D8DCE35}  Microsoft-Windows-Shell-AppWizCpl
{09242393-1349-4F4D-9FD7-59CC79F553CE}  Microsoft-Windows-Hyper-V-EmulatedNic
{093DA50C-0BB9-4D7D-B95C-3BB9FCDA5EE8}  Microsoft-Windows-Winsock-SQM
{09608C12-C1DA-4104-A6FE-B959CF57560A}  Microsoft-Windows-WUSA
{099614A5-5DD7-4788-8BC9-E29F43DB28FC}  Microsoft-Windows-LDAP-Client
{09AC07B9-6AC9-43BC-A50F-58419A797C69}  Microsoft-Windows-SmartCard-Audit
{09EC9687-D7AD-40CA-9C5E-78A04A5AE993}  Microsoft-Windows-DeviceSync
{0A002690-3839-4E3A-B3B6-96D8DF868D99}  Microsoft-Antimalware-Engine
{0A88862D-20A3-4C1F-B76F-162C55ADBF93}  Microsoft-Windows-ClearTypeTextTuner
{0B9FDCCC-451C-449C-9BD8-6756FCC6091A}  Microsoft-Windows-Hyper-V-Guest-Drivers-Storage-Filter
{0BD19909-EB6F-4B16-8074-6DCE803F091D}  Microsoft-Windows-UserDataAccess-Poom
{0BD3506A-9030-4F76-9B88-3E8FE1F7CFB6}  Microsoft-Windows-NWiFi
{0BF2FB94-7B60-4B4D-9766-E82F658DF540}  Microsoft-Windows-Kernel-ShimEngine
{0C478C5B-0351-41B1-8C58-4A6737DA32E3}  Microsoft-Windows-WFP
{0C885E0D-6EB6-476C-A048-2457EED3A5C1}  Microsoft-Windows-Host-Network-Service
{0CC157B3-CF07-4FC2-91EE-31AC92E05FE1}  Microsoft-Windows-AppSruProv
{0D4FDC09-8C27-494A-BDA0-505E4FD8ADAE}  Microsoft-Windows-Directory-Services-SAM
{0D759F0F-CFF9-4902-8867-EB9E29D7A98B}  Microsoft-Windows-WMP-Setup_WM
{0DD4D48E-2BBF-452F-A7EC-BA3DBA8407AE}  Microsoft-Windows-ActionQueue
{0F177893-4A9C-4709-B921-F432D67F43D5}  Microsoft-Windows-Complus
{0F352580-E9E2-46C2-8336-6AC66E986416}  Microsoft-Windows-OOBE-Machine-Plugins-Wireless
{0F67E49F-FE51-4E9F-B490-6F2948CC6027}  Microsoft-Windows-Kernel-Processor-Power
{0FF1C24B-7F05-45C0-ABDC-3C8521BE4F62}  Microsoft-Windows-Mobile-Broadband-Experience-SmsApi
{107754EE-5B5A-4DFF-AFAB-4AFA44C8429E}  Microsoft-Windows-ScmBus
{10A208DD-A372-421C-9D99-4FAD6DB68B62}  Microsoft-Windows-ApplicabilityEngine
{10AB3154-C36A-4F24-9D91-FFB5BCD331EF}  Microsoft-Windows-RemoteDesktopServices-RemoteFX-SessionLicensing
{10B3D268-9782-49A4-AACC-A93C5482CB6F}  Microsoft-Windows-Hyper-V-StorageVSP
{10D520E2-205C-4C22-B25C-AC7A779C55B2}  Microsoft-Windows-RemoteDesktopServices-RemoteFX-Manager
{1139C61B-B549-4251-8ED3-27250A1EDEC8}  Microsoft-Windows-RemoteDesktopServices-RdpCoreTS
{11A75546-3234-465E-BEC8-2D301CB501AC}  Microsoft-Windows-WindowsSystemAssessmentTool
{11BD2A68-77FF-4991-9658-F451F2EB6CE1}  Microsoft-Windows-Shell-OpenWith
{11C5D8AD-756A-42C2-8087-EB1B4A72A846}  Microsoft-Windows-NdisImPlatformEventProvider
{11CD958A-C507-4EF3-B3F2-5FD9DFBD2C78}  Microsoft-Windows-Windows Defender
{121D3DA8-BAF1-4DCB-929F-2D4C9A47F7AB}  Microsoft-Windows-Base-Filtering-Engine-Connections
{122EE297-BB47-41AE-B265-1CA8D1886D40}  Microsoft-Windows-LoadPerf
{125F2CF1-2768-4D33-976E-527137D080F8}  Microsoft-Windows-SmartCard-TPM-VCard-Module
{126CDB97-D346-4894-8A34-658DA5EEA1B6}  Microsoft-Windows-System-Restore
{126DED58-A28D-4113-8E7A-59D7444B2AF1}  Microsoft-Windows-Ncasvc
{127E0DC5-E13B-4935-985E-78FD508B1D80}  Microsoft-Windows-TerminalServices-RdpSoundDriver
{12DC38E3-E395-4C8E-9156-B5642057F5FA}  Microsoft-Windows-PrintDialogs3D
{12E3DA5B-14E4-4F76-8E35-C540763EF300}  Microsoft-Windows-Globalization
{13480A22-D79F-4334-9D32-AA239398AD3C}  Microsoft-Windows-Speech-UserExperience
{134EA407-755D-4A93-B8A6-F290CD155023}  Microsoft-Windows-HomeGroup-ControlPanel
{13B197BD-7CEE-4B4E-8DD0-59314CE374CE}  Microsoft-Windows-Perflib
{13BC4371-4E21-4E46-A84F-8C0FFB548CED}  Microsoft-Windows-DataIntegrityScan
{13EAE551-76CA-4DDC-B974-D3A0F8D44A03}  Microsoft-Windows-Hyper-V-Tpm
{1418EF04-B0B4-4623-BF7E-D74AB47BBDAA}  Microsoft-Windows-WMI-Activity
{14371053-1813-471A-9510-1CF1D0A055A8}  Microsoft-Windows-IME-JPSetting
{152FDB2B-6E9D-4B60-B317-815D5F174C4A}  Microsoft-Windows-Crypto-RSAEnh
{155CB334-3D7F-4FF1-B107-DF8AFC3C0363}  Microsoft-Windows-MSDTC Client 2
{15A7A4F8-0072-4EAB-ABAD-F98A4D666AED}  Microsoft-Windows-Dhcp-Client
{15CA44FF-4D7A-4BAA-BBA5-0998955E531E}  Microsoft-Windows-Kernel-Boot
{16A1ADC1-9B7F-4CD9-94B3-D8296AB1B130}  Microsoft-Windows-Kernel-AppCompat
{16C6501A-FF2D-46EA-868D-8F96CB0CB52D}  Microsoft-Windows-SEC
{17103E3F-3C6E-4677-BB17-3B267EB5BE57}  Microsoft-Windows-Hyper-V-Compute
{177D1599-9764-4E3A-BF9A-C86887AADDCE}  Microsoft-Windows-Hyper-V-VmbusVdev
{178DADAF-7AC4-4593-AB3E-A45FDA6D0D55}  Microsoft-Windows-Diagnosis-AdvancedTaskManager
{17D6E590-F5FE-11DC-95FF-0800200C9A66}  Microsoft-Windows-ApplicationExperience-SwitchBack
{17E92E2A-3D08-413E-BAEB-A79A262BF486}  Microsoft-Windows-MsiServer
{17F14A23-551D-40CC-A086-E4194D64ED4C}  Microsoft-Windows-WABSyncProvider
{18F4A5FD-FD3B-40A5-8FC2-E5D261C5D02E}  Microsoft-Windows-ApplicationExperience-LookupServiceTrigger
{192EDE41-9175-4C86-AC02-9D003C9D43AB}  Microsoft-Windows-DisplaySwitch
{199FE037-2B82-40A9-82AC-E1D46C792B99}  LsaSrv
{19A4C69A-28EB-4D4B-8D94-5F19055A1B5C}  Microsoft-Windows-AsynchronousCausality
{19D2C934-EE9B-49E5-AAEB-9CCE721D2C65}  Microsoft-Windows-OLEACC
{1A396961-5F3C-4C71-8310-44C653C0BF8A}  Microsoft-Windows-DiagCpl
{1A772F65-BE1E-4FC6-96BB-248E03FA60F5}  Microsoft-Windows-EnergyEfficiencyWizard
{1A870028-F191-4699-8473-6FCD299EAB77}  Microsoft-Windows-Remotefs-Rdbss
{1A9443D4-B099-44D6-8EB1-829B9C2FE290}  Microsoft-Windows-PCI
{1B562E86-B7AA-4131-BADC-B6F3A001407E}  Microsoft-Windows-DistributedCOM
{1B6B0772-251B-4D42-917D-FACA166BC059}  TPM
{1B734B40-A458-4B81-954F-AD7C9461BED8}  Microsoft-Windows-IME-CustomerFeedbackManagerUI
{1B8B402D-78DC-46FB-BF71-46E64AEDF165}  Microsoft-Windows-RemoteApp and Desktop Connections
{1BDA2AB1-BBC1-4ACB-A849-C0EF2B249672}  Microsoft-Windows-Spellchecking-Host
{1BE1A88D-8E34-4170-9123-F503375BBCEF}  Microsoft-Windows-StorSqm
{1C95126E-7EEA-49A9-A3FE-A378B03DDB4D}  Microsoft-Windows-DNS-Client
{1CEB22B1-97FF-4703-BEB2-333EB89B522A}  Microsoft-Windows-Hyper-V-VMSP
{1D5990C1-EC62-49F0-9E37-1F4DB12DB41E}  Microsoft-Windows-DeviceConfidence
{1D5E499D-739C-45A6-A3E1-8CBE0A352BEB}  Microsoft-Windows-Deduplication-Change
{1D75856D-36A7-4ECB-A3F5-B13152222D29}  Microsoft-Windows-MSPaint
{1DB28F2E-8F80-4027-8C5A-A11F7F10F62D}  Microsoft-Windows-Backup
{1DB8DAD0-7CA6-4F18-B357-43BFDD8C9806}  Microsoft-Windows-Telephony-PhoneProviders
