"bizID","bizCat","bizCatSub","bizName","bizAddr","bizCity","bizState","bizZip","bizPhone","bizFax","bizEmail","bizURL","locAreaCode","locFIPS","locTimeZone","locDST","locLat","locLong","locMSA","locPMSA","locCounty"
45,"Gambling & Casinos","Casino & Gambling Equipment Rental","Gamblers World","1944 East University Drive","Tempe","AZ","85281","(480)968-2590","","","www.bullseyepoker.com","480","04013","MST","N","33.4203","-111.9288","6200","","Maricopa"
46,"Gambling & Casinos","Casino & Gambling Equipment Rental","Game World Event Services","6559 ROMISS CT","SAINT LOUIS","MO","63134","(636)724-8800","","","www.gameworldevents.com","314","29189","CST","Y","38.7422","-90.3457","7040","","Saint Louis"
47,"Gambling & Casinos","Casino & Gambling Equipment Rental","Gameco Inc","12319 Plaza Drive","Cleveland","OH","44130","(216)676-5000","","","www.gameco.com","440","39035","EST","Y","41.3776","-81.7863","","1680","Cuyahoga"
48,"Gambling & Casinos","Casino & Gambling Equipment Rental","Great Lakes Expositions","4601 West Ridgewood Drive","Cleveland","OH","44134","(440)845-6696","","","","440","39035","EST","Y","41.3848","-81.7045","","1680","Cuyahoga"
49,"Gambling & Casinos","Casino & Gambling Equipment Rental","Hits & Grins Sound Shows","Po Box 560","Rogersville","MO","65742","(417)753-3630","","","www.hitsandgrins.com","417","29225","CST","Y","37.1319","-93.0612","7920","","Webster"
50,"Gambling & Casinos","Casino & Gambling Equipment Rental","Houston Slot Machines","17715 Katy Freeway","Houston","TX","77094","(281)492-6498","","","www.houstonslotmachines.co","713","48201","CST","Y","29.7528","-95.6843","","3360","Harris"
51,"Gambling & Casinos","Casino & Gambling Equipment Rental","J Clark Promotions Inc","5620 Crawford Street","New Orleans","LA","70123","(504)734-3007","","","","504","22051","CST","Y","29.9536","-90.2034","5560","","Jefferson"
52,"Gambling & Casinos","Casino & Gambling Equipment Rental","Kathy Reed Productions LLC","Princeton Area","Shrewsbury","NJ","07702","(609)924-7973","","","www.kathyreedproductions.com","732","34025","EST","Y","40.3253","-74.0595","","5190","Monmouth"
53,"Gambling & Casinos","Casino & Gambling Equipment Rental","Lucision","120 Ralph McGill Blvd Suite 1201","Atlanta","GA","30308","(404)437-7597","","info@lucision.com","www.lucision.com","404","13121","EST","Y","33.7714","-84.3774","0520","","Fulton"
54,"Gambling & Casinos","Casino & Gambling Equipment Rental","Mardi GRAS Casino","3219 Harrison Avenue","Butte","MT","59701","(406)494-8342","","","","406","30093","MST","Y","45.9274","-112.5042","","","Silver Bow"
55,"Gambling & Casinos","Casino & Gambling Equipment Rental","MONTE CARLO Casino Entertainment","18627 Brookhurst St #517","Fountain Valley","CA","92708","(949)241-3220","","Robert@MyMonteCarloCasino.com","www.MyMonteCarloCasino.com","714","06059","PST","Y","33.7104","-117.9513","","5945","Orange"
56,"Gambling & Casinos","Casino & Gambling Equipment Rental","Music On The Move Plus","6600 Industrial Loop","Greendale","WI","53129","(414)282-3866","","","www.interactivegames.com","414","55079","CST","Y","42.9380","-88.0001","","5080","Milwaukee"
57,"Gambling & Casinos","Casino & Gambling Equipment Rental","North County Dealer School","260 West Crest Street","Escondido","CA","92025","(760)432-9622","","","www.casinodealingschool.co","760","06073","PST","Y","33.0829","-117.0241","7320","","San Diego"
58,"Gambling & Casinos","Casino & Gambling Equipment Rental","Parties Picnics & Promotions","11911 Jones Maltsberger Road","San Antonio","TX","78216","(210)494-0090","","kim@partiespicnics.com","www.partiespicnics.com","210","48029","CST","Y","29.5371","-98.4882","7240","","Bexar"
59,"Gambling & Casinos","Casino & Gambling Equipment Rental","Perfect Parties","119R Foster Street","Peabody","MA","01960","(978)977-0500","","","www.perfectpartiesusa.com","978","25009","EST","Y","42.5338","-70.9728","","1120","Essex"
60,"Gambling & Casinos","Casino & Gambling Equipment Rental","Picnics Parties & Promotions","13819 San Pedro Avenue","San Antonio","TX","78232","(210)494-0090","","","www.partiespicnics.com","210","48029","CST","Y","29.5876","-98.4740","7240","","Bexar"
61,"Gambling & Casinos","Casino & Gambling Equipment Rental","Royal Casino Parties","899 Kifer Road","Sunnyvale","CA","94086","(408)636-0040","","info@royalcasinoparties.com","www.royalcasinoparties.com","408","06085","PST","Y","37.3717","-122.0255","","7400","Santa Clara"
62,"Gambling & Casinos","Casino & Gambling Equipment Rental","Slot Machine Resale","1602 West Prince Road","Tucson","AZ","85705","(520)888-4008","","","www.slotmachineresale.com","520","04019","MST","N","32.2724","-110.9936","8520","","Pima"
63,"Gambling & Casinos","Casino & Gambling Equipment Rental","Social Graces Inc","1031 Willow Bluff Drive","Columbus","OH","43235","(614)451-1311","","","www.socialgracesinc.com","614","39049","EST","Y","40.1013","-83.0554","1840","","Franklin"
64,"Gambling & Casinos","Casino & Gambling Equipment Rental","Southwest Casino Productions","10320 Boulder","Austin","TX","78726","(512)258-0833","","","","512","48453","CST","Y","30.4306","-97.8435","0640","","Travis"
65,"Gambling & Casinos","Casino & Gambling Equipment Rental","Special Moments","1845 East Baseline Road","Tempe","AZ","85283","(480)730-1114","","adtaylor@primenet.com","www.specialmomentsaz.com","480","04013","MST","N","33.3640","-111.9316","6200","","Maricopa"
66,"Gambling & Casinos","Casino & Gambling Equipment Rental","The Design Group","9003 Governors Row","Dallas","TX","75247","(214)634-3778","","","www.dallasfunevents.com","214","48113","CST","Y","32.8171","-96.8808","","1920","Dallas"
67,"Gambling & Casinos","Casino & Gambling Equipment Rental","The Slot Machine Store - West","6443 North Oracle Road","Tucson","AZ","85704","(520)888-0004","","","www.theslotmachinestore.com","520","04019","MST","N","32.3315","-110.9863","8520","","Pima"
68,"Gambling & Casinos","Casino & Gambling Equipment Rental","Tri State Special Events Incorporated","614 Tafel Street","Cincinnati","OH","45225","(513)221-2962","","garyrobinson@fuse.net","www.tristate-events.com","513","39061","EST","Y","39.1426","-84.5545","","1640","Hamilton"
69,"Gambling & Casinos","Casino & Gambling Equipment Rental","Vegas Connection","1903 Lorraine Avenue","Allen","TX","75002","(214)544-7529","","","","972","48085","CST","Y","33.0968","-96.6341","","1920","Collin"
70,"Gambling & Casinos","Casino & Gambling Equipment Rental","Vegas In Your Home","7210 Cliff View Lane","Garland","TX","75044","(972)496-5858","","","www.casinopartydallas.com","972","48113","CST","Y","32.9627","-96.6535","","1920","Dallas"
71,"Gambling & Casinos","Casino & Gambling Equipment Rental","Wood David","2005 Newport","Weatherford","TX","76086","(817)613-0622","","","","817","48367","CST","Y","32.7558","-97.7972","","2800","Parker"
72,"Gambling & Casinos","Casinos","1st Quarter Restaurant Dining & Casino","1111 East Park Avenue","Anaconda","MT","59711","(406)563-6059","","","","406","30023","MST","Y","46.0302","-113.1436","","","Deer Lodge"
73,"Gambling & Casinos","Casinos","229 Casino","2605 East 10th Street","Sioux Falls","SD","57103","(605)333-0486","","","","605","46099","CST","Y","43.5406","-96.6420","7760","","Minnehaha"
74,"Gambling & Casinos","Casinos","3 Rivers Casino","5647 Highway 126","Florence","OR","97439","(541)997-7529","","","","541","41039","PST","Y","44.1259","-124.0315","2400","","Lane"
75,"Gambling & Casinos","Casinos","360 Steakhouse","1 Harrahs Boulevard","Council Bluffs","IA","51501","(712)329-6000","","","www.harrahs.co","712","19155","CST","Y","41.2146","-95.8574","5920","","Pottawattamie"
76,"Gambling & Casinos","Casinos","6 Hit Big Jackpots Now- Online Slot Casino","Red 7 Casino Online Service","Saint Paul","MN","55117","(612)730-7911","","online@red7casino.com","","651","27123","CST","Y","44.9981","-93.0983","5120","","Ramsey"
77,"Gambling & Casinos","Casinos","7 Cedars Casino","270756 Highway 101","Sequim","WA","98382","(360)683-7777","","","www.7cedarscasino.co","360","53009","PST","Y","48.0015","-123.0905","","","Clallam"
78,"Gambling & Casinos","Casinos","7 Clans Casino","Red Lake Bingo","Redlake","MN","56671","(218)679-3941","","","","218","27007","CST","Y","47.8767","-95.0171","","","Beltrami"
79,"Gambling & Casinos","Casinos","7-Clans Casino","7500 Highway 177","Red Rock","OK","74651","(580)723-4005","","","","580","40103","CST","Y","36.4781","-97.1740","","","Noble"
80,"Gambling & Casinos","Casinos","A Blackjack Card Counting Computer","12402 N Division St #230 #230","Las Vegas","NV","89104","(509)939-5005","","info@emergeinnovations.com","www.blackjackcounter.co","702","32003","PST","Y","36.1511","-115.1101","4120","","Clark"
81,"Gambling & Casinos","Casinos","AAA Casino Magic","1464 Graves Avenue","El Cajon","CA","92019","(619)444-7264","","","www.casinomagicparties.co","619","06073","PST","Y","32.7856","-116.8874","7320","","San Diego"
82,"Gambling & Casinos","Casinos","Aaa Casino Marketing","1602 Southwest 15th Avenue","Cape Coral","FL","33991","(239)573-2701","","","","239","12071","EST","Y","26.6300","-82.0150","2700","","Lee"
83,"Gambling & Casinos","Casinos","Absolute Rentals","Po Box 2241","Pearl City","HI","96782","(808)456-7121","","","www.absoluterentalshi.co","808","15003","PST-2","N","21.4205","-157.9279","3320","","Honolulu"
84,"Gambling & Casinos","Casinos","Ace Of Diamonds Casino","2715 Lazelle Street","Sturgis","SD","57785","(605)720-4446","","","","605","46093","MST","Y","44.4145","-103.1708","","","Meade"
85,"Gambling & Casinos","Casinos","Aces Wild Casino Party","12180 North Seasons Loop","Oro Valley","AZ","85755","(520)498-1414","","","","520","04019","MST","N","32.4486","-110.9648","8520","","Pima"
86,"Gambling & Casinos","Casinos","Acoma Gaming Commission","Acomita","Pueblo Of Acoma","NM","87034","(505)552-7411","","","","505","35061","MST","Y","35.0806","-107.5975","0200","","Valencia"
87,"Gambling & Casinos","Casinos","Acoma Pueblo Bingo","Acomita","Pueblo Of Acoma","NM","87034","(505)552-6017","","","www.casinocity.co","505","35061","MST","Y","35.0806","-107.5975","0200","","Valencia"
88,"Gambling & Casinos","Casinos","Advanced Casino Security Inc","314 Westport Avenue","Norwalk","CT","06851","(203)849-1004","","","","203","09001","EST","Y","41.1388","-73.4037","","8040","Fairfield"
89,"Gambling & Casinos","Casinos","Advanced Lottery Tech","7812 F Street","Omaha","NE","68127","(402)331-2851","","","","402","31055","CST","Y","41.2062","-96.0524","5920","","Douglas"
90,"Gambling & Casinos","Casinos","Aj's Casino Rentals","100 Standish Avenue","Quincy","MA","02170","(617)770-2222","","","","617","25021","EST","Y","42.2664","-71.0167","","1120","Norfolk"
91,"Gambling & Casinos","Casinos","Akwesasne Mohawk Casino","873 State Route 37","Hogansburg","NY","13655","(518)358-2222","","","mohawkcasino.co","518","36033","EST","Y","44.9835","-74.6107","","","Franklin"
92,"Gambling & Casinos","Casinos","Akwesasne Mohawk Casino Warehouse","Frogtown Road","Hogansburg","NY","13655","(518)358-2897","","","","518","36033","EST","Y","44.9835","-74.6107","","","Franklin"
93,"Gambling & Casinos","Casinos","Alfred Casino Lounge","821 E Bridge Street","Saint Martinville","LA","70582","(337)394-8328","","","","337","22099","CST","Y","30.2235","-91.7772","3880","","Saint Martin"
94,"Gambling & Casinos","Casinos","All Aces Casino Creations Inc","1622 Forest Trace Drive","Sugar Land","TX","77479","(281)343-1212","","","www.allacescasinocreations.co","281","48157","CST","Y","29.5665","-95.6214","","3360","Fort Bend"
95,"Gambling & Casinos","Casinos","Alton Gaming Company","219 Piasa Street","Alton","IL","62002","(618)474-7500","","","www.argosycasinos.co","618","17119","CST","Y","38.9395","-90.1236","7040","","Madison"
96,"Gambling & Casinos","Casinos","Amerihost Inn","1100 Mediterranean Avenue","Columbus","OH","43229","(614)848-6080","","","","614","39049","EST","Y","40.0861","-82.9763","1840","","Franklin"
97,"Gambling & Casinos","Casinos","Ameristar Casino","3200 Ameristar Drive","Kansas City","MO","64161","(816)414-7000","","","ameristar.co","816","29047","CST","Y","39.1628","-94.4478","3760","","Clay"
98,"Gambling & Casinos","Casinos","Ameristar Casino","I 29 Nebraska Avenue","Council Bluffs","IA","51501","(712)328-8888","","","www.ameristar.co","712","19155","CST","Y","41.2146","-95.8574","5920","","Pottawattamie"
99,"Gambling & Casinos","Casinos","Ameristar Casino Inc","550 Blue Lakes Boulevard North","Twin Falls","ID","83301","(208)733-2282","","","","208","16083","MST","Y","42.2444","-114.6624","","","Twin Falls"
100,"Gambling & Casinos","Casinos","Ameristar Casino St Charles","1260 S Main Street","Saint Charles","MO","63301","(636)949-7777","","","ameristar.co","636","29183","CST","Y","38.8615","-90.4548","7040","","Saint Charles"
101,"Gambling & Casinos","Casinos","Ameristar Casino St Charles","1260 South Main Street","Saint Charles","MO","63301","(636)940-4300","","","www.ameristarcasinos.co","636","29183","CST","Y","38.8615","-90.4548","7040","","Saint Charles"
102,"Gambling & Casinos","Casinos","Ameristar Casinos Inc","3773 Howard Hughes Parkway","Las Vegas","NV","89169","(702)567-7000","","","","","","","","","","","",""
103,"Gambling & Casinos","Casinos","An Elite Limousine Service","411 Country Club Court","Clarksville","TN","37043","(931)647-5379","","","","931","47125","CST","Y","36.4964","-87.2340","1660","","Montgomery"
104,"Gambling & Casinos","Casinos","Andreotti's Restaurant","151 North Joliet Street","Joliet","IL","60432","(815)774-2624","","","","815","17197","CST","Y","41.5399","-88.0437","","1600","Will"
105,"Gambling & Casinos","Casinos","AP","424 West Penn Street","Bedford","PA","15522","(814)623-7177","","","","814","42009","EST","Y","39.9363","-78.5519","","","Bedford"
106,"Gambling & Casinos","Casinos","Apache Nugget C","Highway 64","Dulce","NM","87528","(505)759-3777","","","","505","35039","MST","Y","36.6026","-107.2319","","","Rio Arriba"
107,"Gambling & Casinos","Casinos","Apache Nugget Corporation","10 Highway 537","Cuba","NM","87013","(505)289-2337","","","","505","35043","MST","Y","36.0303","-107.2577","0200","","Sandoval"
108,"Gambling & Casinos","Casinos","Arena Sports Bar & Grill","3809 North 90th Street","Omaha","NE","68134","(402)571-2310","","","","402","31055","CST","Y","41.2985","-96.0492","5920","","Douglas"
109,"Gambling & Casinos","Casinos","Argosy Casino","777 Argosy Parkway","Kansas City","MO","64150","(816)746-3100","","","www.argosy.co","816","29165","CST","Y","39.1690","-94.6319","3760","","Platte"
110,"Gambling & Casinos","Casinos","Argosy Casino Sioux City","100 Larsen Park Road","Sioux City","IA","51101","(712)294-5600","","","www.argosycasinos.co","712","19193","CST","Y","42.4941","-96.3985","7720","","Woodbury"
111,"Gambling & Casinos","Casinos","Aristocratic Casino Party","2903 Victoria","Coconut Creek","FL","33066","(561)391-0044","","","","954","12011","EST","Y","26.2536","-80.1776","","2680","Broward"
112,"Gambling & Casinos","Casinos","Atlantic City Hilton Casino Resort - Boston at the Boardwalk","Boston At The Boardw","Atlantic City","NJ","08401","(609)347-7111","","","www.hiltonac.co","609","34001","EST","Y","39.3648","-74.4342","","0560","Atlantic"
113,"Gambling & Casinos","Casinos","Atlantic City Tours","5115 Avenue U","Brooklyn","NY","11234","(718)252-3311","","","","718","36047","EST","Y","40.6068","-73.9096","","5600","Kings"
114,"Gambling & Casinos","Casinos","Atlantis Paradise Island Bahamas","2720 South River Road","Des Plaines","IL","60018","(847)391-6963","","","www.atlantis.co","847","17031","CST","Y","42.0040","-87.8954","","1600","Cook"
115,"Gambling & Casinos","Casinos","Atronic Americas LLC","2300 North Elmwood Avenue","Peoria","IL","61604","(309)681-8335","","","","309","17143","CST","Y","40.7064","-89.6585","6120","","Peoria"
116,"Gambling & Casinos","Casinos","Atronic Casino Technology","421 16th Street","Gulfport","MS","39507","(228)604-2773","","","","228","28047","CST","Y","30.3981","-89.0363","0920","","Harrison"
117,"Gambling & Casinos","Casinos","Atronic Casino Technology","421 16th Street","Gulfport","MS","39507","(228)896-3767","","","","228","28047","CST","Y","30.3981","-89.0363","0920","","Harrison"
118,"Gambling & Casinos","Casinos","Aztar Indiana Gaming LLC","421 Northwest Riverside Drive","Evansville","IN","47708","(812)433-4444","","","","812","18163","CST","Y","37.9741","-87.5750","2440","","Vanderburgh"
119,"Gambling & Casinos","Casinos","Babary Coast Casino","3595 Las Vegas Boulevard South","Las Vegas","NV","89109","(702)267-9681","","","","702","32003","PST","Y","36.1265","-115.1527","4120","","Clark"
120,"Gambling & Casinos","Casinos","Bad River Casino","Maple Road","Superior","WI","54880","(715)685-9921","","","","715","55031","CST","Y","46.6228","-92.1463","2240","","Douglas"
121,"Gambling & Casinos","Casinos","Bad River Casino","US Highway 2","Odanah","WI","54861","(715)682-7121","","info@lakesuperiorexplorer.com","www.badriver.co","715","55003","CST","Y","46.5868","-90.6088","","","Ashland"
122,"Gambling & Casinos","Casinos","Bahama Bay Cafe","3545 Pennsylvania Avenue","Weirton","WV","26062","(304)723-5366","","","","304","54029","EST","Y","40.4229","-80.5604","8080","","Hancock"
123,"Gambling & Casinos","Casinos","Baldini's Sports Casinos","865 South Rock Boulevard","Sparks","NV","89431","(775)358-0116","","","www.baldinissports.co","775","32031","PST","Y","39.5386","-119.7498","6720","","Washoe"
124,"Gambling & Casinos","Casinos","Bally Gaming","1967 South US Highway 131","Petoskey","MI","49770","(231)439-5261","","","","231","26047","EST","Y","45.3433","-84.8827","","","Emmet"
125,"Gambling & Casinos","Casinos","Bally Gaming And Systems Sdg","3010 W 49th Street","Davenport","IA","52806","(563)386-1102","","","","563","19163","CST","Y","41.5821","-90.6205","1960","","Scott"
126,"Gambling & Casinos","Casinos","Bally Gaming And Systems Sdg","4383 Tanglewood Road","Bettendorf","IA","52722","(563)332-5129","","","","563","19163","CST","Y","41.5718","-90.4678","1960","","Scott"
