Full name	Identifier	FSF Free/Libre?	OSI Approved?	Text
BSD 3-Clause No Nuclear License	BSD-3-Clause-No-Nuclear-License			License Text
BSD 3-Clause No Nuclear Warranty	BSD-3-Clause-No-Nuclear-Warranty			License Text
BSD 3-Clause "New" or "Revised" License	BSD-3-Clause	Y	Y	License Text
BSD-4-Clause (University of California-Specific)	BSD-4-Clause-UC			License Text
BSD 4-Clause "Original" or "Old" License	BSD-4-Clause	Y		License Text
BSD Protection License	BSD-Protection			License Text
BSD Source Code Attribution	BSD-Source-Code			License Text
Boost Software License 1.0	BSL-1.0	Y	Y	License Text
bzip2 and libbzip2 License v1.0.5	bzip2-1.0.5			License Text
bzip2 and libbzip2 License v1.0.6	bzip2-1.0.6			License Text
Caldera License	Caldera			License Text
Computer Associates Trusted Open Source License 1.1	CATOSL-1.1		Y	License Text
Creative Commons Attribution 1.0	CC-BY-1.0			License Text
Creative Commons Attribution 2.0	CC-BY-2.0			License Text
Creative Commons Attribution 2.5	CC-BY-2.5			License Text
Creative Commons Attribution 3.0	CC-BY-3.0			License Text
Creative Commons Attribution 4.0	CC-BY-4.0	Y		License Text
Creative Commons Attribution Non Commercial 1.0	CC-BY-NC-1.0			License Text
Creative Commons Attribution Non Commercial 2.0	CC-BY-NC-2.0			License Text
Creative Commons Attribution Non Commercial 2.5	CC-BY-NC-2.5			License Text
Creative Commons Attribution Non Commercial 3.0	CC-BY-NC-3.0			License Text
Creative Commons Attribution Non Commercial 4.0	CC-BY-NC-4.0			License Text
Creative Commons Attribution Non Commercial No Derivatives 1.0	CC-BY-NC-ND-1.0			License Text
Creative Commons Attribution Non Commercial No Derivatives 2.0	CC-BY-NC-ND-2.0			License Text
Creative Commons Attribution Non Commercial No Derivatives 2.5	CC-BY-NC-ND-2.5			License Text
Creative Commons Attribution Non Commercial No Derivatives 3.0	CC-BY-NC-ND-3.0			License Text
Creative Commons Attribution Non Commercial No Derivatives 4.0	CC-BY-NC-ND-4.0			License Text
Creative Commons Attribution Non Commercial Share Alike 1.0	CC-BY-NC-SA-1.0			License Text
Creative Commons Attribution Non Commercial Share Alike 2.0	CC-BY-NC-SA-2.0			License Text
Creative Commons Attribution Non Commercial Share Alike 2.5	CC-BY-NC-SA-2.5			License Text
Creative Commons Attribution Non Commercial Share Alike 3.0	CC-BY-NC-SA-3.0			License Text
Creative Commons Attribution Non Commercial Share Alike 4.0	CC-BY-NC-SA-4.0			License Text
Creative Commons Attribution No Derivatives 1.0	CC-BY-ND-1.0			License Text
Creative Commons Attribution No Derivatives 2.0	CC-BY-ND-2.0			License Text
Creative Commons Attribution No Derivatives 2.5	CC-BY-ND-2.5			License Text
Creative Commons Attribution No Derivatives 3.0	CC-BY-ND-3.0			License Text
Creative Commons Attribution No Derivatives 4.0	CC-BY-ND-4.0			License Text
Creative Commons Attribution Share Alike 1.0	CC-BY-SA-1.0			License Text
Creative Commons Attribution Share Alike 2.0	CC-BY-SA-2.0			License Text
Creative Commons Attribution Share Alike 2.5	CC-BY-SA-2.5			License Text
Creative Commons Attribution Share Alike 3.0	CC-BY-SA-3.0			License Text
Creative Commons Attribution Share Alike 4.0	CC-BY-SA-4.0	Y		License Text
Creative Commons Zero v1.0 Universal	CC0-1.0	Y		License Text
Common Development and Distribution License 1.0	CDDL-1.0	Y	Y	License Text
Common Development and Distribution License 1.1	CDDL-1.1			License Text
Community Data License Agreement Permissive 1.0	CDLA-Permissive-1.0			License Text
Community Data License Agreement Sharing 1.0	CDLA-Sharing-1.0			License Text
CeCILL Free Software License Agreement v1.0	CECILL-1.0			License Text
CeCILL Free Software License Agreement v1.1	CECILL-1.1			License Text
CeCILL Free Software License Agreement v2.0	CECILL-2.0	Y		License Text
CeCILL Free Software License Agreement v2.1	CECILL-2.1		Y	License Text
CeCILL-B Free Software License Agreement	CECILL-B	Y		License Text
CeCILL-C Free Software License Agreement	CECILL-C	Y		License Text
Clarified Artistic License	ClArtistic	Y		License Text
CNRI Jython License	CNRI-Jython			License Text
CNRI Python Open Source GPL Compatible License Agreement	CNRI-Python-GPL-Compatible			License Text
CNRI Python License	CNRI-Python		Y	License Text
Condor Public License v1.1	Condor-1.1	Y		License Text
Common Public Attribution License 1.0	CPAL-1.0	Y	Y	License Text
Common Public License 1.0	CPL-1.0	Y	Y	License Text
Code Project Open License 1.02	CPOL-1.02			License Text
Crossword License	Crossword			License Text
CrystalStacker License	CrystalStacker			License Text
CUA Office Public License v1.0	CUA-OPL-1.0		Y	License Text
Cube License	Cube			License Text
curl License	curl			License Text
Deutsche Freie Software Lizenz	D-FSL-1.0			License Text
diffmark license	diffmark			License Text
DOC License	DOC			License Text
Dotseqn License	Dotseqn			License Text
DSDP License	DSDP			License Text
dvipdfm License	dvipdfm			License Text
Educational Community License v1.0	ECL-1.0		Y	License Text
Educational Community License v2.0	ECL-2.0	Y	Y	License Text
Eiffel Forum License v1.0	EFL-1.0		Y	License Text
Eiffel Forum License v2.0	EFL-2.0	Y	Y	License Text
eGenix.com Public License 1.1.0	eGenix			License Text
Entessa Public License v1.0	Entessa		Y	License Text
Eclipse Public License 1.0	EPL-1.0	Y	Y	License Text
Eclipse Public License 2.0	EPL-2.0	Y	Y	License Text
Erlang Public License v1.1	ErlPL-1.1			License Text
EU DataGrid Software License	EUDatagrid	Y	Y	License Text
European Union Public License 1.0	EUPL-1.0			License Text
European Union Public License 1.1	EUPL-1.1	Y	Y	License Text
European Union Public License 1.2	EUPL-1.2		Y	License Text
Eurosym License	Eurosym			License Text
Fair License	Fair		Y	License Text
Frameworx Open License 1.0	Frameworx-1.0		Y	License Text
FreeImage Public License v1.0	FreeImage			License Text
FSF All Permissive License	FSFAP	Y		License Text
FSF Unlimited License	FSFUL			License Text
FSF Unlimited License (with License Retention)	FSFULLR			License Text
Freetype Project License	FTL	Y		License Text
GNU Free Documentation License v1.1 only	GFDL-1.1-only			License Text
GNU Free Documentation License v1.1 or later	GFDL-1.1-or-later			License Text
GNU Free Documentation License v1.2 only	GFDL-1.2-only			License Text
GNU Free Documentation License v1.2 or later	GFDL-1.2-or-later			License Text
GNU Free Documentation License v1.3 only	GFDL-1.3-only			License Text
GNU Free Documentation License v1.3 or later	GFDL-1.3-or-later			License Text
Giftware License	Giftware			License Text
GL2PS License	GL2PS			License Text
3dfx Glide License	Glide			License Text
Glulxe License	Glulxe			License Text
gnuplot License	gnuplot	Y		License Text
GNU General Public License v1.0 only	GPL-1.0-only			License Text
GNU General Public License v1.0 or later	GPL-1.0-or-later			License Text
GNU General Public License v2.0 only	GPL-2.0-only		Y	License Text
GNU General Public License v2.0 or later	GPL-2.0-or-later		Y	License Text
GNU General Public License v3.0 only	GPL-3.0-only		Y	License Text
GNU General Public License v3.0 or later	GPL-3.0-or-later		Y	License Text
gSOAP Public License v1.3b	gSOAP-1.3b			License Text
Haskell Language Report License	HaskellReport			License Text
Historical Permission Notice and Disclaimer	HPND	Y	Y	License Text
IBM PowerPC Initialization and Boot Software	IBM-pibs			License Text
ICU License	ICU			License Text
Independent JPEG Group License	IJG	Y		License Text
ImageMagick License	ImageMagick			License Text
iMatix Standard Function Library Agreement	iMatix	Y		License Text
Imlib2 License	Imlib2	Y		License Text
Info-ZIP License	Info-ZIP			License Text
Intel ACPI Software License Agreement	Intel-ACPI			License Text
Intel Open Source License	Intel	Y	Y	License Text
Interbase Public License v1.0	Interbase-1.0			License Text
IPA Font License	IPA	Y	Y	License Text
IBM Public License v1.0	IPL-1.0	Y	Y	License Text
ISC License	ISC	Y	Y	License Text
JasPer License	JasPer-2.0			License Text
JSON License	JSON			License Text
Licence Art Libre 1.2	LAL-1.2			License Text
Licence Art Libre 1.3	LAL-1.3			License Text
Latex2e License	Latex2e			License Text
Leptonica License	Leptonica			License Text
GNU Library General Public License v2 only	LGPL-2.0-only		Y	License Text
GNU Library General Public License v2 or later	LGPL-2.0-or-later		Y	License Text
GNU Lesser General Public License v2.1 only	LGPL-2.1-only		Y	License Text
GNU Lesser General Public License v2.1 or later	LGPL-2.1-or-later		Y	License Text
GNU Lesser General Public License v3.0 only	LGPL-3.0-only		Y	License Text
GNU Lesser General Public License v3.0 or later	LGPL-3.0-or-later		Y	License Text
Lesser General Public License For Linguistic Resources	LGPLLR			License Text
libpng License	Libpng			License Text
libtiff License	libtiff			License Text
Licence Libre du Québec  Permissive version 1.1	LiLiQ-P-1.1		Y	License Text
Licence Libre du Québec  Réciprocité version 1.1	LiLiQ-R-1.1		Y	License Text
Licence Libre du Québec  Réciprocité forte version 1.1	LiLiQ-Rplus-1.1		Y	License Text
Lucent Public License Version 1.0	LPL-1.0		Y	License Text
Lucent Public License v1.02	LPL-1.02	Y	Y	License Text
LaTeX Project Public License v1.0	LPPL-1.0			License Text
LaTeX Project Public License v1.1	LPPL-1.1			License Text
LaTeX Project Public License v1.2	LPPL-1.2	Y		License Text
LaTeX Project Public License v1.3a	LPPL-1.3a	Y		License Text
LaTeX Project Public License v1.3c	LPPL-1.3c		Y	License Text
MakeIndex License	MakeIndex			License Text
MirOS License	MirOS		Y	License Text
Enlightenment License (e16)	MIT-advertising			License Text
CMU License	MIT-CMU			License Text
enna License	MIT-enna			License Text
feh License	MIT-feh			License Text
MIT License	MIT	Y	Y	License Text
MIT +no-false-attribs license	MITNFA			License Text
Motosoto License	Motosoto		Y	License Text
mpich2 License	mpich2			License Text
Mozilla Public License 1.0	MPL-1.0		Y	License Text
Mozilla Public License 1.1	MPL-1.1	Y	Y	License Text
Mozilla Public License 2.0 (no copyleft exception)	MPL-2.0-no-copyleft-exception		Y	License Text
Mozilla Public License 2.0	MPL-2.0	Y	Y	License Text
Microsoft Public License	MS-PL	Y	Y	License Text
Microsoft Reciprocal License	MS-RL	Y	Y	License Text
Matrix Template Library License	MTLL			License Text
Multics License	Multics		Y	License Text
Mup License	Mup			License Text
NASA Open Source Agreement 1.3	NASA-1.3		Y	License Text
Naumen Public License	Naumen		Y	License Text
Net Boolean Public License v1	NBPL-1.0			License Text
University of Illinois/NCSA Open Source License	NCSA	Y	Y	License Text
Net-SNMP License	Net-SNMP			License Text
NetCDF license	NetCDF			License Text
Newsletr License	Newsletr			License Text
Nethack General Public License	NGPL		Y	License Text
Norwegian Licence for Open Government Data	NLOD-1.0			License Text
No Limit Public License	NLPL			License Text
Nokia Open Source License	Nokia	Y	Y	License Text
Netizen Open Source License	NOSL	Y		License Text
Noweb License	Noweb			License Text
Netscape Public License v1.0	NPL-1.0	Y		License Text
Netscape Public License v1.1	NPL-1.1	Y		License Text
Non-Profit Open Software License 3.0	NPOSL-3.0		Y	License Text
NRL License	NRL			License Text
NTP License	NTP		Y	License Text
Open CASCADE Technology Public License	OCCT-PL			License Text
OCLC Research Public License 2.0	OCLC-2.0		Y	License Text
ODC Open Database License v1.0	ODbL-1.0	Y		License Text
SIL Open Font License 1.0	OFL-1.0			License Text
SIL Open Font License 1.1	OFL-1.1	Y	Y	License Text
Open Group Test Suite License	OGTSL		Y	License Text
Open LDAP Public License v1.1	OLDAP-1.1			License Text
Open LDAP Public License v1.2	OLDAP-1.2			License Text
Open LDAP Public License v1.3	OLDAP-1.3			License Text
Open LDAP Public License v1.4	OLDAP-1.4			License Text
Open LDAP Public License v2.0.1	OLDAP-2.0.1			License Text
Open LDAP Public License v2.0 (or possibly 2.0A and 2.0B)	OLDAP-2.0			License Text
Open LDAP Public License v2.1	OLDAP-2.1			License Text
Open LDAP Public License v2.2.1	OLDAP-2.2.1			License Text
Open LDAP Public License 2.2.2	OLDAP-2.2.2			License Text
Open LDAP Public License v2.2	OLDAP-2.2			License Text
Open LDAP Public License v2.3	OLDAP-2.3	Y		License Text
Open LDAP Public License v2.4	OLDAP-2.4			License Text
Open LDAP Public License v2.5	OLDAP-2.5			License Text
Open LDAP Public License v2.6	OLDAP-2.6			License Text
Open LDAP Public License v2.7	OLDAP-2.7	Y		License Text
Open LDAP Public License v2.8	OLDAP-2.8			License Text
Open Market License	OML			License Text
OpenSSL License	OpenSSL	Y		License Text
Open Public License v1.0	OPL-1.0			License Text
OSET Public License version 2.1	OSET-PL-2.1		Y	License Text
Open Software License 1.0	OSL-1.0	Y	Y	License Text
Open Software License 1.1	OSL-1.1	Y		License Text
Open Software License 2.0	OSL-2.0	Y	Y	License Text
Open Software License 2.1	OSL-2.1	Y	Y	License Text
Open Software License 3.0	OSL-3.0	Y	Y	License Text
ODC Public Domain Dedication & License 1.0	PDDL-1.0			License Text
PHP License v3.0	PHP-3.0		Y	License Text
PHP License v3.01	PHP-3.01	Y		License Text
Plexus Classworlds License	Plexus			License Text
PostgreSQL License	PostgreSQL		Y	License Text
psfrag License	psfrag			License Text
psutils License	psutils			License Text
Python License 2.0	Python-2.0	Y	Y	License Text
Qhull License	Qhull			License Text
Q Public License 1.0	QPL-1.0	Y	Y	License Text
Rdisc License	Rdisc			License Text
Red Hat eCos Public License v1.1	RHeCos-1.1			License Text
Reciprocal Public License 1.1	RPL-1.1		Y	License Text
Reciprocal Public License 1.5	RPL-1.5		Y	License Text
RealNetworks Public Source License v1.0	RPSL-1.0	Y	Y	License Text
RSA Message-Digest License	RSA-MD			License Text
Ricoh Source Code Public License	RSCPL		Y	License Text
Ruby License	Ruby	Y		License Text
Sax Public Domain Notice	SAX-PD			License Text
Saxpath License	Saxpath			License Text
SCEA Shared Source License	SCEA			License Text
Sendmail License	Sendmail			License Text
SGI Free Software License B v1.0	SGI-B-1.0			License Text
SGI Free Software License B v1.1	SGI-B-1.1			License Text
SGI Free Software License B v2.0	SGI-B-2.0	Y		License Text
Simple Public License 2.0	SimPL-2.0		Y	License Text
Sun Industry Standards Source License v1.2	SISSL-1.2			License Text
Sun Industry Standards Source License v1.1	SISSL		Y	License Text
Sleepycat License	Sleepycat	Y	Y	License Text
Standard ML of New Jersey License	SMLNJ	Y		License Text
Secure Messaging Protocol Public License	SMPPL			License Text
SNIA Public License 1.1	SNIA			License Text
Spencer License 86	Spencer-86			License Text
Spencer License 94	Spencer-94			License Text
Spencer License 99	Spencer-99			License Text
Sun Public License v1.0	SPL-1.0	Y	Y	License Text
SugarCRM Public License v1.1.3	SugarCRM-1.1.3			License Text
Scheme Widget Library (SWL) Software License Agreement	SWL			License Text
TCL/TK License	TCL			License Text
TCP Wrappers License	TCP-wrappers			License Text
TMate Open Source License	TMate			License Text
TORQUE v2.5+ Software License v1.1	TORQUE-1.1			License Text
Trusster Open Source License	TOSL			License Text
Unicode License Agreement - Data Files and Software (2015)	Unicode-DFS-2015			License Text
Unicode License Agreement - Data Files and Software (2016)	Unicode-DFS-2016			License Text
Unicode Terms of Use	Unicode-TOU			License Text
The Unlicense	Unlicense	Y		License Text
Universal Permissive License v1.0	UPL-1.0	Y	Y	License Text
Vim License	Vim	Y		License Text
VOSTROM Public License for Open Source	VOSTROM			License Text
Vovida Software License v1.0	VSL-1.0		Y	License Text
W3C Software Notice and License (1998-07-20)	W3C-19980720			License Text
W3C Software Notice and Document License (2015-05-13)	W3C-20150513			License Text
W3C Software Notice and License (2002-12-31)	W3C	Y	Y	License Text
Sybase Open Watcom Public License 1.0	Watcom-1.0		Y	License Text
Wsuipa License	Wsuipa			License Text
Do What The F*ck You Want To Public License	WTFPL	Y		License Text
X11 License	X11	Y		License Text
Xerox License	Xerox			License Text
XFree86 License 1.1	XFree86-1.1	Y		License Text
xinetd License	xinetd	Y		License Text
X.Net License	Xnet		Y	License Text
XPP License	xpp			License Text
XSkat License	XSkat			License Text
Yahoo! Public License v1.0	YPL-1.0			License Text
Yahoo! Public License v1.1	YPL-1.1	Y		License Text
Zed License	Zed			License Text
Zend License v2.0	Zend-2.0	Y		License Text
Zimbra Public License v1.3	Zimbra-1.3	Y		License Text
Zimbra Public License v1.4	Zimbra-1.4			License Text
zlib/libpng License with Acknowledgement	zlib-acknowledgement			License Text
zlib License	Zlib	Y	Y	License Text
Zope Public License 1.1	ZPL-1.1			License Text
Zope Public License 2.0	ZPL-2.0	Y	Y	License Text
Zope Public License 2.1	ZPL-2.1	Y		License Text
