.NET Framework API Reference version 4.7.2
Name	Description
System.ComponentModel.DataAnnotations.Schema Namespace	The System.ComponentModel.DataAnnotations.Schema namespace provides support for attribute classes that are used to define metadata for ASP.NET MVC and ASP.NET data controls.
System.ComponentModel.Design Namespace	The System.ComponentModel.Design namespace contains classes that developers can use to build custom design-time behavior for components and user interfaces for configuring components at design time. The design time environment provides systems that enable developers to arrange components and configure their properties. Some components may require specific design-time only behavior to function properly in a design time environment. It may also be valuable to provide custom user interfaces which assist developers in configuring components or the values of complex data types. The classes and interfaces defined within this namespace can be used to build design-time behavior for components, access design-time services, and implement customized design-time configuration interfaces.
System.ComponentModel.Design.Data Namespace	The System.ComponentModel.Design.Data namespace contains classes you can use to build custom design-time behavior for data-related components.
System.ComponentModel.Design.Serialization Namespace	The System.ComponentModel.Design.Serialization namespace provides types that support customization and control of serialization at design time.
System.Configuration Namespace	The System.Configuration namespace contains the types that provide the programming model for handling configuration data.
System.Configuration.Assemblies Namespace	The System.Configuration.Assemblies namespace contains classes that are used to configure an assembly.
System.Configuration.Install Namespace	The System.Configuration.Install namespace provides classes that allow you to write custom installers for your own components. The System.Configuration.Install.Installer class is the base class for all custom installers in the.NET Framework.
System.Configuration.Internal Namespace	The System.Configuration.Internal namespace contains configuration types that are intended for internal use only.
System.Configuration.Provider Namespace	The System.Configuration.Provider namespace contains the base classes shared by both server and client applications to support a pluggable model to easily add or remove functionality.
System.Data Namespace	The System.Data namespace provides access to classes that represent the ADO.NET architecture. ADO.NET lets you build components that efficiently manage data from multiple data sources.
System.Data.Common Namespace	The System.Data.Common namespace contains classes shared by the .NET Framework data providers.
System.Data.Common.CommandTrees Namespace	The System.Data.Common.CommandTrees namespace provides classes to build expressions that make up a command tree.
System.Data.Common.CommandTrees.ExpressionBuilder Namespace	The System.Data.Common.CommandTrees.ExpressionBuilder namespace provides a command tree API.
System.Data.Common.CommandTrees.ExpressionBuilder.Spatial Namespace	The System.Data.Common.CommandTrees.ExpressionBuilder.Spatial namespace contains a class that represent the Entity Data Model (EDM) functions of a spatial.
System.Data.Common.EntitySql Namespace	The System.Data.Common.EntitySql namespace includes the System.Data.Common.EntitySql.EntitySqlParser class and other support classes. These classes enable you to parse an Entity SQL query string and create a command tree query.
System.Data.Design Namespace	The System.Data.Design namespace contains classes that can be used to generate a custom typed-dataset.
System.Data.Entity.Design Namespace	The System.Data.Entity.Design namespace contains classes to generate Entity Data Model (EDM) files and object source code.
System.Data.Entity.Design.AspNet Namespace	The System.Data.Entity.Design.AspNet namespace contains the Entity Data Model (EDM) build providers for the ASP.NET build environment.
System.Data.Entity.Design.PluralizationServices Namespace	The System.Data.Entity.Design.PluralizationServices namespace provides classes for changing words from singular to plural form, and vice versa.
System.Data.EntityClient Namespace	The System.Data.EntityClient namespace is the .NET Framework Data Provider for the Entity Framework.
System.Data.Linq Namespace	The System.Data.Linq namespace contains classes that support interaction with relational databases in LINQ to SQL applications.
System.Data.Linq.Mapping Namespace	The System.Data.Linq.Mapping namespace contains classes that are used to generate a LINQ to SQL object model that represents the structure and content of a relational database.
System.Data.Linq.SqlClient Namespace	The System.Data.Linq.SqlClient namespace contains provider classes for communicating with SQL Server and classes that contain query helper methods.
System.Data.Linq.SqlClient.Implementation Namespace	The System.Data.Linq.SqlClient.Implementation namespace contains types that are used for the internal implementation details of a SQL Server provider.
System.Data.Mapping Namespace	The System.Data.Mapping namespace provides access to the System.Data.Mapping.MappingItemCollection and System.Data.Mapping.StorageMappingItemCollection classes.
System.Data.Metadata.Edm Namespace	The System.Data.Metadata.Edm namespace contains a set of types that represent concepts throughout the models used by the Entity Framework and a set of classes that help applications to work with metadata.
System.Data.Objects Namespace	The System.Data.Objects namespace includes classes that provide access to the core functionality of Object Services. These classes enable you to query, insert, update, and delete data by working with strongly typed CLR objects that are instances of entity types. Object Services supports both Language-Integrated Query (LINQ) and Entity SQL queries against types that are defined in an Entity Data Model (EDM). Object Services materializes the returned data as objects and propagates object changes back to the data source. It also provides facilities for tracking changes, binding objects to controls, and handling concurrency. For more information, see Object Services Overview (Entity Framework).
System.Data.Objects.DataClasses Namespace	The System.Data.Objects.DataClasses namespace includes classes that are base classes for types that are defined in an Entity Data Model (EDM), base classes for the types that are returned by navigation properties, and classes that define attributes that map common language runtime (CLR) objects to types in the conceptual model.
System.Data.Objects.SqlClient Namespace	The System.Data.Objects.SqlClient namespace provides the System.Data.Objects.SqlClient.SqlFunctions class, which contains common language runtime (CLR) methods that translate to database functions. Methods in the System.Data.Objects.SqlClient.SqlFunctions class can only be used in LINQ to Entities queries.
System.Data.Odbc Namespace	The System.Data.Odbc namespace is the .NET Framework Data Provider for ODBC.
System.Data.OleDb Namespace	The System.Data.OleDb namespace is the.NET Framework Data Provider for OLE DB.
System.Data.OracleClient Namespace	The System.Data.OracleClient namespace is the .NET Framework Data Provider for Oracle.
System.Data.Services Namespace	Provides access to classes used to build WCF Data Services.
System.Data.Services.BuildProvider Namespace	Classes in this namespace generate C# or Visual Basic code for a WCF Data Services client application based on the metadata returned by the data service.
System.Data.Services.Client Namespace	Represents the .NET Framework client library that applications can use to interact with WCF Data Services.
System.Data.Services.Common Namespace	Implements functionality common to both WCF Data Services client and server runtimes.
System.Data.Services.Configuration Namespace	This namespace provides configuration settings for WCF data services features.
System.Data.Services.Design Namespace	Used by the code generation command line tools and tools in Visual Studio to generate strongly-typed client side objects for communicating with data services.
System.Data.Services.Internal Namespace	This class is not for public use and is used internally by the system to implement support for queries with eager loading of related entities.
System.Data.Services.Providers Namespace	Provides a series of interfaces that are implemented to define a custom data service provider for WCF Data Services.
System.Data.Spatial Namespace	The System.Data.Spatial namespace that contains classes of spatial database functionality.
System.Data.Sql Namespace	The System.Data.Sql namespace contains classes that support SQL Server-specific functionality.
System.Data.SqlClient Namespace	The System.Data.SqlClient namespace is the .NET Data Provider for SQL Server.
System.Data.SqlTypes Namespace	The System.Data.SqlTypes namespace provides classes for native data types in SQL Server. These classes provide a safer, faster alternative to the data types provided by the .NET Framework common language runtime (CLR). Using the classes in this namespace helps prevent type conversion errors caused by loss of precision. Because other data types are converted to and from **SqlTypes** behind the scenes, explicitly creating and using objects within this namespace also yields faster code.
System.Deployment.Application Namespace	With the System.Deployment.Application namespace, you can program custom upgrade behavior into your ClickOnce application.
System.Deployment.Internal Namespace	The System.Deployment.Internal namespace contains helper classes for accessing the internal members of System.ActivationContext and System.ApplicationIdentity objects.
System.Deployment.Internal.CodeSigning Namespace	The System.Deployment.Internal.CodeSigning namespace contains classes for processing digital signatures.
System.Device.Location Namespace	The System.Device.Location namespace allows application developers to easily access the computer's location by using a single API. Location information may come from multiple providers, such as GPS, Wi-Fi triangulation, and cell phone tower triangulation. The System.Device.Location classes provide a single API to encapsulate the multiple location providers on a computer and support seamless prioritization and transitioning between them. As a result, application developers who use this API do not need to tailor applications to specific hardware configurations.
System.Diagnostics Namespace	The System.Diagnostics namespace provides classes that allow you to interact with system processes, event logs, and performance counters.
System.Diagnostics.CodeAnalysis Namespace	The System.Diagnostics.CodeAnalysis namespace contains classes for interaction with code analysis tools. These tools are used to analyze code for conformance to coding conventions such as naming or security rules.
System.Diagnostics.Contracts Namespace	The System.Diagnostics.Contracts namespace contains static classes for representing program contracts such as preconditions, postconditions, and invariants.
System.Diagnostics.Contracts.Internal Namespace	The System.Diagnostics.Contracts.Internal namespace provides classes that the binary rewriter can use to handle a contract failure.
System.Diagnostics.Design Namespace	The System.Diagnostics.Design namespace contains classes that can be used to extend design-time support for application monitoring and instrumentation.
System.Diagnostics.Eventing Namespace	Contains the classes used to instrument your application. The instrumentation, when enabled, logs the event data to the Event Tracing for Windows (ETW) tracing subsystem. For a complete description of ETW, see Event Tracing for Windows.aspx).
System.Diagnostics.Eventing.Reader Namespace	Using the System.Diagnostics.Eventing.Reader namespace, you can develop applications that read and manage event logs. An event in an event log contains information, a warning, or an error that has been published by a specific application, service, or operating system component. These events are read by applications that monitor a computer's health and applications that take action when specific events occur. For more information, see [Technology Summary for Reading and Managing Event Logs](https://msdn.microsoft.com/library/bb671205.aspx) and [Event Log Scenarios](https://msdn.microsoft.com/library/bb671204.aspx).
System.Diagnostics.PerformanceData Namespace	Use the classes in this namespace to provide counter data. The counters are used to expose performance metrics to consumers such as the Performance Monitor. The namespace does not contain classes for consuming the counter data. For a complete description of the performance counters architecture, see Performance Counters.aspx).
System.Diagnostics.SymbolStore Namespace	The System.Diagnostics.SymbolStore namespace provides classes that allow you to read and write debug symbol information, such as source line to Microsoft intermediate language (MSIL) maps. Compilers targeting the.NET Framework can store the debug symbol information into programmer's database (PDB) files. Debuggers and code profiler tools can read the debug symbol information at run time.
System.Diagnostics.Tracing Namespace	The System.Diagnostics.Tracing namespace provides types and members that enable you to create strongly typed events to be captured by event tracing for Windows (ETW).
System.DirectoryServices Namespace	The System.DirectoryServices namespace provides easy access to Active Directory Domain Services from managed code. The namespace contains two component classes, System.DirectoryServices.DirectoryEntry and System.DirectoryServices.DirectorySearcher, which use the Active Directory Services Interfaces (ADSI) technology. ADSI is the set of interfaces that Microsoft provides as a flexible tool for working with a variety of network providers. ADSI gives the administrator the ability to locate and manage resources on a network with relative ease, regardless of the size of the network.
System.DirectoryServices.AccountManagement Namespace	The System.DirectoryServices.AccountManagement namespace provides uniform access and manipulation of user, computer, and group security principals across the multiple principal stores: Active Directory Domain Services (AD DS), Active Directory Lightweight Directory Services (AD LDS), and Machine SAM (MSAM). System.DirectoryServices.AccountManagement manages directory objects independent of the System.DirectoryServices namespace.
System.DirectoryServices.ActiveDirectory Namespace	The System.DirectoryServices.ActiveDirectory namespace provides a high level abstraction object model that builds around Microsoft Active Directory services tasks. The Active Directory service concepts such as forest, domain, site, subnet, partition, and schema are part of the object model.
System.DirectoryServices.Protocols Namespace	The System.DirectoryServices.Protocols namespace provides the methods defined in the Lightweight Directory Access Protocol (LDAP) version 3 (V3) and Directory Services Markup Language (DSML) version 2.0 (V2) standards.
System.Drawing Namespace	The System.Drawing namespace provides access to GDI+ basic graphics functionality. More advanced functionality is provided in the System.Drawing.Drawing2D, System.Drawing.Imaging, and System.Drawing.Text namespaces.
System.Drawing.Configuration Namespace	The System.Drawing.Configuration namespace contains a class that supports configuration for classes in the System.Drawing namespace.
System.Drawing.Design Namespace	The System.Drawing.Design namespace contains classes that extend design-time user interface (UI) logic and drawing.
System.Drawing.Drawing2D Namespace	The System.Drawing.Drawing2D namespace provides advanced two-dimensional and vector graphics functionality.
System.Drawing.Imaging Namespace	The System.Drawing.Imaging namespace provides advanced GDI+ imaging functionality. Basic graphics functionality is provided by the System.Drawing namespace.
System.Drawing.Printing Namespace	The System.Drawing.Printing namespace provides print-related services for Windows Forms applications.
System.Drawing.Text Namespace	The System.Drawing.Text namespace provides advanced GDI+ typography functionality.
System.Dynamic Namespace	The System.Dynamic namespace provides classes and interfaces that support Dynamic Language Runtime.
System.EnterpriseServices Namespace	The System.EnterpriseServices namespace provides an important infrastructure for enterprise applications. COM+ provides a services architecture for component programming models deployed in an enterprise environment. This namespace provides .NET objects with access to COM+ services making the .NET Framework objects more practical for enterprise applications.
System.EnterpriseServices.CompensatingResourceManager Namespace	The System.EnterpriseServices.CompensatingResourceManager namespace provides classes that allow you to use a Compensating Resource Manager (CRM) in managed code. A CRM is a service provided by COM+ that enables you to include non transactional objects in Microsoft Distributed Transaction Coordinator (DTC) transactions. Although CRMs do not provide the capabilities of a full resource manager, they do provide transactional atomicity (all or nothing behavior) and durability through the recovery log.
System.EnterpriseServices.Internal Namespace	The System.EnterpriseServices.Internal namespace provides infrastructure support for COM+ services. The classes and interfaces in this namespace are specifically intended to support calls into System.EnterpriseServices from the unmanaged COM+ classes.
System.Globalization Namespace	The System.Globalization namespace contains classes that define culture-related information, including language, country/region, calendars in use, format patterns for dates, currency, and numbers, and sort order for strings. These classes are useful for writing globalized (internationalized) applications. Classes such as System.Globalization.StringInfo and System.Globalization.TextInfo provide advanced globalization functionalities, including surrogate support and text element processing.
System.IO Namespace	The System.IO namespace contains types that allow reading and writing to files and data streams, and types that provide basic file and directory support.
System.IO.Compression Namespace	The System.IO.Compression namespace contains classes that provide basic compression and decompression services for streams.
System.IO.IsolatedStorage Namespace	The System.IO.IsolatedStorage namespace contains types that allow the creation and use of isolated stores. With these stores, you can read and write data that less trusted code cannot access and prevent the exposure of sensitive information that can be saved elsewhere on the file system. Data is stored in compartments that are isolated by the current user and by the assembly in which the code exists. Additionally, data can be isolated by domain. Roaming profiles can be used in conjunction with isolated storage so isolated stores will travel with the user's profile. The System.IO.IsolatedStorage.IsolatedStorageScope enumeration indicates different types of isolation. For more information about when to use isolated storage, see [Isolated Storage](~/docs/standard/io/isolated-storage.md).
System.IO.Log Namespace	The System.IO.Log namespace defines an interface for logging to a record-oriented sequential I/O system.
System.IO.MemoryMappedFiles Namespace	The System.IO.MemoryMappedFiles namespace provides classes for using a memory-mapped file, which maps the contents of a file to an applications logical address space.
System.IO.Packaging Namespace	Provides classes that support storage of multiple data objects in a single container.
System.IO.Pipes Namespace	The System.IO.Pipes namespace contains types that provide a means for interprocess communication through anonymous and/or named pipes.
System.IO.Ports Namespace	The System.IO.Ports namespace contains classes for controlling serial ports. The most important class, System.IO.Ports.SerialPort, provides a framework for synchronous and event-driven I/O, access to pin and break states, and access to serial driver properties. It can be used to wrap System.IO.Stream objects, allowing the serial port to be accessed by classes that use streams.
System.IdentityModel Namespace	The System.IdentityModel namespace contains classes that are used to build security token services (STS). These include the System.IdentityModel.SecurityTokenService and System.IdentityModel.Scope classes, as well as exception several utility classes that provide the ability to perform cookie transforms.
System.IdentityModel.Claims Namespace	The System.IdentityModel.Claims namespace contains classes that implement the Windows Communication Foundation (WCF) claims-based identity authorization model. This model includes the System.IdentityModel.Claims.Claim class and the System.IdentityModel.Claims.ClaimSet class. Beginning with .NET Framework 4.5 and the integration of Windows Identity Foundation (WIF) into the .NET Framework, the WCF claims-based identity model has been superseded by WIF. WIF provides a claims-based identity object model that can be used to provide authentication and authorization across several Microsoft product stacks, including the CLR, WCF, and ASP.NET. The WIF classes that represent claims, claim types, and identities and principals that are based on claims are contained in the System.Security.Claims namespace. Beginning with .NET 4.5, these classes should be used instead of those in the System.IdentityModel.Claims namespace.
System.IdentityModel.Configuration Namespace	The System.IdentityModel.Configuration namespace contains classes that provide configuration for applications and services built using the Windows Identity Foundation (WIF). The classes in this namespace represent settings under the [<identityConfiguration>](~/docs/framework/configure-apps/file-schema/windows-identity-foundation/identityconfiguration.md) element. Classes that configure federation using the WS-Federation protocol are contained primarily in the System.IdentityModel.Services.Configuration namespace. These settings appear under the [<system.identityModel.services>](~/docs/framework/configure-apps/file-schema/windows-identity-foundation/system-identitymodel-services.md) element in a configuration file.
System.IdentityModel.Metadata Namespace	The System.IdentityModel.Metadata namespace contains classes that represent elements in a Federation Metadata document. A Federation Metadata document is an XML document that provides information that may be useful to partners when establishing a federation. For more information about federation metadata, see section three of the following specification: Web Services Federation Language (WS-Federation) Version 1.2 (http://go.microsoft.com/fwlink/?LinkID=210152).
System.IdentityModel.Policy Namespace	The System.IdentityModel.Policy namespace contains classes that are used to implement authorization policy when using the WCF claims-based identity model. Beginning with .NET Framework 4.5 and the integration of Windows Identity Foundation (WIF) into the .NET Framework, the WCF claims-based identity model has been superseded by WIF. WIF provides a claims-based identity object model that can be used to provide authentication and authorization across several Microsoft product stacks, including the CLR, WCF, and ASP.NET. In WIF, authorization policy is implemented by extending the System.Security.Claims.ClaimsAuthorizationManager class. Beginning with .NET 4.5, authorization policy should be implemented by using WIF instead of the classes in the System.IdentityModel.Claims namespace.
System.IdentityModel.Protocols.WSTrust Namespace	The System.IdentityModel.Protocols.WSTrust namespace contains classes that represent WS-Trust artifacts. These include the System.IdentityModel.Protocols.WSTrust.RequestSecurityToken (RST) and System.IdentityModel.Protocols.WSTrust.RequestSecurityToken (RSTR) classes and several serializers that can serialize and deserialize between WS-Trust artifacts on the wire and their representation in the object model. Out-of-the-box, Windows Identity Foundation (WIF) contains support for the following WS-Trust specifications: WS-Trust February 2005, WS-Trust 1.3, or WS-Trust 1.4.
